Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Эдуард Сперцян;ФК Краснодар;241;101;П ЛЦ;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;2.00;-;0.11;40.00;90 %;1.00;100 %;1.00;0 %;1.00;100 %;1.00;0 %;1.00;0 %;3.00;100 %;3.00;67 %;4.00;1.00;1.00;1.00;1.00;3.00;7.00;57 %;4.00;25 %;3.00;100 %;1.00;100 %;-;-;-;-;4.00;25 %;2.00;5.00;1;1.00;-;-;60.00;50.00;83 %;0 %;2.00;-;-;0.97;0.06;-;0.00;1.94;0.71;1.23;-;-;36.00;1.00;-;1.00;-;-;3.00;2.00;4.00;1.00;3.00;1.00;-;-;1.00
Витор Тормена Тормена Де Фариас;ФК Краснодар;237;101;З ПЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;53.00;87 %;-;-;-;-;10.00;70 %;1.00;0 %;-;-;5.00;60 %;-;-;3.00;2.00;1.00;8.00;3.00;1.00;12.00;67 %;12.00;67 %;-;-;8.00;63 %;-;-;-;-;-;-;6.00;5.00;1;1.00;-;-;78.00;66.00;85 %;-;-;-;-;-;-;-;-;1.94;0.71;1.23;0.17;0.09;46.00;-;-;7.00;-;-;3.00;-;8.00;8.00;-;5.00;-;-;-
Игорь Вуячич;Рубин Казань;180;101;З Ц;-;-;-;-;-;-;4.00;1.00;2.00;2.00;-;-;1.00;1.00;-;0.17;30.00;90 %;-;-;-;-;10.00;70 %;4.00;50 %;-;-;4.00;50 %;-;-;3.00;-;-;8.00;-;-;11.00;55 %;7.00;43 %;4.00;75 %;7.00;57 %;-;-;-;-;1.00;0 %;8.00;6.00;1;1.00;-;-;56.00;47.00;84 %;0 %;1.00;-;-;-;0.17;-;0.00;0.71;1.94;-1.23;-;-;27.00;-;-;7.00;2.00;-;2.00;-;6.00;3.00;3.00;4.00;-;-;-
Арсен Адамов;Оренбург;205;99;З П;-;-;-;-;-;1.00;3.00;1.00;-;4.00;-;-;-;-;-;-;23.00;96 %;1.00;100 %;2.00;50 %;5.00;100 %;-;-;-;-;1.00;100 %;2.00;50 %;2.00;1.00;-;5.00;-;2.00;17.00;47 %;10.00;40 %;7.00;57 %;1.00;100 %;2.00;50 %;-;-;6.00;50 %;6.00;3.00;1;1.00;-;-;52.00;42.00;81 %;-;-;-;-;0.18;-;-;-;1.48;3.18;-1.70;0.31;0.05;22.00;1.00;1.00;5.00;-;-;1.00;1.00;8.00;4.00;4.00;1.00;1.00;-;3.00
Нуралы Алип;Зенит;203;99;З ЛЦ;-;-;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;53.00;87 %;-;-;-;-;4.00;75 %;-;-;-;-;-;-;-;-;2.00;1.00;1.00;9.00;2.00;-;17.00;71 %;14.00;64 %;3.00;100 %;4.00;75 %;-;-;-;-;4.00;50 %;3.00;8.00;1;1.00;-;-;83.00;70.00;84 %;-;-;-;-;-;-;-;-;3.18;1.48;1.70;-;-;46.00;-;-;3.00;-;-;-;-;12.00;9.00;3.00;3.00;-;-;2.00
Вильмар Барриос;Зенит;238;99;ЗП ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;2.00;-;0.09;73.00;93 %;-;-;1.00;100 %;14.00;86 %;-;-;-;-;5.00;80 %;5.00;80 %;1.00;-;-;7.00;3.00;6.00;12.00;67 %;11.00;73 %;1.00;0 %;2.00;50 %;-;-;-;-;7.00;86 %;2.00;10.00;1;1.00;-;-;106.00;95.00;90 %;0 %;2.00;-;-;0.08;0.04;-;0.00;3.18;1.48;1.70;0.03;0.03;68.00;-;1.00;12.00;-;-;4.00;4.00;8.00;8.00;-;1.00;-;-;6.00
Иван Башич;Оренбург;211;99;П ПЦ;-;-;-;-;-;-;5.00;1.00;-;-;1.00;-;-;-;-;-;22.00;77 %;-;-;-;-;4.00;50 %;5.00;60 %;-;-;4.00;50 %;1.00;100 %;4.00;1.00;1.00;-;-;1.00;16.00;44 %;9.00;33 %;7.00;57 %;4.00;75 %;3.00;33 %;1.00;0 %;5.00;0 %;1.00;1.00;1;1.00;-;-;42.00;27.00;64 %;-;-;-;-;0.53;-;-;-;1.48;3.18;-1.70;0.22;0.06;17.00;-;-;2.00;3.00;-;2.00;1.00;7.00;3.00;4.00;3.00;1.00;-;-
Страхиня Эракович;Зенит;203;99;З ПЦ;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;2.00;1.00;0.27;51.00;92 %;-;-;1.00;0 %;11.00;82 %;2.00;100 %;1.00;100 %;7.00;100 %;2.00;50 %;3.00;1.00;-;5.00;2.00;-;18.00;39 %;9.00;44 %;9.00;33 %;3.00;0 %;3.00;67 %;-;-;5.00;60 %;5.00;5.00;1;1.00;-;-;81.00;65.00;80 %;50 %;-;1.00;-;-;0.14;-;0.00;3.18;1.48;1.70;-;-;47.00;-;-;9.00;2.00;1.00;7.00;1.00;7.00;4.00;3.00;-;2.00;-;3.00
Ренато Гойкович;Оренбург;224;99;З ПЦ;-;-;-;-;-;-;2.00;-;1.00;2.00;1.00;-;1.00;-;-;-;21.00;90 %;-;-;-;-;3.00;67 %;1.00;0 %;-;-;-;-;-;-;4.00;1.00;1.00;6.00;-;-;11.00;73 %;9.00;78 %;2.00;50 %;4.00;100 %;-;-;-;-;2.00;50 %;8.00;2.00;1;1.00;-;-;43.00;37.00;86 %;-;-;-;-;-;-;-;-;1.48;3.18;-1.70;-;-;19.00;-;-;2.00;-;-;-;-;8.00;7.00;1.00;4.00;-;-;1.00
Кирилл Капленко;Оренбург;211;99;ЗП Ц;-;-;-;-;-;-;1.00;2.00;-;2.00;-;-;-;-;-;-;36.00;92 %;-;-;-;-;7.00;86 %;1.00;100 %;-;-;6.00;83 %;-;-;-;-;-;6.00;1.00;1.00;14.00;50 %;10.00;30 %;4.00;100 %;2.00;50 %;3.00;100 %;1.00;100 %;7.00;29 %;10.00;8.00;1;1.00;-;-;70.00;60.00;86 %;-;-;-;-;-;-;-;-;1.48;3.18;-1.70;0.16;0.16;33.00;-;-;6.00;1.00;-;5.00;-;7.00;3.00;4.00;1.00;3.00;1.00;2.00
Густаво Мантуан;Зенит;276;99;АП П;1.00;-;3.00;1.00;33 %;2.00;1.00;6.00;-;-;-;-;-;5.00;3.00;0.47;30.00;80 %;3.00;67 %;2.00;50 %;7.00;57 %;-;-;-;-;2.00;100 %;6.00;50 %;5.00;-;-;3.00;1.00;4.00;23.00;43 %;7.00;57 %;16.00;38 %;6.00;33 %;5.00;80 %;4.00;100 %;4.00;75 %;1.00;5.00;1;1.00;-;-;67.00;46.00;69 %;60 %;2.00;-;-;0.33;0.09;0.47;2.13;3.18;1.48;1.70;-;-;24.00;2.00;1.00;4.00;-;-;2.00;3.00;10.00;4.00;6.00;2.00;4.00;4.00;3.00
Матиас Дамиан Перес;Оренбург;268;99;З ЛЦ;1.00;-;1.00;1.00;100 %;-;1.00;-;-;2.00;-;-;-;1.00;1.00;0.53;37.00;89 %;-;-;-;-;4.00;75 %;3.00;33 %;-;-;1.00;0 %;-;-;2.00;2.00;-;9.00;-;-;12.00;83 %;10.00;80 %;2.00;100 %;5.00;60 %;1.00;100 %;-;-;2.00;100 %;7.00;11.00;1;1.00;-;-;69.00;63.00;91 %;100 %;-;-;-;-;0.53;0.53;1.89;1.48;3.18;-1.70;0.40;0.20;33.00;-;-;3.00;1.00;-;-;-;10.00;8.00;2.00;3.00;1.00;-;2.00
Иван Сергеев;Зенит;216;99;Ф Ц;-;-;3.00;-;0 %;1.00;-;-;-;-;-;-;1.00;4.00;1.00;1.11;25.00;88 %;1.00;100 %;-;-;5.00;80 %;2.00;100 %;1.00;100 %;3.00;67 %;-;-;12.00;1.00;1.00;-;-;-;14.00;21 %;4.00;0 %;10.00;30 %;6.00;17 %;1.00;100 %;-;-;2.00;0 %;-;-;1;1.00;-;-;44.00;26.00;59 %;25 %;2.00;1.00;-;0.22;0.28;-;0.00;3.18;1.48;1.70;-;-;22.00;1.00;-;4.00;2.00;1.00;2.00;-;3.00;-;3.00;1.00;1.00;-;-
Максим Сидоров;Оренбург;230;99;ЗЛ;-;-;-;-;-;1.00;1.00;-;-;-;1.00;-;-;-;-;-;26.00;77 %;-;-;3.00;67 %;3.00;33 %;1.00;0 %;-;-;2.00;50 %;2.00;100 %;7.00;3.00;-;3.00;-;2.00;11.00;36 %;4.00;50 %;7.00;29 %;5.00;60 %;3.00;33 %;2.00;0 %;-;-;7.00;4.00;1;1.00;-;-;50.00;37.00;74 %;-;-;-;-;0.39;-;-;-;1.48;3.18;-1.70;0.13;0.07;20.00;-;2.00;1.00;-;-;1.00;2.00;4.00;2.00;2.00;3.00;1.00;-;-
Вендел;Зенит;201;99;ЗП ПЦ;-;-;1.00;-;0 %;1.00;1.00;4.00;1.00;1.00;-;-;-;3.00;1.00;0.24;86.00;91 %;1.00;0 %;-;-;15.00;80 %;-;-;-;-;7.00;86 %;1.00;100 %;5.00;-;1.00;2.00;1.00;13.00;14.00;36 %;7.00;14 %;7.00;57 %;2.00;0 %;4.00;100 %;1.00;100 %;3.00;0 %;3.00;7.00;1;1.00;-;-;127.00;107.00;84 %;33 %;-;2.00;-;0.91;0.08;-;0.00;3.18;1.48;1.70;-;-;78.00;-;-;12.00;-;-;6.00;1.00;5.00;1.00;4.00;-;4.00;1.00;-
Лукас Вера;Оренбург;260;99;П ЛЦ;-;-;2.00;-;0 %;2.00;1.00;-;-;-;-;-;-;3.00;-;0.35;45.00;82 %;1.00;100 %;-;-;13.00;92 %;6.00;100 %;-;-;7.00;100 %;4.00;50 %;9.00;3.00;1.00;1.00;-;3.00;13.00;54 %;4.00;50 %;9.00;56 %;2.00;0 %;6.00;83 %;1.00;100 %;2.00;50 %;3.00;7.00;1;1.00;-;-;75.00;57.00;76 %;0 %;3.00;-;-;0.18;0.12;-;0.00;1.48;3.18;-1.70;0.02;0.02;37.00;1.00;-;12.00;6.00;-;7.00;2.00;7.00;2.00;5.00;-;5.00;1.00;1.00
Дуглас Сантос;Зенит;211;99;З ЛЦ;-;-;-;-;-;5.00;-;1.00;2.00;3.00;-;-;-;-;-;-;97.00;86 %;7.00;57 %;11.00;55 %;27.00;74 %;5.00;20 %;1.00;0 %;14.00;79 %;17.00;53 %;7.00;-;-;9.00;3.00;1.00;13.00;69 %;10.00;60 %;3.00;100 %;3.00;100 %;2.00;100 %;-;-;4.00;50 %;7.00;6.00;1;1.00;-;-;124.00;106.00;85 %;-;-;-;-;2.00;-;-;-;3.18;1.48;1.70;0.39;0.39;83.00;4.00;6.00;20.00;1.00;-;11.00;9.00;9.00;6.00;3.00;3.00;2.00;-;2.00
Фабиан Бальбуэна;Динамо Москва;229;98;З ПЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;58.00;88 %;-;-;-;-;13.00;85 %;5.00;80 %;2.00;50 %;6.00;83 %;2.00;100 %;4.00;1.00;-;10.00;-;2.00;14.00;71 %;9.00;67 %;5.00;80 %;6.00;83 %;-;-;-;-;5.00;40 %;9.00;2.00;1;1.00;-;-;85.00;74.00;87 %;-;-;-;-;-;-;-;-;1.94;1.23;0.71;0.29;0.10;51.00;-;-;11.00;4.00;1.00;5.00;2.00;10.00;6.00;4.00;5.00;-;-;2.00
Бернард Бериша;ФК Ахмат;236;98;АП Л;-;-;2.00;-;0 %;3.00;1.00;3.00;-;-;1.00;-;1.00;2.00;-;0.22;30.00;63 %;2.00;50 %;1.00;0 %;4.00;25 %;-;-;-;-;-;-;3.00;33 %;16.00;2.00;1.00;2.00;-;8.00;30.00;50 %;7.00;29 %;23.00;57 %;4.00;25 %;13.00;77 %;6.00;83 %;1.00;100 %;1.00;5.00;1;1.00;-;-;77.00;48.00;62 %;0 %;1.00;-;1.00;0.40;0.11;-;0.00;1.23;1.94;-0.71;-;-;19.00;1.00;-;1.00;-;-;-;1.00;15.00;2.00;13.00;1.00;10.00;5.00;1.00
Мирослав Богосавац;ФК Ахмат;223;98;ЗЛ;-;-;-;-;-;1.00;-;2.00;-;1.00;-;-;-;-;-;-;51.00;88 %;-;-;-;-;11.00;91 %;-;-;-;-;4.00;100 %;1.00;100 %;6.00;2.00;4.00;3.00;1.00;6.00;22.00;55 %;9.00;44 %;13.00;62 %;2.00;50 %;9.00;67 %;5.00;60 %;4.00;25 %;6.00;3.00;1;1.00;-;-;92.00;72.00;78 %;-;-;-;-;-;-;-;-;1.23;1.94;-0.71;0.04;0.04;45.00;-;-;10.00;-;-;4.00;1.00;12.00;4.00;8.00;1.00;6.00;3.00;1.00
Луис Герардо Чавез Магалон;Динамо Москва;224;98;П ПЦ;-;-;-;-;-;-;1.00;3.00;-;1.00;-;-;-;-;-;-;43.00;81 %;-;-;1.00;100 %;11.00;64 %;4.00;50 %;2.00;50 %;5.00;60 %;5.00;40 %;5.00;2.00;-;8.00;2.00;-;18.00;67 %;12.00;58 %;6.00;83 %;1.00;100 %;2.00;100 %;-;-;7.00;57 %;5.00;7.00;1;1.00;-;-;73.00;59.00;81 %;-;-;-;-;0.04;-;-;-;1.94;1.23;0.71;-;-;35.00;-;1.00;7.00;2.00;1.00;3.00;2.00;12.00;7.00;5.00;1.00;2.00;-;4.00
Ясмин Челикович;ФК Ахмат;222;98;З ЛЦ;-;-;-;-;-;-;2.00;3.00;-;-;-;-;-;-;-;-;57.00;91 %;-;-;-;-;9.00;89 %;1.00;100 %;-;-;1.00;100 %;-;-;1.00;1.00;-;9.00;3.00;5.00;10.00;70 %;9.00;67 %;1.00;100 %;1.00;100 %;1.00;100 %;-;-;2.00;50 %;10.00;7.00;1;1.00;-;-;89.00;81.00;91 %;-;-;-;-;-;-;-;-;1.23;1.94;-0.71;0.44;0.22;52.00;-;-;8.00;1.00;-;1.00;-;7.00;6.00;1.00;1.00;1.00;-;1.00
Эли Даса;Динамо Москва;204;98;З П;-;-;-;-;-;-;2.00;-;-;2.00;1.00;-;-;-;-;-;39.00;87 %;-;-;-;-;9.00;78 %;1.00;0 %;-;-;5.00;60 %;2.00;50 %;3.00;-;1.00;9.00;4.00;-;12.00;50 %;8.00;50 %;4.00;50 %;1.00;100 %;1.00;100 %;-;-;4.00;50 %;10.00;5.00;1;1.00;-;-;67.00;55.00;82 %;-;-;-;-;0.19;-;-;-;1.94;1.23;0.71;0.25;0.25;34.00;-;-;7.00;-;-;3.00;1.00;6.00;4.00;2.00;1.00;1.00;-;2.00
Роберто Фернандез Урбиета;Динамо Москва;250;98;З ЛЦ;1.00;-;1.00;1.00;100 %;-;1.00;-;1.00;1.00;-;-;-;2.00;1.00;0.16;59.00;86 %;-;-;-;-;22.00;73 %;2.00;50 %;-;-;10.00;70 %;-;-;4.00;1.00;-;8.00;-;3.00;18.00;67 %;11.00;73 %;7.00;57 %;10.00;70 %;2.00;100 %;-;-;3.00;67 %;6.00;7.00;1;1.00;-;-;95.00;80.00;84 %;50 %;1.00;-;-;-;0.08;0.16;6.25;1.94;1.23;0.71;0.04;0.02;51.00;-;-;16.00;1.00;-;7.00;-;12.00;8.00;4.00;7.00;2.00;-;2.00
Даниил Фомин;Динамо Москва;242;98;ЗП Ц;-;-;1.00;-;0 %;1.00;3.00;2.00;-;-;-;-;-;3.00;1.00;0.44;46.00;83 %;1.00;0 %;1.00;0 %;6.00;83 %;-;-;-;-;1.00;100 %;3.00;33 %;8.00;1.00;3.00;7.00;4.00;-;23.00;61 %;15.00;60 %;8.00;63 %;3.00;67 %;2.00;100 %;1.00;100 %;7.00;71 %;7.00;8.00;1;1.00;-;-;90.00;68.00;76 %;33 %;-;1.00;1.00;-;0.15;-;0.00;1.94;1.23;0.71;-;-;38.00;-;-;5.00;-;-;1.00;1.00;14.00;9.00;5.00;2.00;2.00;1.00;5.00
Евгений Харин;ФК Ахмат;227;98;З П;-;1.00;-;-;-;1.00;3.00;1.00;-;1.00;1.00;-;-;-;-;-;33.00;94 %;-;-;1.00;0 %;8.00;88 %;1.00;100 %;-;-;7.00;86 %;2.00;50 %;2.00;2.00;2.00;7.00;3.00;4.00;14.00;50 %;11.00;55 %;3.00;33 %;3.00;67 %;1.00;100 %;1.00;100 %;6.00;33 %;7.00;8.00;1;1.00;-;-;69.00;58.00;84 %;-;-;-;-;0.24;-;-;-;1.23;1.94;-0.71;-;-;31.00;-;-;7.00;1.00;-;6.00;1.00;7.00;6.00;1.00;2.00;1.00;1.00;2.00
Николя Нгамалё;Динамо Москва;217;98;АП П;-;-;-;-;-;-;-;3.00;-;-;-;-;-;1.00;-;0.02;34.00;71 %;-;-;2.00;0 %;4.00;75 %;-;-;-;-;-;-;4.00;75 %;9.00;2.00;1.00;1.00;-;5.00;22.00;45 %;8.00;25 %;14.00;57 %;2.00;0 %;6.00;83 %;4.00;75 %;4.00;25 %;2.00;4.00;1;1.00;-;-;70.00;46.00;66 %;0 %;1.00;-;-;0.38;0.02;-;0.00;1.94;1.23;0.71;-;-;24.00;-;-;3.00;-;-;-;3.00;10.00;2.00;8.00;-;5.00;3.00;1.00
Камило Рейерс Де Оливера;ФК Ахмат;205;98;ЗП ПЦ;-;-;-;-;-;-;4.00;1.00;-;1.00;-;-;-;2.00;-;0.04;36.00;81 %;-;-;1.00;0 %;8.00;75 %;1.00;0 %;-;-;4.00;75 %;1.00;0 %;6.00;2.00;1.00;6.00;3.00;1.00;16.00;50 %;12.00;33 %;4.00;100 %;-;-;2.00;100 %;-;-;8.00;38 %;9.00;8.00;1;1.00;-;-;74.00;56.00;76 %;0 %;-;2.00;-;-;0.02;-;0.00;1.23;1.94;-0.71;0.08;0.08;29.00;-;-;6.00;-;-;3.00;-;8.00;4.00;4.00;-;2.00;-;3.00
