Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Хуниор Осмар Игнасио Алонсо Мухика;ФК Краснодар;248;101;З ЛЦ;-;1.00;1.00;-;0 %;1.00;2.00;1.00;-;-;-;-;-;1.00;-;0.14;70.00;90 %;1.00;100 %;-;-;19.00;74 %;8.00;50 %;1.00;100 %;5.00;40 %;2.00;0 %;4.00;1.00;-;5.00;1.00;3.00;11.00;45 %;10.00;40 %;1.00;100 %;4.00;25 %;-;-;-;-;4.00;50 %;10.00;5.00;1;1.00;-;-;100.00;86.00;86 %;0 %;1.00;-;-;0.80;0.14;-;0.00;1.94;0.71;1.23;-;-;63.00;1.00;-;14.00;4.00;1.00;2.00;-;5.00;4.00;1.00;1.00;-;-;2.00
Джон Кордоба;ФК Краснодар;270;101;Ф Ц;1.00;1.00;1.00;1.00;100 %;1.00;4.00;5.00;-;-;-;-;3.00;1.00;1.00;0.80;8.00;50 %;4.00;25 %;1.00;0 %;1.00;0 %;-;-;-;-;-;-;1.00;0 %;11.00;2.00;-;-;-;4.00;21.00;38 %;3.00;0 %;18.00;44 %;3.00;33 %;2.00;50 %;1.00;0 %;1.00;0 %;3.00;-;1;1.00;-;-;37.00;20.00;54 %;100 %;-;-;-;0.55;0.80;0.80;1.25;1.94;0.71;1.23;-;-;4.00;1.00;-;-;-;-;-;-;8.00;-;8.00;1.00;1.00;-;-
Никола Чумич;Рубин Казань;216;101;АП ЛЦ;-;-;-;-;-;1.00;-;2.00;-;-;-;-;-;2.00;1.00;0.16;34.00;68 %;3.00;33 %;4.00;50 %;8.00;50 %;1.00;0 %;-;-;1.00;100 %;10.00;50 %;10.00;4.00;1.00;1.00;-;2.00;19.00;37 %;2.00;50 %;17.00;35 %;6.00;17 %;5.00;40 %;3.00;0 %;1.00;100 %;4.00;4.00;1;1.00;-;-;66.00;41.00;62 %;50 %;1.00;-;-;-;0.08;-;0.00;0.71;1.94;-1.23;0.01;0.01;23.00;1.00;2.00;4.00;-;-;1.00;5.00;7.00;1.00;6.00;1.00;2.00;-;1.00
Мирлинд Даку;Рубин Казань;191;101;Ф Ц;-;-;1.00;-;0 %;-;5.00;3.00;-;-;-;-;3.00;2.00;1.00;0.09;19.00;68 %;-;-;-;-;4.00;50 %;-;-;-;-;2.00;50 %;2.00;50 %;12.00;2.00;-;1.00;1.00;1.00;28.00;68 %;2.00;100 %;26.00;65 %;8.00;75 %;10.00;70 %;6.00;50 %;1.00;100 %;1.00;2.00;1;1.00;-;-;53.00;37.00;70 %;50 %;1.00;-;-;0.03;0.04;-;0.00;0.71;1.94;-1.23;0.14;0.14;13.00;-;-;2.00;-;-;1.00;1.00;19.00;2.00;17.00;6.00;7.00;3.00;1.00
Алексей Грицаенко;Рубин Казань;214;101;З ЛЦ;-;-;-;-;-;-;3.00;1.00;1.00;1.00;1.00;-;-;1.00;-;0.04;45.00;87 %;-;-;-;-;12.00;92 %;3.00;67 %;-;-;3.00;67 %;-;-;3.00;1.00;1.00;8.00;1.00;2.00;12.00;67 %;12.00;67 %;-;-;3.00;100 %;-;-;-;-;4.00;50 %;12.00;5.00;1;1.00;-;-;78.00;66.00;85 %;0 %;1.00;-;-;0.02;0.04;-;0.00;0.71;1.94;-1.23;-;-;39.00;-;-;11.00;2.00;-;2.00;-;8.00;8.00;-;3.00;-;-;2.00
Угочукву Ивву Кристус;Рубин Казань;222;101;ЗП ПЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;3.00;-;0.09;56.00;93 %;-;-;-;-;3.00;100 %;1.00;100 %;-;-;5.00;80 %;-;-;3.00;1.00;-;3.00;1.00;2.00;8.00;63 %;3.00;67 %;5.00;60 %;1.00;100 %;1.00;100 %;-;-;-;-;2.00;11.00;1;1.00;-;-;82.00;72.00;88 %;0 %;1.00;2.00;-;-;0.03;-;0.00;0.71;1.94;-1.23;-;-;52.00;-;-;3.00;1.00;-;4.00;-;5.00;2.00;3.00;1.00;1.00;-;-
Дмитрий Кабутов;Рубин Казань;213;101;ЗП П;-;-;-;-;-;-;2.00;2.00;-;2.00;-;-;-;-;-;-;50.00;74 %;-;-;5.00;40 %;15.00;53 %;-;-;-;-;7.00;57 %;10.00;30 %;4.00;-;-;6.00;2.00;2.00;17.00;82 %;12.00;75 %;5.00;100 %;4.00;50 %;3.00;100 %;2.00;100 %;4.00;75 %;8.00;4.00;1;1.00;-;-;82.00;66.00;80 %;-;-;-;-;0.06;-;-;-;0.71;1.94;-1.23;0.16;0.08;37.00;-;2.00;8.00;-;-;4.00;3.00;14.00;9.00;5.00;2.00;3.00;2.00;3.00
Лука Олаза;ФК Краснодар;255;101;ЗЛ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;63.00;87 %;-;-;1.00;100 %;11.00;36 %;1.00;0 %;-;-;9.00;44 %;3.00;67 %;9.00;2.00;-;5.00;2.00;2.00;15.00;60 %;9.00;78 %;6.00;33 %;5.00;60 %;2.00;0 %;1.00;0 %;5.00;80 %;10.00;2.00;1;1.00;-;-;92.00;78.00;85 %;-;-;-;-;0.05;-;-;-;1.94;0.71;1.23;0.09;0.04;55.00;-;1.00;4.00;-;-;4.00;2.00;9.00;7.00;2.00;3.00;-;-;4.00
Лазар Ранджелович;Рубин Казань;185;101;ЗП ЛЦ;-;-;-;-;-;-;3.00;-;-;-;-;-;-;-;-;-;63.00;73 %;5.00;0 %;3.00;0 %;11.00;64 %;-;-;-;-;7.00;86 %;6.00;67 %;13.00;5.00;3.00;4.00;2.00;2.00;15.00;20 %;8.00;13 %;7.00;29 %;4.00;25 %;2.00;50 %;1.00;100 %;2.00;0 %;6.00;6.00;1;1.00;-;-;95.00;63.00;66 %;-;-;-;-;0.31;-;-;-;0.71;1.94;-1.23;0.06;0.03;46.00;-;-;7.00;-;-;6.00;4.00;3.00;1.00;2.00;1.00;1.00;1.00;-
Илья Рожков;Рубин Казань;216;101;ЗП Л;-;-;-;-;-;1.00;-;2.00;-;-;-;-;-;-;-;-;38.00;84 %;1.00;0 %;-;-;12.00;75 %;-;-;-;-;9.00;67 %;3.00;100 %;4.00;1.00;-;4.00;1.00;2.00;13.00;54 %;9.00;44 %;4.00;75 %;4.00;75 %;2.00;50 %;-;-;2.00;50 %;3.00;1.00;1;1.00;-;-;57.00;45.00;79 %;-;-;-;-;0.05;-;-;-;0.71;1.94;-1.23;0.07;0.07;32.00;-;-;9.00;-;-;6.00;3.00;7.00;4.00;3.00;3.00;1.00;-;1.00
