Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Леон Классен;Спартак Москва;245;22;ЗЛ;-;1.00;-;-;-;1.00;1.00;-;-;-;-;-;-;1.00;-;0.02;11.00;100 %;1.00;100 %;-;-;5.00;100 %;-;-;-;-;2.00;100 %;1.00;100 %;-;-;1.00;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1;-;-;1.00;15.00;13.00;87 %;0 %;1.00;-;-;0.43;0.02;-;0.00;0.50;0.66;-0.16;-;-;11.00;1.00;-;5.00;-;-;2.00;1.00;-;-;-;-;-;-;-
Марио Митай;Локомотив Москва;201;22;ЗЛ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;13.00;100 %;-;-;-;-;2.00;100 %;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;1;-;-;1.00;17.00;17.00;100 %;-;-;-;-;-;-;-;-;1.92;-;1.92;-;-;13.00;-;-;2.00;-;-;2.00;-;-;-;-;-;-;-;-
Рифат Жемалетдинов;Локомотив Москва;201;22;АП Ц;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.02;13.00;77 %;-;-;2.00;50 %;3.00;67 %;-;-;-;-;-;-;5.00;40 %;-;-;-;1.00;-;-;2.00;0 %;-;-;2.00;0 %;-;-;1.00;0 %;-;-;-;-;-;3.00;1;-;-;1.00;19.00;13.00;68 %;0 %;-;1.00;-;0.17;0.02;-;0.00;1.92;-;1.92;-;-;10.00;-;1.00;2.00;-;-;-;2.00;-;-;-;-;-;-;-
Антон Зиньковский;Спартак Москва;206;22;АП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;0.01;12.00;67 %;-;-;2.00;0 %;4.00;50 %;1.00;100 %;-;-;1.00;100 %;2.00;0 %;1.00;-;-;1.00;1.00;2.00;1.00;0 %;-;-;1.00;0 %;-;-;1.00;0 %;1.00;0 %;-;-;-;3.00;1;-;-;1.00;19.00;14.00;74 %;100 %;-;-;-;-;0.01;-;0.00;0.50;0.66;-0.16;-;-;8.00;-;-;2.00;1.00;-;1.00;-;-;-;-;-;-;-;-
Владимир Обухов;Оренбург;194;21;АП Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;25 %;-;-;4.00;25 %;3.00;33 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;7.00;4.00;57 %;-;-;-;-;0.05;-;-;-;0.21;-;0.21;-;-;2.00;-;-;-;-;-;-;-;1.00;-;1.00;1.00;-;-;-
Джоэль Фамейе;Рубин Казань;204;20;АП ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;1.00;-;-;-;3.00;33 %;1.00;0 %;-;-;-;-;-;-;-;-;-;-;1.00;0 %;4.00;2.00;-;1.00;-;1.00;4.00;0 %;1.00;0 %;3.00;0 %;2.00;0 %;-;-;-;-;1.00;0 %;1.00;1.00;1;-;-;1.00;11.00;5.00;45 %;-;-;-;-;-;-;-;-;0.38;-;0.38;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кирилл Набабкин;ЦСКА Москва;204;20;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;100 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;-;-;-;2.00;-;-;1.00;100 %;1.00;100 %;-;-;-;-;-;-;-;-;1.00;100 %;3.00;-;1;-;-;1.00;7.00;7.00;100 %;-;-;-;-;-;-;-;-;0.66;0.50;0.16;-;-;3.00;-;-;1.00;-;-;-;-;1.00;1.00;-;-;-;-;1.00
Александр Зотов;Рубин Казань;193;20;ЗП ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;50 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;100 %;1.00;100 %;-;-;-;-;-;-;-;-;1.00;100 %;-;1.00;1;-;-;1.00;4.00;3.00;75 %;-;-;-;-;-;-;-;-;0.38;-;0.38;-;-;1.00;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;1.00
Николай Комличенко;Ростов;165;19;Ф Ц;-;-;-;-;-;-;2.00;-;1.00;1.00;1.00;-;-;-;-;-;7.00;57 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;-;1.00;-;-;-;12.00;33 %;2.00;50 %;10.00;30 %;10.00;40 %;1.00;0 %;1.00;0 %;-;-;-;3.00;1;-;-;1.00;24.00;11.00;46 %;-;-;-;-;-;-;-;-;0.01;0.21;-0.20;-;-;4.00;-;-;-;-;-;-;-;4.00;1.00;3.00;4.00;-;-;-
Владислав Малькевич;Урал Екатеринбург;188;19;АП Л;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;4.00;25 %;-;-;-;-;2.00;0 %;-;-;-;-;-;-;-;-;2.00;-;-;-;-;1.00;4.00;75 %;1.00;100 %;3.00;67 %;3.00;67 %;-;-;-;-;-;-;2.00;-;1;-;-;1.00;11.00;7.00;64 %;-;-;-;-;-;-;-;-;-;1.92;-1.92;-;-;1.00;-;-;-;-;-;-;-;3.00;1.00;2.00;2.00;-;-;-
