Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Никита Салтыков;Крылья Советов;204;84;АП Л;-;-;-;-;-;-;-;1.00;-;-;-;-;-;2.00;-;0.06;23.00;70 %;2.00;0 %;-;-;3.00;33 %;-;-;-;-;1.00;100 %;2.00;50 %;9.00;2.00;-;-;-;4.00;17.00;41 %;4.00;25 %;13.00;46 %;2.00;100 %;4.00;50 %;3.00;33 %;3.00;33 %;-;3.00;1;1.00;1.00;-;49.00;30.00;61 %;0 %;1.00;1.00;-;-;0.03;-;0.00;0.62;0.45;0.17;-;-;16.00;-;-;1.00;-;-;1.00;1.00;7.00;1.00;6.00;2.00;2.00;1.00;1.00
Тимур Сулейманов;Пари Нижний Новгород;185;84;Ф ЛЦ;-;-;-;-;-;-;2.00;2.00;-;-;-;-;1.00;-;-;-;22.00;64 %;-;-;-;-;5.00;20 %;-;-;-;-;5.00;40 %;1.00;0 %;16.00;4.00;1.00;2.00;-;1.00;36.00;33 %;11.00;36 %;25.00;32 %;17.00;29 %;1.00;100 %;1.00;100 %;3.00;67 %;2.00;2.00;1;1.00;1.00;-;65.00;32.00;49 %;-;-;-;-;0.02;-;-;-;0.20;1.62;-1.42;-;-;14.00;-;-;1.00;-;-;2.00;-;12.00;4.00;8.00;5.00;1.00;1.00;2.00
Джон Кордоба;ФК Краснодар;281;83;Ф Ц;1.00;-;2.00;1.00;50 %;1.00;1.00;2.00;-;-;1.00;-;-;2.00;2.00;0.49;10.00;80 %;1.00;100 %;-;-;1.00;100 %;1.00;100 %;-;-;1.00;100 %;-;-;10.00;-;-;-;-;1.00;20.00;35 %;5.00;20 %;15.00;40 %;6.00;17 %;5.00;40 %;4.00;50 %;1.00;100 %;2.00;1.00;1;1.00;1.00;-;36.00;21.00;58 %;100 %;-;-;-;0.64;0.24;0.49;2.4;1.51;0.70;0.81;-;-;8.00;1.00;-;1.00;1.00;-;1.00;-;7.00;1.00;6.00;1.00;2.00;2.00;1.00
Максим Ненахов;Локомотив Москва;263;83;З П;-;-;-;-;-;-;4.00;-;-;-;-;-;-;1.00;1.00;0.12;52.00;88 %;-;-;-;-;10.00;90 %;-;-;-;-;5.00;80 %;-;-;3.00;2.00;-;9.00;2.00;1.00;15.00;73 %;9.00;78 %;6.00;67 %;3.00;100 %;-;-;-;-;5.00;80 %;10.00;7.00;1;1.00;1.00;-;88.00;78.00;89 %;100 %;-;-;-;-;0.12;-;0.00;2.73;1.80;0.93;-;-;46.00;-;-;9.00;-;-;4.00;-;11.00;7.00;4.00;3.00;-;-;4.00
Владимир Обухов;Оренбург;236;83;Ф Ц;1.00;-;1.00;1.00;100 %;1.00;2.00;-;-;-;-;-;-;1.00;1.00;0.20;19.00;63 %;1.00;100 %;-;-;3.00;0 %;-;-;-;-;4.00;50 %;-;-;10.00;1.00;-;-;-;-;11.00;27 %;1.00;0 %;10.00;30 %;10.00;30 %;-;-;-;-;-;-;2.00;2.00;1;1.00;1.00;-;35.00;20.00;57 %;100 %;-;-;-;0.20;0.20;0.20;5.00;0.82;0.48;0.34;-;-;12.00;1.00;-;-;-;-;2.00;-;3.00;-;3.00;3.00;-;-;-
Олакунле Олусегун;ФК Краснодар;216;83;АП П;-;-;1.00;-;0 %;1.00;4.00;1.00;-;-;1.00;-;-;1.00;1.00;0.04;6.00;83 %;-;-;-;-;1.00;100 %;1.00;100 %;-;-;1.00;100 %;-;-;6.00;-;-;1.00;-;-;18.00;28 %;7.00;14 %;11.00;36 %;5.00;0 %;4.00;25 %;2.00;0 %;3.00;0 %;1.00;2.00;1;1.00;1.00;-;27.00;13.00;48 %;100 %;-;-;-;-;0.04;-;0.00;1.51;0.70;0.81;-;-;5.00;-;-;1.00;1.00;-;1.00;-;5.00;1.00;4.00;-;1.00;-;-
Кирилл Печенин;Оренбург;223;83;ЗЛ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;47.00;79 %;-;-;3.00;33 %;10.00;40 %;4.00;25 %;-;-;4.00;100 %;4.00;25 %;9.00;4.00;-;6.00;-;-;14.00;57 %;8.00;75 %;6.00;33 %;2.00;100 %;3.00;0 %;2.00;0 %;5.00;60 %;6.00;5.00;1;-;-;1.00;73.00;57.00;78 %;-;-;-;-;0.02;-;-;-;1.24;0.50;0.74;-;-;37.00;-;1.00;4.00;1.00;-;4.00;1.00;8.00;6.00;2.00;2.00;-;-;3.00
Никола Радмановац;Балтика;180;83;З ПЦ;-;-;-;-;-;-;2.00;1.00;2.00;3.00;1.00;-;-;-;-;-;51.00;88 %;-;-;-;-;12.00;58 %;2.00;100 %;-;-;6.00;50 %;-;-;-;-;-;6.00;2.00;7.00;10.00;40 %;10.00;40 %;-;-;8.00;50 %;-;-;-;-;2.00;0 %;6.00;8.00;1;1.00;1.00;-;83.00;71.00;86 %;-;-;-;-;-;-;-;-;1.80;2.73;-0.93;0.14;0.14;45.00;-;-;7.00;2.00;-;3.00;-;4.00;4.00;-;4.00;-;-;-
Денис Терентьев;Ростов;188;83;З ПЦ;-;-;-;-;-;-;1.00;-;-;3.00;-;-;-;-;-;-;64.00;88 %;-;-;3.00;67 %;16.00;75 %;1.00;100 %;-;-;12.00;75 %;5.00;80 %;4.00;-;1.00;10.00;3.00;4.00;8.00;63 %;8.00;63 %;-;-;4.00;50 %;-;-;-;-;3.00;67 %;6.00;2.00;1;1.00;1.00;-;85.00;73.00;86 %;-;-;-;-;0.25;-;-;-;1.17;2.3;-0.86;-;-;56.00;-;2.00;12.00;1.00;-;9.00;4.00;5.00;5.00;-;2.00;-;-;2.00
Максим Глушенков;Локомотив Москва;211;82;АП Ц;-;-;1.00;-;0 %;-;-;3.00;1.00;1.00;-;-;-;2.00;1.00;0.33;28.00;82 %;1.00;0 %;1.00;0 %;5.00;100 %;1.00;100 %;-;-;5.00;100 %;3.00;33 %;1.00;-;-;2.00;-;7.00;12.00;42 %;7.00;43 %;5.00;40 %;2.00;50 %;2.00;50 %;2.00;50 %;2.00;50 %;1.00;1.00;1;1.00;1.00;-;51.00;38.00;75 %;50 %;-;1.00;-;0.14;0.17;-;0.00;2.73;1.80;0.93;-;-;23.00;-;-;5.00;1.00;-;5.00;1.00;5.00;3.00;2.00;1.00;1.00;1.00;1.00
Ильнур Альшин;Факел Воронеж;194;81;ЗП Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;24.00;79 %;-;-;-;-;9.00;44 %;-;-;-;-;3.00;33 %;-;-;5.00;1.00;1.00;3.00;-;2.00;8.00;50 %;4.00;50 %;4.00;50 %;3.00;67 %;1.00;100 %;-;-;2.00;50 %;5.00;6.00;1;1.00;1.00;-;48.00;38.00;79 %;-;-;-;-;-;-;-;-;0.24;0.62;-0.38;-;-;19.00;-;-;4.00;-;-;1.00;-;4.00;2.00;2.00;2.00;1.00;-;1.00
Александр Мартынович;Рубин Казань;185;80;З ПЦ;-;-;1.00;-;0 %;1.00;-;-;1.00;1.00;-;-;-;2.00;2.00;0.10;48.00;88 %;-;-;-;-;13.00;69 %;1.00;0 %;1.00;0 %;6.00;67 %;-;-;4.00;-;-;5.00;2.00;3.00;9.00;67 %;3.00;67 %;6.00;67 %;5.00;60 %;-;-;-;-;1.00;0 %;2.00;5.00;1;1.00;1.00;-;68.00;59.00;87 %;100 %;-;-;-;-;0.05;-;0.00;1.62;0.20;1.42;0.06;0.06;42.00;-;-;9.00;-;-;4.00;-;6.00;2.00;4.00;3.00;-;-;-
Умарали Рахмоналиев;Рубин Казань;190;80;П ЛЦ;-;-;-;-;-;1.00;-;-;-;-;-;-;-;1.00;1.00;0.02;37.00;73 %;1.00;100 %;-;-;9.00;44 %;1.00;0 %;-;-;7.00;57 %;2.00;50 %;6.00;2.00;1.00;3.00;-;1.00;17.00;35 %;4.00;0 %;13.00;46 %;-;-;3.00;67 %;-;-;2.00;0 %;2.00;9.00;1;1.00;1.00;-;69.00;47.00;68 %;100 %;-;-;-;0.45;0.02;-;0.00;1.62;0.20;1.42;-;-;27.00;1.00;-;4.00;-;-;4.00;1.00;6.00;-;6.00;-;2.00;-;-
Мигель Силвейра Дос Сантос;Сочи;217;78;АП ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;-;0.06;29.00;76 %;1.00;0 %;-;-;5.00;60 %;-;-;-;-;2.00;50 %;3.00;33 %;4.00;1.00;2.00;-;-;3.00;11.00;64 %;6.00;50 %;5.00;80 %;1.00;0 %;4.00;75 %;2.00;100 %;4.00;75 %;-;3.00;1;1.00;1.00;-;49.00;35.00;71 %;0 %;1.00;-;-;0.22;0.06;-;0.00;0.48;0.80;-0.32;-;-;22.00;-;-;3.00;-;-;1.00;1.00;7.00;3.00;4.00;-;3.00;2.00;3.00
Фёдор Чалов;ЦСКА Москва;235;76;АП ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;-;0.26;19.00;58 %;1.00;0 %;-;-;3.00;0 %;2.00;50 %;1.00;0 %;1.00;0 %;3.00;0 %;8.00;1.00;-;-;-;2.00;13.00;31 %;5.00;20 %;8.00;38 %;3.00;0 %;3.00;67 %;1.00;0 %;4.00;25 %;2.00;1.00;1;1.00;1.00;-;38.00;20.00;53 %;0 %;1.00;-;-;0.05;0.26;-;0.00;1.11;0.69;0.42;-;-;11.00;-;-;-;1.00;-;-;-;4.00;1.00;3.00;-;2.00;-;1.00
Георгий Джикия;Спартак Москва;218;76;З ЛЦ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;-;-;-;43.00;88 %;-;-;-;-;12.00;75 %;2.00;0 %;-;-;3.00;67 %;-;-;3.00;1.00;1.00;8.00;-;2.00;6.00;83 %;4.00;100 %;2.00;50 %;-;-;-;-;-;-;1.00;100 %;4.00;6.00;1;1.00;1.00;-;64.00;57.00;89 %;-;-;-;-;-;-;-;-;0.55;1.51;-0.96;0.29;0.14;38.00;-;-;9.00;-;-;2.00;-;5.00;4.00;1.00;-;-;-;1.00
Амар Рахманович;Крылья Советов;219;76;АП Ц;1.00;-;1.00;1.00;100 %;-;2.00;1.00;-;-;-;-;-;1.00;1.00;0.26;23.00;70 %;-;-;1.00;0 %;8.00;63 %;2.00;100 %;-;-;3.00;67 %;1.00;0 %;13.00;3.00;2.00;2.00;-;-;14.00;36 %;1.00;0 %;13.00;38 %;6.00;50 %;2.00;50 %;1.00;100 %;1.00;0 %;2.00;3.00;1;1.00;1.00;-;45.00;27.00;60 %;100 %;-;-;-;-;0.26;0.26;3.85;0.62;0.24;0.38;-;-;16.00;-;-;5.00;2.00;-;2.00;-;5.00;-;5.00;3.00;1.00;1.00;-
Владислав Шитов;Крылья Советов;250;76;Ф Ц;1.00;-;1.00;1.00;100 %;-;1.00;3.00;-;-;-;-;-;3.00;2.00;0.15;29.00;76 %;2.00;0 %;2.00;0 %;3.00;100 %;2.00;50 %;1.00;0 %;2.00;100 %;3.00;33 %;11.00;4.00;2.00;-;-;2.00;24.00;21 %;9.00;11 %;15.00;27 %;10.00;0 %;4.00;50 %;3.00;67 %;2.00;50 %;1.00;5.00;1;1.00;1.00;-;66.00;37.00;56 %;67 %;-;1.00;-;0.26;0.05;0.15;6.67;0.62;0.24;0.38;-;-;22.00;-;-;3.00;1.00;-;2.00;1.00;5.00;1.00;4.00;-;2.00;2.00;1.00
Келвен Дуглас Силва Оливейра;ЦСКА Москва;224;76;ЗП П;-;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;-;0.02;25.00;72 %;-;-;3.00;0 %;6.00;67 %;2.00;100 %;-;-;3.00;67 %;2.00;0 %;6.00;3.00;-;2.00;-;1.00;11.00;55 %;6.00;50 %;5.00;60 %;4.00;25 %;1.00;100 %;-;-;3.00;67 %;7.00;5.00;1;1.00;1.00;-;51.00;38.00;75 %;0 %;1.00;-;-;-;0.02;-;0.00;1.11;0.69;0.42;0.10;0.05;18.00;-;-;4.00;2.00;-;2.00;-;6.00;3.00;3.00;1.00;1.00;-;2.00
Кики;Урал Екатеринбург;185;75;ЗЛ;-;-;1.00;-;0 %;1.00;2.00;2.00;-;-;-;-;-;1.00;-;0.04;34.00;68 %;-;-;2.00;0 %;13.00;62 %;4.00;50 %;2.00;50 %;9.00;56 %;4.00;0 %;9.00;1.00;-;2.00;1.00;-;12.00;25 %;9.00;33 %;3.00;0 %;4.00;50 %;1.00;0 %;1.00;0 %;4.00;25 %;5.00;8.00;1;1.00;1.00;-;60.00;39.00;65 %;0 %;-;-;1.00;-;0.04;-;0.00;0.60;0.79;-0.19;0.16;0.16;23.00;-;-;8.00;2.00;1.00;5.00;-;3.00;3.00;-;2.00;-;-;1.00
Тимур Аюпов;Урал Екатеринбург;201;75;АП Ц;-;-;-;-;-;1.00;1.00;1.00;-;-;-;-;-;1.00;-;0.04;14.00;57 %;1.00;100 %;1.00;0 %;6.00;50 %;-;-;-;-;3.00;33 %;3.00;67 %;8.00;-;-;3.00;1.00;1.00;14.00;43 %;6.00;17 %;8.00;63 %;3.00;33 %;1.00;100 %;-;-;2.00;50 %;-;3.00;1;1.00;1.00;-;33.00;18.00;55 %;0 %;-;1.00;-;0.16;0.04;-;0.00;0.60;0.79;-0.19;-;-;8.00;1.00;-;3.00;-;-;1.00;2.00;6.00;1.00;5.00;1.00;1.00;-;1.00
Максим Кузьмин;Балтика;218;75;П ПЦ;-;1.00;-;-;-;2.00;1.00;-;-;-;-;-;-;-;-;-;52.00;67 %;2.00;100 %;5.00;20 %;11.00;55 %;2.00;100 %;-;-;5.00;60 %;12.00;42 %;15.00;1.00;2.00;2.00;2.00;2.00;16.00;31 %;4.00;25 %;12.00;33 %;3.00;33 %;6.00;33 %;6.00;33 %;3.00;0 %;2.00;10.00;1;1.00;1.00;-;84.00;54.00;64 %;-;-;-;-;0.93;-;-;-;1.80;2.73;-0.93;-;-;35.00;2.00;1.00;6.00;2.00;-;3.00;5.00;5.00;1.00;4.00;1.00;2.00;2.00;-
Николя Нгамалё;Динамо Москва;266;75;АП Л;1.00;-;1.00;1.00;100 %;-;1.00;1.00;-;-;-;-;-;3.00;2.00;0.31;28.00;86 %;1.00;0 %;-;-;6.00;67 %;-;-;-;-;2.00;50 %;-;-;10.00;3.00;-;6.00;-;5.00;20.00;35 %;5.00;60 %;15.00;27 %;3.00;33 %;7.00;43 %;5.00;20 %;5.00;60 %;4.00;6.00;1;1.00;1.00;-;66.00;48.00;73 %;67 %;1.00;-;-;0.02;0.10;0.31;3.23;1.58;1.15;0.43;0.03;0.03;24.00;-;-;4.00;-;-;1.00;-;7.00;3.00;4.00;1.00;3.00;1.00;3.00
Фёдор Смолов;Динамо Москва;214;75;АП Ц;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;-;0.03;34.00;82 %;1.00;0 %;-;-;7.00;43 %;-;-;-;-;3.00;33 %;2.00;50 %;7.00;3.00;-;2.00;-;4.00;6.00;0 %;2.00;0 %;4.00;0 %;2.00;0 %;3.00;0 %;1.00;0 %;1.00;0 %;2.00;2.00;1;1.00;1.00;-;49.00;36.00;73 %;0 %;1.00;-;-;0.16;0.03;-;0.00;1.58;1.15;0.43;-;-;28.00;-;-;3.00;-;-;1.00;1.00;-;-;-;-;-;-;-
Мохамед Конате;ФК Ахмат;251;74;Ф Ц;1.00;-;2.00;1.00;50 %;-;2.00;-;-;-;-;-;1.00;4.00;2.00;1.24;11.00;55 %;-;-;-;-;2.00;0 %;-;-;-;-;-;-;2.00;0 %;15.00;1.00;1.00;-;-;2.00;22.00;23 %;3.00;33 %;19.00;21 %;9.00;11 %;1.00;100 %;-;-;1.00;0 %;2.00;1.00;1;1.00;1.00;-;43.00;18.00;42 %;50 %;2.00;-;-;-;0.31;1.24;0.81;0.79;0.60;0.19;-;-;6.00;-;-;-;-;-;-;-;5.00;1.00;4.00;1.00;1.00;-;-
Юрий Ковалёв;Оренбург;201;74;АП П;-;-;2.00;-;0 %;1.00;1.00;2.00;-;-;-;-;-;3.00;1.00;0.10;12.00;50 %;-;-;6.00;0 %;1.00;100 %;1.00;100 %;-;-;-;-;4.00;0 %;5.00;-;2.00;2.00;1.00;3.00;11.00;36 %;4.00;50 %;7.00;29 %;5.00;20 %;2.00;0 %;-;-;2.00;50 %;2.00;-;1;1.00;1.00;-;33.00;16.00;48 %;33 %;1.00;1.00;-;-;0.03;-;0.00;0.65;0.48;0.17;-;-;6.00;-;-;1.00;1.00;-;-;-;4.00;2.00;2.00;1.00;-;-;1.00
Брайан Эзекуэль Мансилья;Оренбург;265;74;АП Л;1.00;1.00;3.00;1.00;33 %;3.00;1.00;1.00;-;-;-;-;1.00;3.00;1.00;0.97;23.00;78 %;1.00;100 %;4.00;25 %;3.00;33 %;1.00;0 %;-;-;1.00;100 %;5.00;40 %;6.00;-;-;2.00;2.00;2.00;21.00;33 %;4.00;0 %;17.00;41 %;1.00;0 %;8.00;38 %;6.00;50 %;2.00;0 %;4.00;6.00;1;1.00;1.00;-;59.00;38.00;64 %;33 %;1.00;-;1.00;0.20;0.32;0.97;1.3;0.65;0.48;0.17;-;-;18.00;1.00;1.00;1.00;-;-;1.00;2.00;7.00;-;7.00;-;3.00;3.00;-
Ан. Миранчук;Локомотив Москва;276;74;АП Л;1.00;-;3.00;1.00;33 %;3.00;1.00;1.00;-;-;-;-;-;4.00;3.00;0.69;31.00;71 %;2.00;50 %;1.00;0 %;5.00;60 %;1.00;100 %;-;-;2.00;50 %;6.00;50 %;4.00;1.00;-;6.00;2.00;2.00;11.00;64 %;6.00;67 %;5.00;60 %;5.00;60 %;2.00;100 %;2.00;100 %;2.00;100 %;4.00;4.00;1;1.00;1.00;-;56.00;42.00;75 %;75 %;-;1.00;-;0.68;0.17;0.69;1.45;2.73;1.80;0.93;-;-;22.00;1.00;-;3.00;1.00;-;1.00;3.00;7.00;4.00;3.00;3.00;2.00;2.00;2.00
Роберто Карлос Фернандес Торо;Балтика;168;73;ЗП Л;-;-;-;-;-;-;2.00;2.00;1.00;1.00;-;-;-;-;-;-;39.00;72 %;-;-;-;-;8.00;50 %;-;-;-;-;7.00;57 %;1.00;0 %;9.00;3.00;2.00;3.00;2.00;-;12.00;33 %;7.00;29 %;5.00;40 %;3.00;0 %;2.00;0 %;2.00;0 %;3.00;33 %;3.00;5.00;1;1.00;1.00;-;61.00;40.00;66 %;-;-;-;-;-;-;-;-;1.80;2.73;-0.93;0.12;0.12;28.00;-;-;4.00;-;-;4.00;-;4.00;2.00;2.00;-;-;-;1.00
Вячеслав Караваев;Зенит;235;73;З ПЦ;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;-;62.00;90 %;1.00;100 %;1.00;100 %;11.00;64 %;-;-;-;-;4.00;100 %;2.00;50 %;3.00;1.00;-;5.00;-;1.00;8.00;38 %;7.00;29 %;1.00;100 %;5.00;40 %;-;-;-;-;1.00;0 %;8.00;4.00;1;1.00;1.00;-;83.00;72.00;87 %;-;-;-;-;-;-;-;-;0.69;1.11;-0.42;0.05;0.05;56.00;1.00;1.00;7.00;-;-;4.00;1.00;3.00;2.00;1.00;2.00;-;-;-
Густаво Мантуан;Зенит;198;73;Ф ЛЦ;-;-;1.00;-;0 %;-;1.00;2.00;-;-;-;-;-;1.00;-;0.02;31.00;74 %;-;-;4.00;0 %;3.00;67 %;2.00;50 %;-;-;-;-;3.00;33 %;9.00;3.00;3.00;2.00;-;4.00;10.00;50 %;2.00;0 %;8.00;63 %;2.00;0 %;2.00;100 %;1.00;100 %;-;-;2.00;6.00;1;1.00;1.00;-;57.00;40.00;70 %;0 %;1.00;-;-;-;0.02;-;0.00;0.69;1.11;-0.42;-;-;23.00;-;-;2.00;1.00;-;-;1.00;5.00;-;5.00;-;2.00;1.00;-
Хызыр Аппаев;Факел Воронеж;156;69;Ф ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;18.00;50 %;-;-;2.00;0 %;3.00;0 %;2.00;0 %;-;-;-;-;1.00;0 %;10.00;-;1.00;1.00;-;1.00;13.00;31 %;2.00;0 %;11.00;36 %;3.00;0 %;1.00;100 %;-;-;-;-;2.00;5.00;1;1.00;1.00;-;40.00;21.00;53 %;-;-;-;-;-;-;-;-;0.22;0.56;-0.34;0.01;0.01;9.00;-;-;-;-;-;-;-;4.00;-;4.00;-;1.00;-;-
Николай Комличенко;Ростов;174;69;Ф Ц;-;-;3.00;-;0 %;-;-;-;-;-;1.00;-;-;4.00;-;0.79;11.00;45 %;-;-;-;-;3.00;33 %;-;-;-;-;1.00;0 %;-;-;10.00;1.00;1.00;-;-;-;15.00;40 %;4.00;25 %;11.00;45 %;10.00;50 %;1.00;0 %;-;-;1.00;0 %;4.00;1.00;1;1.00;1.00;-;36.00;16.00;44 %;0 %;3.00;1.00;-;0.25;0.20;-;0.00;1.15;1.58;-0.43;-;-;5.00;-;-;1.00;-;-;-;-;6.00;1.00;5.00;5.00;-;-;-
Тео Бонгонда;Спартак Москва;221;66;АП П;-;-;-;-;-;1.00;-;2.00;-;1.00;-;-;-;-;-;-;15.00;73 %;1.00;100 %;-;-;6.00;67 %;2.00;50 %;1.00;0 %;2.00;50 %;3.00;100 %;6.00;4.00;1.00;2.00;2.00;1.00;12.00;50 %;2.00;100 %;10.00;40 %;2.00;100 %;5.00;20 %;1.00;100 %;1.00;100 %;1.00;3.00;1;1.00;1.00;-;33.00;22.00;67 %;-;-;-;-;0.14;-;-;-;0.51;1.51;-1.00;-;-;11.00;1.00;-;4.00;1.00;-;1.00;3.00;6.00;2.00;4.00;2.00;1.00;1.00;1.00
Михаил Игнатов;Спартак Москва;265;66;П ПЦ;-;-;1.00;-;0 %;-;1.00;-;-;-;-;-;1.00;1.00;1.00;0.13;17.00;82 %;-;-;1.00;0 %;2.00;50 %;-;-;-;-;2.00;100 %;2.00;50 %;4.00;-;-;4.00;3.00;1.00;12.00;58 %;5.00;60 %;7.00;57 %;2.00;0 %;4.00;75 %;1.00;100 %;2.00;100 %;2.00;3.00;1;1.00;1.00;-;36.00;28.00;78 %;100 %;-;-;-;-;0.13;-;0.00;0.51;1.51;-1.00;-;-;14.00;-;-;1.00;-;-;2.00;1.00;7.00;3.00;4.00;-;3.00;1.00;2.00
Артём Макарчук;Сочи;215;66;ЗП Л;-;-;1.00;-;0 %;2.00;2.00;-;-;1.00;-;-;-;1.00;-;0.03;18.00;89 %;2.00;100 %;2.00;50 %;2.00;50 %;-;-;-;-;-;-;2.00;100 %;3.00;-;-;5.00;2.00;3.00;8.00;63 %;4.00;75 %;4.00;50 %;1.00;100 %;2.00;0 %;2.00;0 %;3.00;67 %;4.00;2.00;1;1.00;1.00;-;36.00;30.00;83 %;0 %;1.00;-;-;0.36;0.03;-;0.00;0.48;0.62;-0.14;0.02;0.02;16.00;2.00;1.00;1.00;-;-;-;2.00;5.00;3.00;2.00;1.00;-;-;2.00
Светослав Светозаров Ковачев;ФК Ахмат;214;65;АП П;-;-;-;-;-;1.00;2.00;2.00;-;-;-;-;-;-;-;-;19.00;74 %;2.00;50 %;1.00;100 %;3.00;67 %;-;-;-;-;-;-;3.00;67 %;7.00;3.00;-;2.00;1.00;-;13.00;38 %;4.00;50 %;9.00;33 %;3.00;0 %;4.00;25 %;1.00;100 %;2.00;50 %;3.00;7.00;1;1.00;1.00;-;42.00;29.00;69 %;-;-;-;-;0.38;-;-;-;0.79;0.58;0.21;-;-;14.00;1.00;1.00;2.00;-;-;-;2.00;5.00;2.00;3.00;-;1.00;1.00;1.00
Артём Тимофеев;ФК Ахмат;214;65;ЗП ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;-;-;-;29.00;72 %;1.00;0 %;1.00;0 %;7.00;57 %;1.00;100 %;-;-;2.00;50 %;-;-;6.00;3.00;-;7.00;-;2.00;16.00;56 %;12.00;58 %;4.00;50 %;9.00;67 %;1.00;0 %;-;-;2.00;50 %;7.00;3.00;1;1.00;1.00;-;57.00;42.00;74 %;-;-;-;-;-;-;-;-;0.79;0.58;0.21;-;-;21.00;-;-;4.00;1.00;-;1.00;-;9.00;7.00;2.00;6.00;-;-;1.00
Алексей Каштанов;Урал Екатеринбург;196;64;Ф Ц;-;-;1.00;-;0 %;-;-;-;-;-;-;-;2.00;3.00;1.00;0.20;18.00;61 %;-;-;-;-;3.00;67 %;1.00;100 %;1.00;100 %;1.00;100 %;1.00;100 %;11.00;-;-;1.00;-;1.00;26.00;42 %;3.00;33 %;23.00;43 %;15.00;47 %;2.00;50 %;1.00;0 %;2.00;50 %;1.00;1.00;1;1.00;1.00;-;50.00;26.00;52 %;33 %;-;2.00;-;0.31;0.07;-;0.00;0.58;0.79;-0.21;0.02;0.02;11.00;-;-;2.00;1.00;1.00;1.00;1.00;11.00;1.00;10.00;7.00;1.00;-;1.00
Александр Юшин;Урал Екатеринбург;199;64;АП Л;-;-;1.00;-;0 %;2.00;1.00;-;-;-;-;-;-;2.00;-;0.30;29.00;55 %;1.00;100 %;2.00;50 %;5.00;20 %;2.00;100 %;-;-;3.00;0 %;14.00;36 %;6.00;-;-;1.00;-;-;9.00;33 %;3.00;33 %;6.00;33 %;3.00;67 %;1.00;0 %;1.00;0 %;1.00;100 %;1.00;5.00;1;1.00;1.00;-;46.00;25.00;54 %;0 %;-;1.00;1.00;-;0.15;-;0.00;0.58;0.79;-0.21;-;-;16.00;1.00;1.00;1.00;2.00;-;-;5.00;3.00;1.00;2.00;2.00;-;-;1.00
