Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Сергей Божин;Факел Воронеж;182;96;З Ц;-;-;1.00;-;0 %;-;1.00;-;1.00;2.00;-;-;-;1.00;1.00;0.14;52.00;87 %;-;-;-;-;16.00;56 %;3.00;67 %;-;-;2.00;50 %;-;-;4.00;1.00;-;13.00;1.00;1.00;12.00;75 %;9.00;67 %;3.00;100 %;5.00;80 %;-;-;-;-;1.00;100 %;4.00;11.00;1;1.00;-;-;81.00;71.00;88 %;100 %;-;-;-;-;0.14;-;0.00;0.45;0.70;-0.25;-;-;45.00;-;-;9.00;2.00;-;1.00;-;9.00;6.00;3.00;4.00;-;-;1.00
Василий Черов;Факел Воронеж;237;96;З ПЦ;-;-;-;-;-;2.00;-;1.00;-;-;-;-;-;-;-;-;72.00;86 %;3.00;67 %;5.00;60 %;25.00;80 %;5.00;80 %;-;-;16.00;88 %;10.00;60 %;7.00;2.00;-;12.00;4.00;11.00;19.00;68 %;12.00;75 %;7.00;57 %;5.00;80 %;5.00;80 %;4.00;75 %;5.00;60 %;8.00;11.00;1;1.00;-;-;121.00;105.00;87 %;-;-;-;-;0.05;-;-;-;0.45;0.70;-0.25;0.03;0.03;62.00;2.00;3.00;20.00;4.00;-;14.00;6.00;13.00;9.00;4.00;4.00;4.00;3.00;3.00
Роман Евгеньев;Крылья Советов;217;96;З ПЦ;-;-;1.00;-;0 %;1.00;-;1.00;-;2.00;-;-;-;1.00;1.00;0.14;47.00;91 %;-;-;-;-;5.00;80 %;2.00;100 %;-;-;5.00;100 %;-;-;2.00;2.00;-;15.00;1.00;-;16.00;75 %;13.00;69 %;3.00;100 %;4.00;100 %;1.00;100 %;-;-;2.00;50 %;7.00;9.00;1;1.00;-;-;80.00;72.00;90 %;100 %;-;-;-;-;0.14;-;0.00;0.70;0.45;0.25;-;-;43.00;-;-;4.00;2.00;-;5.00;-;12.00;9.00;3.00;4.00;1.00;-;1.00
Юрий Горшков;Крылья Советов;235;96;ЗЛ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;48.00;79 %;-;-;3.00;0 %;15.00;80 %;3.00;67 %;2.00;50 %;5.00;80 %;5.00;60 %;8.00;4.00;-;5.00;-;2.00;13.00;62 %;8.00;63 %;5.00;60 %;5.00;60 %;3.00;67 %;1.00;0 %;3.00;67 %;5.00;7.00;1;1.00;-;-;76.00;61.00;80 %;-;-;-;-;0.14;-;-;-;0.70;0.45;0.25;-;-;38.00;-;-;12.00;2.00;1.00;4.00;3.00;8.00;5.00;3.00;3.00;2.00;-;2.00
Игорь Калинин;Факел Воронеж;170;96;З ЛЦ;-;-;-;-;-;1.00;1.00;5.00;2.00;3.00;1.00;-;-;-;-;-;63.00;73 %;2.00;50 %;4.00;25 %;23.00;65 %;4.00;75 %;1.00;100 %;17.00;71 %;6.00;50 %;9.00;1.00;-;7.00;4.00;2.00;17.00;71 %;13.00;62 %;4.00;100 %;4.00;100 %;2.00;100 %;-;-;8.00;38 %;14.00;7.00;1;1.00;-;-;103.00;81.00;79 %;-;-;-;-;0.14;-;-;-;0.45;0.70;-0.25;0.06;0.06;46.00;1.00;1.00;15.00;3.00;1.00;12.00;3.00;12.00;8.00;4.00;4.00;2.00;-;3.00
Владислав Мастерной;Факел Воронеж;183;96;ЗП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37.00;81 %;-;-;4.00;25 %;3.00;67 %;1.00;100 %;-;-;3.00;67 %;4.00;50 %;7.00;1.00;1.00;2.00;1.00;1.00;15.00;40 %;11.00;45 %;4.00;25 %;4.00;0 %;1.00;0 %;-;-;6.00;83 %;1.00;4.00;1;1.00;-;-;59.00;42.00;71 %;-;-;-;-;0.01;-;-;-;0.45;0.70;-0.25;-;-;30.00;-;1.00;2.00;1.00;-;2.00;2.00;6.00;5.00;1.00;-;-;-;5.00
Андрей Мендель;Факел Воронеж;208;96;ЗП ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;1.00;1.00;-;0.02;32.00;88 %;-;-;-;-;6.00;67 %;1.00;100 %;-;-;4.00;75 %;-;-;2.00;-;-;8.00;3.00;-;19.00;58 %;14.00;57 %;5.00;60 %;7.00;57 %;-;-;-;-;8.00;63 %;5.00;5.00;1;1.00;-;-;62.00;49.00;79 %;0 %;-;1.00;-;0.01;0.02;-;0.00;0.45;0.70;-0.25;0.03;0.03;28.00;-;-;4.00;1.00;-;3.00;-;11.00;8.00;3.00;4.00;-;-;5.00
Фернандо Костанца;Крылья Советов;237;96;ЗП ПЦ;1.00;-;1.00;1.00;100 %;1.00;1.00;2.00;-;-;-;-;-;1.00;1.00;0.75;44.00;75 %;-;-;1.00;100 %;9.00;44 %;1.00;0 %;-;-;3.00;33 %;3.00;33 %;9.00;2.00;-;6.00;1.00;2.00;23.00;52 %;15.00;67 %;8.00;25 %;5.00;40 %;3.00;33 %;2.00;50 %;6.00;83 %;5.00;10.00;1;1.00;-;-;85.00;63.00;74 %;100 %;-;-;-;-;0.75;0.75;1.33;0.70;0.45;0.25;-;-;33.00;-;1.00;4.00;-;-;1.00;1.00;12.00;10.00;2.00;2.00;1.00;1.00;5.00
Александр Солдатенков;Крылья Советов;233;96;З ЛЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;35.00;86 %;-;-;-;-;6.00;50 %;6.00;50 %;1.00;0 %;4.00;25 %;-;-;2.00;1.00;-;11.00;2.00;-;11.00;73 %;10.00;80 %;1.00;0 %;5.00;60 %;-;-;-;-;1.00;100 %;7.00;4.00;1;1.00;-;-;58.00;50.00;86 %;-;-;-;-;-;-;-;-;0.70;0.45;0.25;-;-;30.00;-;-;3.00;3.00;-;1.00;-;8.00;8.00;-;3.00;-;-;1.00
Никита Кривцов;ФК Краснодар;209;94;П ПЦ;-;-;1.00;-;0 %;-;2.00;1.00;-;-;-;-;-;2.00;-;0.72;25.00;64 %;-;-;-;-;4.00;50 %;2.00;50 %;-;-;2.00;50 %;-;-;11.00;3.00;1.00;4.00;1.00;-;12.00;33 %;5.00;20 %;7.00;43 %;6.00;33 %;2.00;50 %;1.00;0 %;1.00;0 %;4.00;2.00;1;1.00;1.00;-;46.00;26.00;57 %;0 %;1.00;1.00;-;-;0.36;-;0.00;1.51;0.82;0.69;-;-;16.00;-;-;2.00;1.00;-;1.00;-;4.00;1.00;3.00;2.00;1.00;-;-
