Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Саид Алиев;СКА-Хабаровск;189;90;Ф Ц;0.77;-;1.93;0.77;40 %;1.73;0.58;3.28;0.19;0.19;0.19;-;0.19;3.8;1.73;0.65;7.13;54 %;0.19;100 %;0.39;0 %;1.35;43 %;-;-;-;-;0.77;50 %;0.58;67 %;10.60;1.73;1.35;0.39;0.19;2.51;22.74;31 %;2.70;21 %;20.04;32 %;5.40;29 %;6.36;48 %;4.63;46 %;1.16;17 %;0.19;2.51;10;0.58;0.19;1.35;39.70;17.92;45 %;56 %;1.16;0.19;-;0.08;0.21;0.84;1.18;0.98;1.58;-0.60;-;-;3.85;0.19;-;0.58;-;-;0.39;0.39;6.94;0.58;6.36;1.54;3.8;2.12;0.19
Неманья Анджелкович;ФК Акрон Тольятти;221;90;З ПЦ;-;-;0.28;-;0 %;0.19;0.57;0.95;0.09;0.47;0.19;-;-;0.28;0.19;0.08;60.70;91 %;0.19;50 %;0.09;0 %;10.62;76 %;3.79;65 %;0.76;50 %;3.60;61 %;0.28;67 %;2.56;1.4;-;7.97;0.76;2.28;10.72;77 %;8.72;75 %;1.99;86 %;6.54;75 %;0.38;100 %;-;-;0.76;100 %;5.69;6.83;10;0.95;0.09;-;87.25;79.47;91 %;67 %;0.09;-;-;0.03;0.30;-;0.00;0.99;0.93;0.06;0.11;0.11;55.48;0.09;-;8.6;2.47;0.38;2.18;0.19;8.25;6.54;1.71;4.93;0.38;-;0.76
Игорь Андреев;Шинник;204;90;Ф Ц;0.85;-;0.85;0.85;100 %;1.13;1.13;1.98;-;-;-;-;-;2.55;1.70;0.50;16.70;68 %;1.13;75 %;-;-;3.68;54 %;0.28;0 %;-;-;1.70;50 %;1.70;83 %;11.60;3.11;3.11;1.13;0.57;1.98;22.92;38 %;3.11;36 %;19.81;39 %;9.91;26 %;3.11;64 %;0.85;67 %;0.85;67 %;1.13;2.26;8;0.28;0.28;1.98;50.66;27.17;54 %;67 %;0.28;0.57;-;0.42;0.20;0.59;1.70;1.35;1.65;-0.30;0.10;0.19;11.32;0.85;-;1.98;-;-;0.85;1.42;8.77;1.13;7.64;2.55;1.98;0.57;0.57
Андрей Анисимов;ФК Волгарь;197;90;ЗП Ц;-;-;0.21;-;0 %;0.21;1.27;0.64;-;0.42;-;-;-;1.6;-;0.07;49.76;82 %;0.21;0 %;0.64;67 %;12.07;61 %;2.54;42 %;0.21;100 %;6.14;62 %;2.12;60 %;4.24;0.85;0.64;6.35;2.33;0.64;13.55;55 %;9.74;52 %;3.81;61 %;5.51;65 %;0.64;0 %;0.21;0 %;2.75;54 %;6.99;9.11;7;0.85;0.42;0.64;82.16;65.44;80 %;0 %;1.6;-;-;0.07;0.07;-;0.00;0.93;0.65;0.28;0.03;0.04;40.87;-;0.42;7.41;1.6;0.21;3.81;1.27;7.41;5.8;2.33;3.60;-;-;1.48
Антон Антонов;Черноморец;208;90;АП Л;0.91;0.23;1.82;0.91;50 %;1.14;0.23;1.59;-;-;-;-;-;2.95;1.59;0.64;24.32;74 %;0.45;50 %;0.45;0 %;3.41;67 %;0.68;100 %;0.23;100 %;1.82;63 %;4.9;50 %;8.41;0.91;0.68;0.91;0.23;2.73;15.45;26 %;4.77;29 %;10.68;26 %;3.18;21 %;2.95;38 %;1.36;33 %;2.5;22 %;2.5;3.64;8;0.91;0.45;0.91;51.82;32.05;62 %;54 %;0.68;0.68;-;0.19;0.22;0.70;1.42;1.28;1.61;-0.33;0.00;0.02;17.95;0.23;-;2.27;0.68;0.23;1.14;2.5;4.9;1.36;2.73;0.68;1.14;0.45;0.45
Руслан Апеков;ФК Акрон Тольятти;210;90;АП Л;-;-;0.75;-;0 %;0.99;0.99;2.98;-;0.25;0.50;-;0.25;2.98;0.75;0.24;28.84;66 %;0.75;0 %;3.23;23 %;5.22;57 %;0.25;100 %;-;-;1.74;57 %;6.22;48 %;8.20;1.24;1.49;2.98;0.50;4.72;19.89;55 %;5.47;55 %;14.42;55 %;4.72;58 %;5.97;71 %;3.23;69 %;3.23;62 %;2.24;5.72;11;0.50;0.50;2.24;66.63;44.25;66 %;25 %;0.99;1.24;-;0.19;0.08;-;0.00;1.30;0.81;0.49;0.06;0.08;19.14;-;0.75;2.98;0.25;-;0.99;2.98;10.94;2.98;7.96;2.73;4.23;2.24;1.99
Артём Архипов;Химки;166;90;Ф Ц;-;-;-;-;-;-;0.45;0.90;-;-;-;-;1.36;0.45;-;0.06;19.90;70 %;-;-;-;-;3.62;38 %;-;-;-;-;1.81;0 %;1.81;50 %;9.95;0.90;0.45;-;-;-;16.28;36 %;1.81;0 %;14.47;41 %;8.59;37 %;0.90;50 %;0.45;100 %;0.45;0 %;2.26;1.36;4;0.45;0.45;1.36;40.70;23.52;58 %;0 %;0.45;-;-;0.13;0.14;-;0.00;0.87;1.52;-0.64;0.16;0.35;14.02;-;-;1.36;-;-;-;0.90;5.88;-;5.88;3.17;0.45;0.45;-
Артур Арустамян;КамАЗ Набережные Челны;165;90;Ф Ц;-;0.50;0.99;-;0 %;0.99;1.99;0.99;-;-;-;-;1.49;0.99;0.50;0.08;12.93;85 %;-;-;0.50;0 %;0.99;100 %;-;-;-;-;-;-;-;-;9.94;0.99;1.99;0.99;0.50;0.99;14.92;20 %;1.49;33 %;13.43;19 %;7.46;20 %;1.99;0 %;1.49;0 %;0.99;50 %;1.49;4.48;3;1.49;1.49;-;37.29;20.88;56 %;50 %;0.50;-;-;0.08;0.08;-;0.00;0.56;1.13;-0.57;-;-;10.94;-;-;0.99;-;-;-;-;2.98;0.50;2.49;1.49;-;-;0.50
Эрбол Атабаев;ФК Волгарь;200;90;П ЛЦ;-;-;-;-;-;0.21;2.5;1.3;0.21;0.41;-;-;-;0.41;0.21;0.02;43.36;87 %;0.62;33 %;0.82;25 %;8.63;67 %;1.85;33 %;-;-;3.49;71 %;2.88;71 %;3.90;1.3;1.3;3.70;0.82;-;11.51;50 %;6.99;47 %;4.52;55 %;3.29;44 %;0.82;25 %;0.41;50 %;2.47;58 %;4.73;8.42;7;1.3;0.62;0.41;70.07;57.33;82 %;50 %;0.21;-;-;0.04;0.05;-;0.00;0.84;0.88;-0.04;0.00;0.01;37.60;0.21;0.21;5.75;0.62;-;2.47;2.5;5.75;3.29;2.47;1.44;0.21;0.21;1.44
Петрос Аветисян;Химки;-;90;АП ПЦ;-;-;1.1;-;0 %;2.2;2.2;3.3;-;-;-;-;1.1;6.7;3.3;0.26;25.28;72 %;1.1;100 %;-;-;7.8;29 %;-;-;-;-;3.3;0 %;2.2;0 %;8.9;-;1.1;1.1;1.1;4.4;18.20;33 %;8.9;25 %;10.11;40 %;3.3;33 %;4.4;75 %;3.3;67 %;3.3;67 %;5.6;7.8;3;-;-;3.3;67.75;44.49;66 %;50 %;1.1;2.2;-;0.39;0.04;-;0.00;0.79;1.43;-0.64;-;-;18.20;1.1;-;2.2;-;-;-;-;6.7;2.2;4.4;1.1;3.3;2.2;2.2
