Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Мойзес;ЦСКА Москва;219;90;З ЛЦ;0.13;-;0.25;0.13;50 %;0.25;1.89;0.38;0.25;1.39;0.25;-;0.13;0.38;0.25;0.06;43.74;89 %;0.38;33 %;1.26;20 %;7.94;83 %;1.51;58 %;0.50;50 %;3.91;81 %;1.76;29 %;3.66;0.76;0.38;7.94;1.26;1.26;14.75;58 %;10.71;60 %;4.3;53 %;2.39;47 %;3.15;60 %;1.1;38 %;4.92;62 %;5.4;6.18;8;1.1;0.13;-;71.85;60.25;84 %;67 %;-;0.13;-;0.06;0.15;0.45;2.22;1.7;1.31;-0.24;0.07;0.11;38.82;0.13;0.25;6.55;0.88;0.25;3.15;0.50;8.57;6.43;2.14;1.13;1.89;0.38;3.3
Дмитрий Баринов;Локомотив Москва;219;90;ЗП ПЦ;0.10;-;0.41;0.10;25 %;0.20;1.2;0.82;-;0.31;0.20;-;-;1.23;0.51;0.14;40.03;86 %;0.31;33 %;0.10;100 %;8.9;73 %;0.82;63 %;-;-;3.69;69 %;1.33;77 %;3.89;1.2;0.41;3.38;0.61;1.13;13.00;50 %;8.19;49 %;4.81;53 %;3.58;60 %;0.92;44 %;0.20;0 %;3.7;43 %;4.61;5.2;9;0.92;-;-;65.32;52.01;80 %;42 %;0.41;0.31;-;0.08;0.11;1.35;0.74;1.23;1.41;-0.18;0.04;0.06;34.30;0.10;0.10;5.94;0.51;-;2.56;1.2;6.55;3.99;2.56;2.15;0.41;-;1.33
Дмитрий Барков;Балтика;-;90;Ф ЛЦ;-;-;-;-;-;-;-;1.91;-;-;-;-;-;-;-;-;13.40;71 %;-;-;1.91;0 %;-;-;-;-;-;-;-;-;1.91;0 %;3.83;-;-;-;-;-;22.98;42 %;3.83;0 %;19.15;50 %;7.66;0 %;3.83;100 %;-;-;1.91;0 %;1.91;-;1;1.91;1.91;-;38.30;21.06;55 %;-;-;-;-;0.04;-;-;-;0.19;1.72;-1.53;-;-;9.57;-;-;-;-;-;-;-;9.57;-;9.57;-;3.83;-;-
Вильмар Барриос;Зенит;248;90;ЗП Ц;-;0.11;-;-;-;0.23;0.69;2.30;0.23;0.46;-;0.11;-;0.34;0.11;0.02;61.26;88 %;0.34;33 %;0.34;100 %;14.60;76 %;1.3;100 %;-;-;5.63;76 %;3.45;67 %;3.56;1.26;0.57;6.9;1.61;2.30;13.91;62 %;9.43;59 %;4.48;69 %;4.2;57 %;1.3;78 %;0.23;100 %;3.22;71 %;7.13;7.82;8;0.92;-;-;93.33;80.11;86 %;33 %;0.23;-;-;0.12;0.05;-;0.00;1.23;0.81;0.42;0.01;0.04;54.14;0.11;0.34;11.03;1.3;-;4.25;2.30;8.62;5.52;3.10;2.30;0.80;0.23;2.30
Иван Башич;Оренбург;224;90;ЗП Ц;0.16;-;0.31;0.16;50 %;0.31;1.26;2.5;0.31;0.31;-;-;-;1.57;0.47;0.05;50.51;89 %;0.31;50 %;0.63;50 %;7.55;77 %;3.15;75 %;0.63;75 %;5.66;69 %;3.78;46 %;2.99;0.79;0.31;3.30;0.47;2.20;14.00;64 %;7.40;60 %;6.61;69 %;2.5;62 %;3.46;82 %;1.10;71 %;3.30;62 %;3.93;5.35;8;0.94;0.31;0.31;78.20;66.24;85 %;30 %;0.31;0.63;0.16;0.24;0.03;0.31;3.23;1.4;1.46;-0.42;0.11;0.14;45.00;0.16;0.31;5.82;2.36;0.47;3.93;1.73;8.97;4.41;4.56;1.26;2.83;0.79;2.5
Амир Батырев;Сочи;193;90;ЗП ЛЦ;-;-;0.26;-;0 %;0.26;0.78;1.57;0.26;0.52;0.52;-;0.26;0.26;0.26;0.05;46.05;81 %;1.31;20 %;1.5;25 %;7.6;63 %;0.52;100 %;-;-;4.19;63 %;2.62;50 %;8.63;1.83;0.78;3.66;1.5;3.14;12.56;48 %;7.59;48 %;4.97;47 %;1.57;50 %;1.83;57 %;0.52;50 %;5.76;55 %;2.88;6.28;6;0.78;0.52;0.78;71.95;55.99;78 %;100 %;-;-;-;0.09;0.18;-;0.00;0.94;1.26;-0.32;-;-;37.41;0.26;0.26;4.45;0.52;-;2.62;1.31;6.2;3.66;2.35;0.78;1.5;0.26;3.14
Хорен Байрамян;Ростов;202;90;АП П;-;-;0.41;-;0 %;0.83;1.24;1.3;-;0.21;0.62;-;0.21;2.7;0.41;0.25;36.41;72 %;0.83;50 %;2.69;23 %;5.59;41 %;1.86;22 %;0.21;0 %;1.66;50 %;3.93;32 %;8.7;1.24;1.3;3.52;1.45;2.90;17.79;34 %;6.62;31 %;11.17;35 %;4.55;23 %;2.28;73 %;1.66;88 %;3.93;37 %;2.28;7.66;7;0.83;0.41;0.62;70.97;46.34;65 %;20 %;0.83;0.83;-;0.31;0.12;-;0.00;1.70;1.53;0.17;0.01;0.04;26.28;0.41;0.62;2.28;0.41;-;0.83;1.24;6.00;2.7;3.93;1.3;1.66;1.45;1.45
Сильвие Бегич;Урал Екатеринбург;231;90;З Ц;-;0.11;0.46;-;0 %;0.46;0.92;0.80;0.11;0.46;0.23;-;0.11;0.57;0.46;0.11;39.44;85 %;0.11;0 %;-;-;5.73;62 %;1.26;55 %;0.23;50 %;3.21;50 %;0.92;13 %;4.59;1.15;0.34;9.29;1.38;0.92;20.98;64 %;13.18;71 %;7.80;53 %;13.07;61 %;0.80;71 %;0.11;0 %;2.29;65 %;7.80;4.47;8;0.92;-;-;74.64;60.65;81 %;80 %;0.11;-;-;0.02;0.20;-;0.00;1.9;1.15;-0.06;0.19;0.13;33.36;-;-;3.55;0.69;0.11;1.61;0.11;13.53;9.40;4.13;8.3;0.57;-;1.49
Бернард Бериша;ФК Ахмат;221;90;П Л;0.14;0.28;0.57;0.14;25 %;1.57;1.00;1.57;0.14;0.28;-;-;0.85;1.57;0.57;0.16;27.91;72 %;0.85;83 %;2.56;39 %;4.56;69 %;1.71;75 %;-;-;1.28;67 %;4.13;45 %;9.26;1.57;1.14;3.13;1.00;3.99;18.66;45 %;6.69;45 %;11.96;45 %;1.42;30 %;5.70;68 %;2.28;69 %;4.84;53 %;3.42;6.41;9;1.14;0.85;0.14;63.51;43.29;68 %;36 %;0.28;0.57;0.14;0.44;0.10;1.15;0.87;1.67;1.16;0.50;0.02;0.06;20.08;0.71;1.00;3.13;1.28;-;0.85;1.85;8.40;2.99;5.41;0.43;3.84;1.57;2.56
Станислав Бессмертный;Динамо Москва;234;90;З П;0.68;-;0.68;0.68;100 %;0.68;-;0.68;-;-;-;-;-;0.68;0.68;0.06;38.86;72 %;-;-;4.9;17 %;8.86;54 %;0.68;100 %;-;-;2.5;67 %;5.45;25 %;8.18;2.73;-;3.41;0.68;1.36;10.23;73 %;8.18;75 %;2.5;67 %;1.36;0 %;0.68;100 %;-;-;5.45;75 %;2.73;7.50;3;1.36;1.36;0.68;62.73;49.09;78 %;100 %;-;-;-;-;0.09;0.09;11.11;1.19;1.57;-0.38;0.11;0.08;27.95;-;0.68;4.77;0.68;-;1.36;1.36;7.50;6.14;1.36;-;0.68;-;4.9
Мингиян Бевеев;Урал Екатеринбург;231;90;З П;-;-;-;-;-;0.13;1.27;0.63;0.38;0.63;0.13;-;-;-;-;-;41.32;81 %;0.25;50 %;1.52;50 %;10.39;62 %;3.68;66 %;0.89;57 %;6.8;69 %;4.18;67 %;6.21;1.27;0.25;5.58;0.51;1.90;10.39;52 %;7.35;55 %;3.4;46 %;2.3;25 %;1.52;75 %;0.38;33 %;3.4;54 %;4.82;6.34;9;0.89;0.25;0.25;65.28;52.35;80 %;-;-;-;-;0.09;-;-;-;1.16;1.20;-0.04;0.11;0.11;33.59;0.13;0.76;6.46;2.41;0.51;4.18;2.79;5.45;4.6;1.39;0.51;1.14;0.13;1.65
Руслан Безруков;Рубин Казань;-;90;ЗП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22.50;0 %;-;-;22.50;0 %;22.50;0 %;-;-;-;-;-;-;-;-;1;-;-;22.50;22.50;-;0 %;-;-;-;-;-;-;-;-;2.48;-;2.48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Эрик Космин Бикфалви;Урал Екатеринбург;-;90;Ф ЛЦ;1.84;-;3.67;1.84;50 %;-;-;1.84;-;-;-;-;-;3.67;1.84;0.88;16.53;67 %;-;-;3.67;50 %;-;-;1.84;0 %;-;-;-;-;3.67;50 %;14.69;1.84;-;1.84;-;-;29.39;44 %;5.51;67 %;23.88;38 %;11.02;17 %;1.84;0 %;1.84;0 %;1.84;100 %;3.67;-;2;-;-;3.67;53.27;29.39;55 %;50 %;1.84;-;-;0.24;0.24;0.48;2.8;2.70;1.1;1.69;-;-;11.02;-;1.84;-;-;-;-;1.84;12.86;3.67;9.18;1.84;-;-;1.84
Глен Бейл;Крылья Советов;233;90;З П;0.12;-;0.35;0.12;33 %;0.46;1.61;1.50;0.35;0.58;0.35;0.12;0.12;1.15;0.12;0.04;53.93;82 %;0.92;25 %;2.54;23 %;9.22;63 %;3.34;38 %;0.69;33 %;4.96;67 %;7.3;44 %;5.88;1.50;0.35;5.42;0.92;2.19;11.87;63 %;8.7;61 %;3.80;67 %;1.73;67 %;1.73;67 %;0.92;63 %;4.3;69 %;4.96;5.88;8;0.92;0.12;-;80.78;65.45;81 %;10 %;0.35;0.69;-;0.24;0.04;0.39;2.56;1.30;1.2;0.28;0.07;0.15;44.37;0.23;0.58;5.76;1.27;0.23;3.34;3.11;7.49;4.96;2.54;1.15;1.15;0.58;2.77
Кристиян Бистрович;Балтика;-;90;П ПЦ;0.74;-;1.48;1.48;100 %;2.95;0.74;-;-;-;-;-;0.74;2.95;2.21;0.14;44.26;77 %;1.48;50 %;1.48;50 %;8.85;75 %;0.74;100 %;-;-;5.90;75 %;5.16;57 %;2.95;1.48;0.74;2.21;0.74;1.48;9.59;62 %;5.16;29 %;4.43;100 %;1.48;100 %;1.48;100 %;0.74;100 %;2.95;25 %;3.69;7.38;2;0.74;0.74;0.74;70.82;55.33;78 %;75 %;0.74;-;-;0.30;0.05;0.19;5.26;0.91;1.53;-0.61;-;-;33.93;0.74;0.74;6.64;0.74;-;4.43;2.95;5.90;1.48;4.43;1.48;1.48;0.74;0.74
Мирослав Богосавац;ФК Ахмат;235;90;ЗЛ;-;-;0.18;-;0 %;0.73;0.54;1.45;0.18;0.18;-;-;-;0.18;0.18;0.04;41.92;80 %;0.91;60 %;0.73;0 %;7.44;76 %;-;-;-;-;4.54;72 %;2.00;55 %;5.81;2.36;1.9;5.81;0.54;1.63;12.88;56 %;6.90;66 %;5.99;45 %;1.63;44 %;2.90;50 %;0.18;0 %;2.36;85 %;5.44;7.8;6;0.91;0.18;0.18;70.58;55.34;78 %;100 %;-;-;-;0.22;0.22;-;0.00;1.84;0.99;0.84;0.01;0.07;33.39;0.54;-;5.62;-;-;3.27;1.9;7.26;4.54;2.72;0.73;1.45;-;2.00
Тео Бонгонда;Спартак Москва;258;90;АП П;0.59;0.15;1.46;0.59;40 %;1.32;0.59;2.34;-;0.15;-;-;0.29;3.7;1.32;0.34;31.61;75 %;1.90;46 %;3.22;41 %;6.15;69 %;1.61;64 %;0.29;0 %;2.78;53 %;5.41;54 %;7.46;1.32;0.88;1.90;0.73;5.71;15.22;48 %;3.80;42 %;11.41;50 %;1.32;67 %;7.32;58 %;3.80;54 %;1.76;50 %;1.61;3.66;9;1.2;1.2;0.29;61.90;43.46;70 %;43 %;0.88;0.73;0.15;0.24;0.11;0.58;1.72;1.36;1.23;0.14;-;-;23.71;0.88;1.32;4.24;1.2;-;1.46;2.93;7.32;1.61;5.71;0.88;4.24;2.5;0.88
Сергей Божин;Факел Воронеж;200;90;З Ц;-;-;0.20;-;0 %;-;0.71;0.92;0.61;0.92;0.31;-;0.10;0.51;0.10;0.07;36.14;81 %;-;-;0.31;67 %;10.69;66 %;3.67;69 %;0.51;80 %;5.40;66 %;1.2;50 %;3.97;1.73;-;8.96;0.71;0.51;12.32;62 %;9.37;61 %;2.95;66 %;6.21;62 %;0.41;100 %;0.20;100 %;1.22;50 %;9.6;7.94;9;0.92;-;-;67.60;55.69;82 %;20 %;0.31;0.10;-;0.07;0.14;-;0.00;0.97;1.22;-0.25;0.16;0.11;29.32;-;0.20;7.2;2.55;0.41;3.56;0.51;7.64;5.70;1.93;3.87;0.41;0.20;0.61
Сергей Брызгалов;Факел Воронеж;-;90;З ПЦ;-;-;-;-;-;-;-;1.88;-;-;1.88;-;-;-;-;-;28.12;47 %;-;-;-;-;11.25;17 %;-;-;-;-;5.62;0 %;1.88;0 %;9.38;-;-;5.62;-;1.88;28.12;33 %;22.50;33 %;5.62;33 %;15.00;13 %;-;-;-;-;1.88;100 %;7.50;9.38;1;1.88;1.88;-;75.00;41.25;55 %;-;-;-;-;-;-;-;-;0.94;0.60;0.34;0.07;0.04;13.12;-;-;1.88;-;-;-;-;9.38;7.50;1.88;1.88;-;-;1.88
Никита Бурмистров;Сочи;194;90;АП ПЦ;-;-;0.45;-;0 %;-;0.91;0.91;-;-;0.45;-;-;0.91;-;0.02;30.45;78 %;0.45;100 %;3.18;43 %;5.45;75 %;0.45;100 %;-;-;2.73;50 %;5.00;64 %;6.82;2.27;0.45;1.82;-;2.27;16.82;38 %;6.82;27 %;10.00;45 %;4.9;33 %;1.82;50 %;0.91;100 %;4.55;30 %;4.9;4.55;5;0.45;0.45;1.82;59.55;40.91;69 %;0 %;0.45;0.45;-;0.08;0.02;-;0.00;0.96;1.36;-0.40;-;-;23.64;0.45;1.36;4.9;0.45;-;1.36;3.18;6.36;1.82;4.55;1.36;0.91;0.91;1.36
Марат Быстров;ФК Ахмат;-;90;ЗЛ;-;-;-;-;-;-;1.61;2.41;1.61;3.21;-;0.80;-;-;-;-;53.84;90 %;-;-;0.80;0 %;5.62;71 %;-;-;-;-;3.21;75 %;0.80;100 %;3.21;0.80;-;10.45;0.80;4.82;17.68;68 %;15.27;63 %;2.41;100 %;5.62;71 %;1.61;100 %;-;-;8.4;50 %;4.82;8.4;2;1.61;-;-;89.20;77.95;87 %;-;-;-;-;0.06;-;-;-;1.38;1.30;0.08;-;-;48.21;-;-;4.2;-;-;2.41;0.80;12.05;9.64;2.41;4.2;1.61;-;4.2
Хорхе Карраскаль;Динамо Москва;207;90;П П;-;-;-;-;-;1.37;2.75;1.37;-;0.69;-;-;-;1.37;0.69;0.12;46.72;84 %;2.6;67 %;1.37;0 %;10.99;88 %;4.12;83 %;-;-;5.50;88 %;6.18;56 %;8.24;1.37;-;3.44;0.69;4.12;15.80;43 %;6.87;40 %;8.93;46 %;1.37;100 %;4.81;43 %;3.44;20 %;4.81;29 %;3.44;3.44;3;0.69;0.69;1.37;74.89;57.71;77 %;50 %;-;0.69;-;0.34;0.09;-;0.00;1.47;1.85;-0.38;-;-;39.16;1.37;-;9.62;3.44;-;4.81;3.44;6.87;2.75;4.12;1.37;2.6;0.69;1.37
Матео Кассьерра;Зенит;247;90;Ф Ц;0.93;0.12;1.86;1.5;56 %;0.93;0.58;0.70;-;0.12;0.23;-;0.58;2.56;1.28;0.53;20.84;88 %;1.5;56 %;0.12;100 %;1.86;81 %;-;-;-;-;0.82;57 %;1.40;58 %;5.71;0.70;0.93;0.70;0.35;0.93;11.88;44 %;2.10;33 %;9.78;46 %;5.47;40 %;1.98;65 %;1.51;54 %;0.58;40 %;0.70;2.10;9;0.93;0.23;0.12;40.17;28.76;72 %;50 %;0.47;0.58;0.23;0.22;0.21;0.57;1.76;1.26;0.83;0.43;-;-;18.28;0.58;0.12;1.51;-;-;0.47;0.82;5.24;0.70;4.54;2.21;1.28;0.82;0.23
Фёдор Чалов;ЦСКА Москва;239;90;АП ЛЦ;0.71;0.12;2.00;0.71;35 %;1.30;0.71;1.30;0.24;0.59;0.12;-;0.12;2.36;1.41;0.71;31.92;80 %;1.53;46 %;0.59;20 %;5.30;64 %;1.53;85 %;0.47;75 %;2.00;71 %;2.59;50 %;8.95;1.30;0.82;1.6;0.71;1.53;19.20;34 %;5.65;27 %;13.55;37 %;4.71;25 %;3.89;45 %;1.88;31 %;3.77;34 %;2.47;4.1;9;0.94;0.59;0.12;62.32;41.58;67 %;60 %;0.35;0.47;0.12;0.23;0.30;1.00;1.00;1.40;1.33;0.06;-;-;25.68;0.71;0.12;3.42;1.30;0.35;1.41;1.30;6.48;1.53;4.95;1.18;1.77;0.59;1.30
Луис Герардо Чавез Магалон;Динамо Москва;231;90;ЗП ЛЦ;-;-;0.36;-;0 %;1.8;1.44;1.80;-;-;0.72;-;-;1.8;0.36;0.03;50.76;84 %;0.36;100 %;0.72;0 %;7.20;70 %;1.8;67 %;-;-;5.76;81 %;4.32;50 %;3.96;0.72;0.36;4.32;1.80;2.16;13.32;68 %;8.28;65 %;5.4;71 %;2.88;50 %;3.60;70 %;1.80;80 %;5.4;71 %;5.4;7.56;3;0.72;-;0.36;80.28;66.60;83 %;33 %;0.36;-;0.36;0.22;0.02;-;0.00;1.47;1.71;-0.24;0.07;0.09;42.48;0.36;-;5.4;0.72;-;4.68;2.16;9.00;5.40;3.60;1.44;2.52;1.44;3.60
Ясмин Челикович;ФК Ахмат;204;90;З ЛЦ;-;-;0.11;-;0 %;0.11;0.64;0.64;0.64;1.81;0.32;-;0.11;0.11;0.11;0.01;38.45;86 %;0.11;100 %;0.11;100 %;6.28;69 %;2.24;81 %;0.21;0 %;2.77;69 %;0.53;80 %;2.56;0.85;0.64;6.60;0.75;1.38;13.85;65 %;11.18;64 %;2.66;72 %;6.50;67 %;0.32;67 %;0.11;0 %;2.13;50 %;8.41;5.33;9;0.96;0.11;-;68.49;57.83;84 %;100 %;-;-;-;0.02;0.09;-;0.00;1.41;1.22;0.19;0.15;0.08;33.23;0.11;0.11;4.37;1.81;-;1.92;0.43;9.5;7.14;1.92;4.37;0.21;-;1.7
Александр Черников;ФК Краснодар;230;90;ЗП Ц;0.11;-;0.22;0.11;50 %;0.22;0.66;0.88;0.11;0.44;0.44;-;0.11;0.77;0.44;0.10;40.18;89 %;0.11;0 %;0.11;0 %;8.43;86 %;1.31;67 %;0.22;50 %;3.61;76 %;0.33;67 %;2.52;0.66;0.33;5.36;1.86;1.42;11.17;62 %;7.66;64 %;3.50;56 %;2.74;68 %;0.99;56 %;0.33;67 %;3.28;77 %;5.26;5.47;9;0.99;0.22;-;64.60;55.29;86 %;57 %;0.11;0.22;-;0.00;0.13;0.90;1.11;1.1;1.4;-0.03;0.03;0.05;35.80;-;-;7.23;0.88;0.11;2.74;0.22;6.90;4.93;1.97;1.86;0.55;0.22;2.52
Евгений Чернов;Ростов;228;90;ЗЛ;-;-;-;-;-;0.35;0.87;1.5;0.52;0.70;-;-;0.17;-;-;-;38.90;78 %;0.70;25 %;2.62;40 %;8.72;62 %;1.40;25 %;0.17;0 %;3.84;59 %;6.28;69 %;6.28;2.9;0.52;3.31;1.22;1.5;11.86;63 %;6.63;63 %;5.23;63 %;4.71;56 %;2.9;67 %;1.5;67 %;1.40;75 %;3.84;4.19;6;1.5;0.35;-;60.70;47.09;78 %;-;-;-;-;0.07;-;-;-;1.43;1.31;0.12;0.08;0.16;30.17;0.17;1.5;5.41;0.35;-;2.27;4.36;7.50;4.19;3.31;2.62;1.40;0.70;1.5
Никита Чернов;Спартак Москва;-;90;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12.86;100 %;12.86;100 %;-;-;12.86;100 %;-;-;-;-;-;-;-;-;1;-;-;12.86;12.86;12.86;100 %;-;-;-;-;-;-;-;-;2.31;-;2.31;-;-;-;-;-;-;-;-;-;-;12.86;12.86;-;12.86;-;-;-
Василий Черов;Факел Воронеж;215;90;З ПЦ;-;0.11;0.22;-;0 %;0.65;0.22;0.43;0.22;0.65;-;-;0.11;0.54;0.22;0.10;37.20;73 %;0.75;57 %;2.37;45 %;11.72;63 %;1.51;64 %;-;-;5.16;73 %;4.9;47 %;5.91;0.97;0.54;7.10;1.51;2.58;11.08;74 %;7.96;82 %;3.12;52 %;3.1;82 %;1.61;67 %;1.29;58 %;2.80;81 %;5.59;9.14;9;0.86;-;0.11;66.88;52.80;79 %;40 %;0.32;-;-;0.06;0.18;-;0.00;0.93;1.18;-0.25;0.07;0.17;26.99;0.43;1.8;7.42;0.97;-;3.76;1.94;8.17;6.56;1.61;2.47;1.8;0.75;2.26
Дмитрий Чистяков;Зенит;-;90;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75.66;97 %;-;-;-;-;9.56;92 %;0.80;100 %;-;-;3.19;100 %;-;-;-;-;-;6.37;-;-;6.37;50 %;6.37;50 %;-;-;2.39;67 %;-;-;-;-;-;-;4.78;5.58;2;1.59;0.80;-;92.39;86.81;94 %;-;-;-;-;-;-;-;-;0.71;0.63;0.08;0.19;0.08;73.27;-;-;8.76;0.80;-;3.19;-;3.19;3.19;-;1.59;-;-;-
Ибраима Сиссе;Урал Екатеринбург;195;90;ЗП ЛЦ;-;-;-;-;-;-;1.2;1.2;0.68;0.68;0.34;-;-;0.34;-;0.01;30.34;91 %;-;-;-;-;4.77;64 %;1.36;100 %;-;-;2.5;67 %;0.68;0 %;2.73;0.34;0.34;6.48;2.5;1.2;9.20;41 %;5.11;40 %;4.9;42 %;1.70;40 %;1.36;50 %;-;-;1.36;75 %;7.50;5.80;5;1.2;1.2;0.68;55.23;46.36;84 %;0 %;0.34;-;-;-;0.02;-;0.00;0.64;0.92;-0.27;0.09;0.05;27.61;-;-;3.7;1.36;-;1.36;-;3.75;2.5;1.70;0.68;0.68;-;1.2
Джон Кордоба;ФК Краснодар;223;90;Ф Ц;0.31;-;2.27;0.31;14 %;1.14;2.58;1.96;0.10;0.10;0.31;-;0.93;2.89;0.83;0.44;14.24;74 %;0.72;71 %;0.31;0 %;1.14;73 %;0.10;100 %;-;-;0.83;100 %;0.83;50 %;12.39;1.65;0.83;0.83;0.72;1.75;22.50;35 %;3.92;26 %;18.58;37 %;7.43;40 %;2.99;45 %;2.48;46 %;1.14;36 %;2.17;1.14;9;0.93;0.21;-;45.21;24.05;53 %;29 %;1.24;0.72;0.10;0.17;0.15;1.43;0.70;1.17;0.97;0.20;0.01;0.06;10.53;0.52;-;0.83;0.10;-;0.83;0.41;7.95;1.3;6.92;2.99;1.34;1.14;0.41
Жуниор Хосе Коррейа;Пари Нижний Новгород;201;90;Ф ЛЦ;0.60;0.60;2.38;0.60;25 %;1.79;1.79;2.98;-;-;-;-;1.19;3.58;1.79;0.85;11.92;55 %;-;-;-;-;2.38;75 %;-;-;-;-;1.19;100 %;-;-;13.11;2.38;0.60;1.79;1.79;1.19;25.63;40 %;5.36;22 %;20.26;44 %;8.34;29 %;3.58;33 %;3.58;33 %;1.19;50 %;0.60;3.58;5;0.60;0.60;2.38;46.49;23.25;50 %;50 %;1.79;-;-;0.03;0.24;1.43;0.70;1.81;0.67;1.13;-;-;6.56;-;-;1.79;-;-;1.19;-;10.13;1.19;8.94;2.38;1.19;1.19;0.60
Джастин Рауль Куэро Паласио;Оренбург;185;90;Ф Ц;0.73;-;1.45;0.73;50 %;0.73;2.18;-;-;-;-;-;1.45;3.63;1.45;1.1;9.44;77 %;-;-;-;-;0.73;0 %;-;-;-;-;-;-;0.73;0 %;10.89;0.73;0.73;1.45;1.45;0.73;16.69;17 %;2.90;50 %;13.79;11 %;6.53;33 %;1.45;0 %;1.45;0 %;0.73;100 %;-;1.45;4;-;-;2.90;32.66;13.79;42 %;40 %;1.45;0.73;-;0.01;0.28;1.39;0.72;1.60;1.11;0.49;-;-;7.26;-;-;-;-;-;-;-;2.90;1.45;1.45;2.18;-;-;0.73
Никола Чумич;Рубин Казань;-;90;АП ЛЦ;-;-;-;-;-;1.96;1.96;1.96;-;-;-;-;-;1.96;1.96;0.22;31.30;81 %;1.96;100 %;1.96;100 %;3.91;50 %;-;-;-;-;3.91;50 %;1.96;100 %;11.74;1.96;-;1.96;-;1.96;15.65;38 %;-;-;15.65;38 %;-;-;7.83;75 %;3.91;100 %;-;-;3.91;5.87;2;-;-;3.91;60.65;45.00;74 %;100 %;-;-;-;1.39;0.11;-;0.00;3.62;0.18;3.44;-;-;25.43;1.96;1.96;1.96;-;-;1.96;1.96;5.87;-;5.87;-;5.87;3.91;-
Роша;ЦСКА Москва;235;90;З Ц;-;-;0.46;-;0 %;0.15;1.7;1.38;0.31;0.92;0.61;0.15;-;0.61;0.31;0.10;32.91;83 %;0.31;50 %;0.15;100 %;11.17;77 %;2.91;79 %;0.92;83 %;5.66;65 %;0.92;50 %;3.37;0.61;0.15;9.95;1.38;0.46;17.14;71 %;13.16;73 %;3.98;65 %;8.27;74 %;0.77;100 %;0.15;100 %;2.76;61 %;9.3;7.96;7;1.7;0.15;-;68.57;57.70;84 %;50 %;0.15;0.15;-;0.05;0.17;-;0.00;1.4;1.42;-0.38;0.10;0.08;27.40;0.15;0.15;8.57;2.30;0.77;3.67;0.46;12.24;9.64;2.60;6.12;0.77;0.15;1.68
Мирлинд Даку;Рубин Казань;203;90;Ф ЛЦ;0.22;0.11;0.76;0.22;29 %;0.54;1.85;1.63;-;0.11;0.33;-;0.65;2.39;0.33;0.33;17.70;65 %;0.43;50 %;0.33;0 %;3.4;39 %;0.33;33 %;0.11;0 %;1.74;31 %;1.52;36 %;11.51;1.30;1.74;1.19;0.76;1.95;24.75;39 %;3.80;34 %;20.95;40 %;11.94;40 %;4.23;54 %;1.95;33 %;1.9;60 %;3.15;2.39;9;0.98;0.33;-;54.17;29.20;54 %;14 %;1.52;0.43;0.11;0.23;0.14;1.51;0.66;1.33;0.99;0.34;0.02;0.06;11.51;0.22;-;1.19;0.11;-;0.54;0.54;9.77;1.30;8.47;4.78;2.28;0.65;0.65
