Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Марсело Алвес Сантос;Сочи;209;90;З ЛЦ;-;-;0.23;-;0 %;-;1.39;0.93;0.23;1.16;0.46;0.23;-;0.23;-;0.17;50.80;92 %;0.46;0 %;-;-;10.44;82 %;1.39;50 %;-;-;5.80;72 %;0.70;67 %;2.9;0.70;-;8.35;0.70;2.55;16.01;64 %;11.83;67 %;4.18;56 %;6.26;63 %;1.39;83 %;-;-;3.25;43 %;7.19;6.3;5;0.93;-;0.23;83.74;73.53;88 %;0 %;0.23;-;-;-;0.73;-;0.00;0.84;1.11;-0.28;0.04;0.04;46.62;-;-;8.58;0.70;-;4.18;0.46;10.21;7.89;2.32;3.94;1.16;-;1.39
Беканти Викторьен Ангбан;Сочи;192;90;ЗП ЛЦ;-;-;1.17;-;0 %;-;2.34;-;1.17;1.17;-;-;-;-;-;-;43.25;95 %;1.17;0 %;-;-;8.18;86 %;1.17;100 %;-;-;8.18;86 %;-;-;3.51;2.34;-;2.34;1.17;1.17;12.86;36 %;8.18;29 %;4.68;50 %;1.17;0 %;3.51;33 %;-;-;2.34;50 %;4.68;5.84;3;-;-;3.51;67.79;57.27;84 %;-;-;-;-;-;-;-;-;1.11;2.28;-1.17;0.05;0.04;40.91;-;-;7.1;1.17;-;7.1;-;4.68;2.34;2.34;-;1.17;-;1.17
Данил Аносов;Сочи;-;90;АП ПЦ;-;-;-;-;-;1.15;1.15;1.15;-;-;-;-;-;-;-;-;17.31;73 %;2.31;50 %;1.15;0 %;1.15;100 %;1.15;100 %;-;-;1.15;0 %;4.62;75 %;1.15;1.15;1.15;1.15;1.15;1.15;9.23;13 %;4.62;0 %;4.62;25 %;1.15;0 %;-;-;-;-;4.62;0 %;1.15;2.31;2;-;-;2.31;32.31;18.46;57 %;-;-;-;-;1.7;-;-;-;1.42;1.58;-0.16;-;-;12.69;1.15;-;1.15;1.15;-;-;3.46;1.15;-;1.15;-;-;-;-
Хызыр Аппаев;Факел Воронеж;182;90;Ф ЛЦ;-;0.15;0.61;-;0 %;0.61;0.92;1.22;-;0.15;0.31;-;0.46;0.46;0.46;0.05;21.81;66 %;0.46;33 %;1.68;18 %;3.5;55 %;0.31;0 %;-;-;1.7;43 %;1.98;38 %;8.85;0.92;0.92;0.46;-;1.53;18.61;35 %;3.20;38 %;15.41;35 %;10.37;35 %;1.7;57 %;0.76;40 %;0.92;83 %;1.22;3.81;9;0.92;0.61;0.46;48.36;28.07;58 %;100 %;-;-;-;0.25;0.12;-;0.00;1.12;1.31;-0.20;0.00;0.01;14.49;0.15;0.31;1.68;-;-;0.46;0.76;6.56;1.22;5.34;3.66;0.61;0.31;0.76
Марат Апшацев;Рубин Казань;211;90;П ЛЦ;-;-;0.68;0.34;50 %;0.68;2.5;1.70;0.34;0.34;-;-;-;2.39;1.36;0.20;28.64;79 %;0.68;0 %;2.73;25 %;3.41;90 %;0.68;100 %;-;-;1.36;100 %;3.41;50 %;6.48;1.36;1.2;1.70;1.36;2.73;16.70;53 %;7.16;48 %;9.55;57 %;2.39;71 %;4.77;71 %;3.41;80 %;3.7;33 %;3.41;5.45;7;1.2;1.2;1.36;60.34;44.32;73 %;57 %;0.68;0.34;-;0.19;0.08;-;0.00;1.50;1.25;0.25;-;-;22.50;-;0.68;3.7;0.68;-;1.36;1.70;8.86;3.41;5.45;1.70;3.41;2.73;1.2
Ярослав Арбузов;ЦСКА Москва;-;90;АП ЛЦ;-;-;5.29;-;0 %;5.29;-;10.59;-;-;-;-;-;15.88;10.59;0.85;31.76;83 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10.59;5.29;5.29;5.29;-;-;31.76;83 %;5.29;100 %;26.47;80 %;-;-;15.88;100 %;15.88;100 %;5.29;100 %;5.29;15.88;2;-;-;10.59;105.88;84.71;80 %;67 %;-;5.29;-;-;0.05;-;0.00;0.85;-;0.85;-;-;26.47;-;-;-;-;-;-;-;26.47;5.29;21.18;-;15.88;15.88;5.29
Георгий Арутюнян;ФК Краснодар;-;90;З Ц;-;-;-;-;-;-;0.90;-;-;-;-;-;-;-;-;-;68.40;95 %;-;-;-;-;9.00;80 %;-;-;-;-;5.40;67 %;-;-;0.90;-;-;9.90;-;2.70;9.00;60 %;9.00;60 %;-;-;4.50;60 %;-;-;-;-;1.80;100 %;11.70;6.30;1;0.90;-;-;98.10;90.90;93 %;-;-;-;-;-;-;-;-;0.85;0.39;0.47;0.07;0.08;64.80;-;-;7.20;-;-;3.60;-;5.40;5.40;-;2.70;-;-;1.80
Рустамжон Ашурматов;Рубин Казань;209;90;ЗП Л;-;-;-;-;-;0.40;0.80;-;0.80;0.80;-;-;-;-;-;-;49.78;81 %;0.40;100 %;-;-;17.12;67 %;5.18;85 %;0.40;100 %;8.36;71 %;0.80;100 %;1.99;0.40;-;7.96;0.80;0.40;12.35;68 %;10.35;73 %;1.99;40 %;4.78;67 %;0.80;50 %;-;-;1.59;75 %;6.77;7.17;4;0.80;-;0.80;76.46;62.92;82 %;-;-;-;-;0.02;-;-;-;1.8;1.38;-0.29;0.06;0.08;40.22;0.40;-;11.55;4.38;0.40;5.97;0.80;8.36;7.57;0.80;3.19;0.40;-;1.19
Итало;Урал Екатеринбург;216;90;З ЛЦ;-;-;-;-;-;-;0.25;0.49;0.25;0.49;-;-;-;0.25;-;0.05;34.52;86 %;-;-;-;-;8.14;58 %;2.47;40 %;-;-;4.68;47 %;0.49;0 %;3.45;0.74;-;7.89;1.73;1.23;10.60;67 %;7.40;73 %;3.21;54 %;5.18;57 %;0.99;75 %;0.25;0 %;1.73;86 %;6.66;3.45;5;0.74;-;0.49;57.21;48.58;85 %;0 %;0.25;-;-;-;0.19;-;0.00;1.8;1.74;-0.66;0.23;0.09;29.59;-;-;4.68;0.99;-;2.22;-;7.15;5.42;1.73;2.96;0.74;-;1.48
Тигран Аванесян;Балтика;194;90;П ЛЦ;-;-;-;-;-;-;1.80;-;-;-;-;-;-;-;-;-;21.60;42 %;-;-;1.80;0 %;7.20;0 %;3.60;0 %;-;-;5.40;0 %;1.80;0 %;7.20;-;1.80;-;-;1.80;14.40;25 %;7.20;25 %;7.20;25 %;3.60;50 %;-;-;-;-;5.40;0 %;-;5.40;3;-;-;5.40;45.00;19.80;44 %;-;-;-;-;-;-;-;-;1.37;0.59;0.77;-;-;9.00;-;-;-;-;-;-;-;3.60;1.80;1.80;1.80;-;-;-
