Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Диего Акоста;Оренбург;–;90;Ф Ц;–;–;0;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;18;–;–;–;–;–;18;0 %;0;–;18;0 %;9;0 %;–;–;–;–;0;–;0;–;2;–;–;18;18;–;0 %;–;–;–;–;–;–;–;–;1.8;–;1.8;–;–;–;–;–;–;–;–;–;–;–;0;0;–;–;–;0
Арсен Адамов;Зенит;247;90;З П;–;0.75;0;–;–;0.38;1.13;2.64;–;–;–;–;–;0.38;–;0.06;62.51;92 %;0.75;100 %;1.13;0 %;10.54;79 %;1.13;67 %;0.38;0 %;6.3;81 %;3.1;50 %;4.9;0.75;0.38;4.14;1.13;3.1;15.82;69 %;7.15;79 %;8.66;61 %;1.51;25 %;4.9;69 %;1.13;67 %;3.1;100 %;4.14;4.14;9;0.38;0.38;3.1;90.38;79.46;88 %;0 %;–;0.38;–;0.33;0.15;–;0;2.1;0.67;1.42;0.09;0.06;57.24;0.75;–;8.28;0.75;–;4.9;1.51;10.92;5.65;5.27;0.38;3.39;0.75;3.1
Кемаль Адеми;Химки;–;90;Ф ПЦ;–;–;0;–;–;–;–;–;–;–;–;–;–;–;–;–;6.92;0 %;6.92;0 %;–;–;–;–;–;–;–;–;–;–;–;–;6.92;–;6.92;–;–;–;27.69;25 %;6.92;0 %;20.77;33 %;20.77;33 %;–;–;–;–;0;–;0;–;1;–;–;6.92;41.54;6.92;17 %;–;–;–;–;–;–;–;–;1.73;–;1.73;–;–;–;–;–;–;–;–;–;–;6.92;0;6.92;6.92;–;–;0
Гамид Агаларов;ФК Ахмат;194;90;Ф Ц;0.28;0.09;1.58;0.28;18 %;0.84;1.39;1.48;0.09;0.19;0.28;–;0.74;1.95;1.2;0.49;14.94;65 %;0.37;100 %;0.37;25 %;1.86;35 %;–;–;–;–;0.56;17 %;0.74;38 %;11.04;0.93;1.11;0.74;0.56;0.74;24.22;33 %;3.62;18 %;20.6;36 %;11.6;34 %;2.23;42 %;1.67;33 %;1.21;38 %;1.21;2.6;22;0.74;0.56;1.3;46.48;23.01;50 %;52 %;0.28;0.46;0.19;0.23;0.25;1.74;0.57;1.65;1.24;0.41;0.02;0.1;9.65;0.37;0.09;0.65;–;–;0.09;0.28;8.7;0.65;7.42;3.9;0.93;0.56;0.46
Илья Агапов;Пари Нижний Новгород;195;90;З ЛЦ;–;–;0.07;–;0 %;0.07;0.92;0.2;0.07;0.46;0.26;–;–;0.13;0.07;0.02;37.2;81 %;0.13;0 %;0.86;54 %;10.27;69 %;2.96;60 %;0.79;33 %;6.32;65 %;1.19;50 %;4.15;1.25;0.2;5.93;1.51;0.92;9.94;58 %;7.31;59 %;2.63;58 %;2.7;51 %;0.86;85 %;0.33;80 %;3.29;56 %;6.45;5.14;15;0.92;0.07;0.07;59.98;48.32;81 %;50 %;0.07;–;–;0;0.12;–;0;0.84;1.43;-0.59;0.09;0.08;29.96;–;0.46;7.4;1.78;0.26;4.8;0.59;5.79;4.28;1.51;1.38;0.72;0.26;1.84
Роман Акбашев;Факел Воронеж;208;90;АП Ц;0.24;0.16;0.95;0.24;25 %;0.83;1.15;0.59;–;0.16;0.28;–;0.2;1.86;0.79;0.25;30.33;74 %;0.83;33 %;1.34;21 %;6;64 %;1.18;60 %;0.08;50 %;3.16;66 %;5.21;47 %;6.83;1.3;0.87;2.21;0.63;1.11;13.19;37 %;5.88;32 %;7.31;42 %;3.44;40 %;1.46;43 %;0.79;50 %;2.84;36 %;3.87;5.61;28;0.95;0.32;0.16;56.79;38.86;68 %;43 %;0.67;0.32;0.08;0.22;0.14;1.6;0.95;1.7;1.37;-0.3;0.02;0.06;22.59;0.28;0.28;3.87;0.71;0.04;2.9;2.45;4.94;1.9;3.4;1.38;0.63;0.39;1.3
Ильзат Ахметов;ФК Краснодар;218;90;АП Л;0.16;0.39;0.62;0.16;25 %;0.78;0.7;0.47;0.08;0.23;0.16;–;0.16;1.25;0.55;0.2;39.81;83 %;1.25;38 %;0.62;25 %;5.31;81 %;0.39;80 %;0.08;100 %;2.89;81 %;3.43;55 %;7.81;1.33;0.86;2.81;0.78;4.14;16.47;50 %;4.92;48 %;11.55;51 %;1.48;32 %;7.49;63 %;5.62;64 %;2.42;45 %;2.58;4.29;27;0.78;0.55;1.33;69.39;52.92;76 %;44 %;0.31;0.31;0.08;0.3;0.16;1.25;0.8;1.6;1.31;0.29;0.01;0.04;33.1;0.47;0.16;4.29;0.31;0.08;2.34;1.87;8.27;2.34;5.93;0.47;4.68;3.59;1.9
Виктор Александров;Пари Нижний Новгород;199;90;З ЛЦ;0.13;–;0.13;0.13;100 %;0.06;1.28;0.38;0.38;1.2;0.26;–;–;0.38;0.19;0.05;27.76;79 %;0.19;33 %;0.06;100 %;6.97;72 %;2.17;62 %;0.19;33 %;2.88;56 %;0.32;20 %;2.88;1.15;0.19;5.25;0.83;0.45;12.28;66 %;9.98;65 %;2.3;69 %;5.18;69 %;0.45;29 %;0.13;0 %;2.88;64 %;5.31;3.45;17;0.9;0.06;0.19;49.83;39.53;79 %;50 %;0.13;0.06;–;0.01;0.14;0.41;2.47;0.97;1.48;-0.51;0.09;0.11;22.07;0.06;0.06;4.99;1.34;0.06;1.6;0.06;8.6;6.46;1.6;3.58;0.13;–;1.86
Нуралы Алип;Зенит;231;90;З ЛЦ;–;–;0;–;–;–;0.78;0.62;–;0.78;0.16;–;–;–;–;–;69.91;90 %;–;–;–;–;11.37;75 %;3.27;67 %;0.62;75 %;4.52;69 %;0.47;33 %;3.27;1.56;0.47;8.72;1.87;1.56;13.7;66 %;10.59;71 %;3.11;50 %;4.98;75 %;1.9;71 %;–;–;2.8;72 %;3.58;7.63;8;0.93;0.16;0.31;96.85;84.86;88 %;–;–;–;–;0.02;–;–;–;1.45;0.59;0.86;0.03;0.04;63.06;–;–;8.56;2.18;0.47;3.11;0.16;9.3;7.47;1.56;3.74;0.78;–;2.2
Хуниор Осмар Игнасио Алонсо Мухика;ФК Краснодар;229;90;З ЛЦ;0.08;–;0.15;0.08;50 %;0.15;0.54;0.23;0.38;0.84;–;–;–;0.23;0.08;0.05;70.88;89 %;0.31;50 %;0.15;50 %;18.28;75 %;3.9;61 %;0.69;56 %;7.8;73 %;1.22;50 %;2.98;0.84;0.08;9.1;1.38;3.98;10.17;65 %;8.64;65 %;1.53;65 %;4.66;67 %;0.15;50 %;–;–;1.76;61 %;8.87;5.43;12;0.92;–;–;99.63;87.94;88 %;33 %;0.15;–;–;0.08;0.2;0.6;1.67;1.69;1.7;0.62;0.12;0.1;62.93;0.15;0.08;13.76;2.37;0.38;5.66;0.61;6.65;5.66;0.99;3.14;0.08;–;1.7
