Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Ильнур Альшин;Факел Воронеж;198;90;ЗП Л;0.05;0.05;0.15;0.05;33 %;0.56;1.3;0.67;0.1;0.36;0.1;–;0.05;0.67;0.15;0.03;34.91;64 %;0.72;50 %;4.6;20 %;11.04;57 %;2.26;41 %;0.31;33 %;6.26;56 %;5.19;36 %;7.6;1.28;0.77;4.47;0.77;1.59;15.15;49 %;10.17;53 %;4.98;43 %;3.44;37 %;1.49;41 %;1.3;25 %;5.29;55 %;5.7;6.11;23;1.8;0.72;0.1;64.89;43.54;67 %;23 %;0.36;0.15;–;0.15;0.05;0.59;1.69;1.5;1.37;-0.33;0.02;0.06;22.49;0.36;0.82;6.26;0.92;0.1;3.49;1.85;7.5;5.34;2.16;1.28;0.62;0.26;2.93
Ислам Альсултанов;ФК Ахмат;–;90;Ф Ц;–;–;–;–;–;–;2.5;2.5;–;–;2.5;–;–;–;–;–;10;75 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;7.5;–;–;5;2.5;–;32.5;31 %;7.5;67 %;25;20 %;2.5;0 %;5;50 %;2.5;0 %;5;50 %;–;2.5;1;–;–;2.5;45;20;44 %;–;–;–;–;–;–;–;–;1.72;1.9;-0.18;–;–;7.5;–;–;–;–;–;–;–;10;5;5;–;2.5;–;2.5
Иаир Диего Алвеш Де Брито;Торпедо Москва;193;90;П Л;–;–;1.61;–;0 %;1.61;0.54;1.61;–;–;–;–;0.54;3.75;2.14;0.2;29.46;65 %;1.7;50 %;2.14;0 %;4.29;88 %;–;–;–;–;2.68;100 %;3.21;50 %;9.64;1.61;1.61;1.61;0.54;3.75;26.79;46 %;5.36;50 %;21.43;45 %;2.68;20 %;13.93;62 %;8.4;67 %;3.75;71 %;3.21;2.14;7;–;–;3.75;70.71;42.86;61 %;57 %;1.7;0.54;–;–;0.05;–;0;0.87;1.98;-1.11;–;–;19.29;0.54;–;3.75;–;–;2.68;1.61;12.32;2.68;9.64;0.54;8.57;5.36;2.68
Беканти Викторьен Ангбан;Сочи;219;90;ЗП ПЦ;–;–;0;–;–;–;1.69;1.51;0.19;0.38;0.19;–;–;0.75;0.38;0.03;56.67;90 %;0.19;0 %;0.94;20 %;10.54;95 %;1.13;100 %;0.38;100 %;5.84;97 %;1.13;50 %;4.14;2.7;–;3.2;0.94;1.88;13.93;57 %;6.4;38 %;7.53;73 %;2.26;50 %;4.14;77 %;0.94;100 %;2.26;42 %;2.82;4.71;7;1.13;0.75;0.19;80.77;68.54;85 %;50 %;0.19;0.19;–;0.03;0.04;–;0;1.45;1.2;0.25;–;–;50.84;–;0.19;9.98;1.13;0.38;5.65;0.56;7.91;2.45;5.46;1.13;3.2;0.94;0.94
Никола Антич;Химки;192;90;ЗП Л;–;–;0.27;–;0 %;0.55;0.46;0.18;0.46;0.82;0.09;–;0.09;0.73;0.27;0.05;41.99;72 %;0.82;44 %;1.73;16 %;9.38;57 %;2.73;50 %;0.46;40 %;4.74;54 %;4.65;47 %;7.65;2.19;0.36;2.91;0.64;0.91;7.47;41 %;4.55;48 %;2.91;31 %;2.1;39 %;0.73;63 %;0.36;50 %;2.28;44 %;3.46;6.47;11;1;0.18;–;61.4;44.64;73 %;38 %;0.46;–;–;0.24;0.06;–;0;0.8;1.7;-0.9;0.09;0.14;30.43;0.36;0.27;5.37;1.37;0.18;2.55;2.19;3.1;2.19;0.91;0.82;0.46;0.18;1
Руслан Апеков;ФК Краснодар;–;90;АП Л;–;–;1.34;–;0 %;1.34;5.37;4.3;–;–;–;–;–;1.34;–;0.04;22.84;65 %;1.34;0 %;–;–;4.3;0 %;–;–;–;–;4.3;67 %;2.69;0 %;8.6;–;1.34;2.69;2.69;5.37;22.84;59 %;8.6;50 %;14.78;64 %;5.37;25 %;10.75;75 %;8.6;83 %;2.69;50 %;0;4.3;2;–;–;2.69;57.76;37.61;65 %;0 %;–;–;1.34;0.36;0.03;–;0;1.36;2.11;-0.75;–;–;14.78;–;–;–;–;–;2.69;–;13.43;4.3;9.4;1.34;8.6;6.72;1.34
Хызыр Аппаев;Факел Воронеж;193;90;Ф ЛЦ;0.11;0.11;0.78;0.11;14 %;0.67;0.78;1.3;0.11;0.25;0.18;–;0.95;0.99;0.53;0.17;20.26;63 %;0.74;57 %;1.41;30 %;2.72;49 %;0.18;0 %;0.11;0 %;1.48;48 %;1.94;40 %;12.02;0.99;1.6;0.88;0.46;1.98;22.69;33 %;4.14;23 %;18.56;35 %;11.17;33 %;1.91;37 %;1.31;32 %;1.38;36 %;1.77;2.23;28;0.95;0.32;0.04;50.94;26.62;52 %;54 %;0.35;0.11;–;0.24;0.17;1.61;0.62;1.7;1.42;-0.35;0.03;0.13;12.76;0.42;0.42;1.34;–;–;0.71;0.78;7.39;0.95;6.43;3.64;0.71;0.42;0.49
Георгий Арутюнян;ФК Краснодар;–;90;З ЛЦ;–;–;–;–;–;–;1.4;–;–;0.47;0.47;–;–;–;–;–;73.21;91 %;–;–;–;–;11.66;76 %;2.33;40 %;0.47;100 %;5.13;64 %;0.47;0 %;2.8;1.4;0.47;6.99;–;0.93;12.12;77 %;10.73;74 %;1.4;100 %;5.13;64 %;–;–;–;–;1.87;100 %;4.66;2.8;2;0.93;–;–;94.2;84.4;90 %;–;–;–;–;–;–;–;–;0.86;1.36;-0.49;0.05;0.05;66.68;–;–;8.86;0.93;0.47;3.26;–;9.33;7.93;1.4;3.26;–;–;1.87
Тимур Аюпов;Оренбург;207;90;ЗП ПЦ;0.21;–;0.53;0.21;40 %;0.11;1.7;0.59;0.16;0.21;0.43;–;0.11;0.8;0.43;0.19;33.55;83 %;0.27;20 %;0.43;25 %;8.15;65 %;1.17;50 %;0.16;0 %;4.5;57 %;1.7;60 %;4.53;1.1;0.85;4.63;1.54;1.17;14.49;49 %;9.59;44 %;4.9;57 %;3.67;58 %;1.7;70 %;0.43;75 %;4.53;44 %;4.79;5.7;23;0.91;0.21;0.32;61.3;46.76;76 %;53 %;0.27;0.11;–;0.07;0.24;0.9;1.11;1.74;1.37;0.37;0.04;0.06;27.69;0.05;0.11;5.27;0.59;–;2.29;0.64;7.3;4.26;2.77;2.13;0.75;0.32;1.97
Ульви Бабаев;Динамо Москва;–;90;ЗЛ;–;–;–;–;–;–;–;11.25;–;–;–;–;–;11.25;–;2.2;33.75;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;11.25;11.25;–;33.75;67 %;–;–;33.75;67 %;–;–;11.25;100 %;11.25;100 %;–;–;11.25;11.25;1;–;–;11.25;101.25;78.75;78 %;0 %;11.25;–;–;–;0.18;–;0;2.2;–;2.2;–;–;33.75;–;–;–;–;–;–;–;22.5;–;22.5;–;11.25;11.25;–
Сергей Бабкин;Крылья Советов;208;90;ЗП ПЦ;0.13;–;0.26;0.13;50 %;0.39;0.91;1.18;0.13;0.26;0.13;–;–;0.91;0.26;0.05;29.65;92 %;0.26;50 %;0.39;33 %;4.83;81 %;0.13;100 %;–;–;2.61;70 %;1.18;78 %;3.53;0.91;0.78;3.4;0.65;1.96;13.58;50 %;6.14;40 %;7.45;58 %;1.83;57 %;3.79;76 %;1.83;64 %;1.7;15 %;3.92;4.96;17;0.78;0.39;1.44;55.78;45.07;81 %;29 %;0.52;0.13;–;0.05;0.06;0.42;2.38;1.6;1.2;-0.14;0.03;0.05;27.17;0.13;0.13;3.92;0.13;–;1.83;0.91;6.79;2.48;4.31;1.4;2.87;1.18;0.26
Абдула Багамаев;Локомотив Москва;–;90;П П;–;–;0;–;–;–;–;–;–;–;–;–;–;–;–;–;11.25;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;11.25;100 %;11.25;100 %;0;–;–;–;–;–;–;–;0;–;0;–;1;–;–;11.25;22.5;22.5;100 %;–;–;–;–;–;–;–;–;–;1.35;-1.35;–;–;11.25;–;–;–;–;–;–;–;11.25;11.25;0;–;–;–;0
Зелимхан Бакаев;Зенит;228;90;АП П;0.25;0.25;1.5;0.25;17 %;2.24;1;1.25;–;–;–;–;0.5;3.24;1.25;0.59;44.63;79 %;2.74;64 %;2.99;17 %;7.23;55 %;1.75;71 %;–;–;2.24;56 %;7.48;47 %;11.22;2.24;0.5;1.75;1.25;3.24;19.7;33 %;7.23;31 %;12.47;34 %;3.24;31 %;5.48;32 %;4.24;29 %;3.24;38 %;1.75;4.74;17;0.25;0.25;3.99;77.53;52.6;68 %;38 %;1;0.75;0.25;0.69;0.18;2.35;0.43;2.68;0.59;2.9;–;–;35.4;1.75;0.5;3.99;1.25;–;1.25;3.49;6.48;2.24;4.24;1;1.75;1.25;1.25
Кейта Балде;Спартак Москва;215;90;Ф ЛЦ;0.49;–;2.28;0.65;29 %;1.47;1.63;0.98;–;–;0.16;–;0.49;3.1;1.96;0.66;27.55;79 %;0.82;40 %;1.79;18 %;2.45;80 %;0.49;100 %;–;–;0.49;67 %;3.26;50 %;7.66;1.47;0.65;0.33;0.16;1.47;14.67;29 %;3.1;16 %;11.58;32 %;4.4;19 %;1.47;67 %;0.98;83 %;0.82;40 %;1.14;3.1;12;0.98;1.14;0.98;51.52;33.59;65 %;63 %;0.49;0.49;0.16;0.25;0.21;1.35;0.74;2.15;0.97;1.18;–;–;21.85;0.33;0.33;1.96;0.49;–;0.33;1.63;4.24;0.49;3.75;0.82;0.98;0.82;0.33
Михайло Баньяц;ФК Краснодар;215;90;П ПЦ;0.16;0.16;0.42;0.16;38 %;0.63;0.9;1.11;0.11;0.58;0.21;–;0.05;1.42;0.37;0.12;46.9;84 %;0.58;45 %;0.79;40 %;8.7;69 %;2.11;80 %;0.11;100 %;3.9;68 %;3.75;58 %;5.22;1.42;0.42;3.9;1.37;1.37;12.03;52 %;6.59;51 %;5.43;53 %;1.95;51 %;2.27;65 %;1.32;72 %;3.59;62 %;3.11;6.12;27;0.84;0.47;0.58;71.38;56.76;80 %;26 %;0.53;0.47;0.05;0.18;0.08;0.76;1.32;1.3;1.51;-0.21;0.04;0.06;39.51;0.26;0.32;5.54;1.69;0.11;2.64;2.16;6.28;3.38;2.9;1;1.48;0.95;2.22
Матео Барач;Крылья Советов;209;90;З ЛЦ;–;–;0.36;–;0 %;–;0.72;1.27;0.36;1.8;0.18;–;–;0.72;0.36;0.17;45.9;83 %;0.36;0 %;–;–;9.4;62 %;3.7;47 %;0.72;25 %;5.6;54 %;0.18;0 %;3.61;1.27;0.72;9.58;0.72;0.18;13.01;69 %;10.3;70 %;2.71;67 %;5.6;61 %;1.8;83 %;0.18;100 %;2.35;77 %;8.49;6.14;8;0.72;0.18;0.72;75.18;62.35;83 %;50 %;0.36;–;–;0;0.23;–;0;0.93;1.2;-0.26;0.18;0.14;38.13;–;–;5.78;1.45;0.18;2.71;–;9.4;7.23;1.81;3.43;0.9;0.18;1.81
Алексей Барановский;Зенит;196;90;АП Л;–;–;0;–;–;1.84;–;–;–;–;–;–;–;1.84;1.84;0.11;44.08;67 %;1.84;100 %;–;–;16.53;56 %;1.84;100 %;–;–;7.35;50 %;3.67;50 %;16.53;5.51;1.84;1.84;–;3.67;23.88;31 %;5.51;33 %;18.37;30 %;5.51;33 %;5.51;33 %;3.67;50 %;1.84;100 %;0;5.51;3;–;–;5.51;80.82;47.76;59 %;100 %;–;–;–;0.28;0.06;–;0;1.76;0.64;1.12;–;–;29.39;1.84;–;9.18;1.84;–;3.67;1.84;7.35;1.84;5.51;1.84;1.84;1.84;1.84
Мойзес;ЦСКА Москва;243;90;З ЛЦ;–;0.08;0.21;–;0 %;0.41;0.82;0.74;–;0.49;0.21;–;0.21;0.74;0.21;0.03;45.31;85 %;0.53;38 %;1.77;35 %;9.26;78 %;1.73;71 %;0.33;63 %;4.36;79 %;2.35;61 %;4.49;1.15;0.45;7.16;0.91;3.17;15.47;66 %;9.14;68 %;6.34;64 %;3.54;60 %;3.66;71 %;1.48;56 %;3.25;75 %;6.13;5.23;24;0.91;0.16;0.08;76.5;63.62;83 %;28 %;0.33;0.16;0.04;0.17;0.04;–;0;1.57;0.85;0.72;0.07;0.12;38.6;0.21;0.62;7.24;1.23;0.21;3.46;1.44;10.29;6.26;4.3;2.14;2.59;0.82;2.43
Дмитрий Баринов;Локомотив Москва;211;90;ЗП ПЦ;0.07;0.14;0.42;0.11;25 %;0.42;0.98;0.74;0.28;0.98;0.28;0.04;0.04;0.7;0.32;0.11;46.94;86 %;0.6;59 %;0.39;9 %;8.16;69 %;1.51;63 %;0.07;50 %;4.59;67 %;1.23;46 %;4.6;1.23;0.42;4.59;1.9;1.26;11.17;56 %;7.84;54 %;3.33;60 %;3.8;60 %;0.53;53 %;0.14;25 %;2.73;53 %;5.99;5.81;27;0.91;0.04;0.04;72.29;59.86;83 %;45 %;0.25;0.11;0.04;0.18;0.16;1.56;0.64;1.52;1.43;0.09;0.07;0.09;40.22;0.35;0.04;5.6;0.95;0.04;3.8;0.56;6.27;4.27;2;1.86;0.28;0.04;1.44
Вильмар Барриос;Зенит;253;90;ЗП Ц;0.04;0.07;0.07;0.04;50 %;0.26;0.62;1.46;0.18;0.47;0.11;–;0.04;0.47;0.15;0.01;63.94;89 %;0.62;29 %;0.58;19 %;12.25;75 %;1.9;73 %;0.15;75 %;5.3;72 %;2.33;52 %;3.9;1.2;0.4;6.49;1.71;2.11;14.18;65 %;9.88;62 %;4.3;69 %;2.77;51 %;1.79;73 %;0.69;63 %;4.16;72 %;5.94;6.85;28;0.98;0.22;0.04;93.9;80.89;86 %;31 %;0.11;0.22;–;0.12;0.03;0.38;2.63;1.89;0.63;1.26;0.06;0.09;56.68;0.18;0.11;9.22;0.8;0.11;3.61;1.2;9.15;6.16;2.99;1.42;1.31;0.44;2.99
Иван Башич;Оренбург;222;90;П ЛЦ;0.23;0.12;0.82;0.35;43 %;0.7;2.35;1.76;0.12;0.59;0.12;–;–;2.47;0.82;0.1;37.25;83 %;0.47;25 %;0.35;0 %;6.23;74 %;1.64;57 %;0.12;0 %;3.99;76 %;4.46;47 %;5.87;1.88;0.7;3.52;1.41;2.47;14.33;49 %;7.4;41 %;6.93;58 %;1.88;56 %;3.5;81 %;0.94;75 %;3.29;43 %;3.76;4.82;15;0.82;0.59;0.94;65.8;49.82;76 %;33 %;0.59;0.94;0.12;0.14;0.04;0.44;2.25;1.45;1.68;-0.23;0.04;0.05;30.9;0.12;–;4.58;0.94;–;3.5;2.11;7.5;3.5;3.99;1.6;2.47;0.7;1.41
Амир Батырев;Сочи;206;90;АП ЛЦ;–;–;0.59;–;0 %;0.59;1.17;3.22;–;0.29;0.29;–;–;1.17;0.59;0.18;48.37;87 %;0.59;50 %;1.17;50 %;10.26;74 %;0.29;0 %;–;–;3.52;67 %;1.76;50 %;6.16;1.76;0.29;4.69;1.76;2.64;17.88;46 %;9.97;47 %;7.92;44 %;3.22;27 %;3.52;50 %;1.47;60 %;3.81;46 %;3.81;6.74;9;0.59;0.29;2.5;80.91;64.2;79 %;50 %;–;0.59;–;0.12;0.15;–;0;1.75;1.38;0.37;–;–;42.21;0.29;0.59;7.62;–;–;2.35;0.88;8.21;4.69;3.52;0.88;1.76;0.88;1.76
Хорен Байрамян;Ростов;212;90;АП П;0.05;–;0.52;0.05;10 %;0.78;1.41;1.57;0.05;0.1;0.26;–;0.1;1.15;0.47;0.15;32.76;78 %;0.94;61 %;1.94;30 %;5.49;58 %;0.73;43 %;0.1;0 %;2.77;51 %;2.83;43 %;6.91;1.57;0.63;1.78;0.89;1.62;16.8;34 %;6.7;28 %;10.1;38 %;4.5;26 %;1.94;65 %;1.36;62 %;3.19;34 %;2.41;4.4;23;1.5;0.89;0.16;59.76;40.29;67 %;41 %;0.16;0.47;0.05;0.23;0.13;2.83;0.35;1;1.6;-0.6;0.03;0.1;25.64;0.58;0.58;3.19;0.31;–;1.41;1.2;5.76;1.88;3.87;1.15;1.26;0.84;1.1
Сильвие Бегич;Урал Екатеринбург;218;90;З ЛЦ;–;0.07;0.21;–;0 %;0.21;0.21;0.21;0.56;1.12;0.07;–;–;0.63;–;0.13;46.97;88 %;0.21;67 %;0.14;50 %;7.58;64 %;1.12;63 %;0.14;50 %;2.53;72 %;0.49;57 %;2.95;0.77;0.49;7.93;0.7;1.5;14.67;71 %;10.88;70 %;3.79;74 %;7.58;64 %;0.35;100 %;0.07;100 %;1.9;70 %;7.2;4.98;15;0.91;–;0.14;75.82;64.66;85 %;0 %;0.28;0.28;0.07;0.04;0.2;–;0;1.3;1.22;0.08;0.05;0.06;41.21;0.14;0.07;4.84;0.7;0.07;1.83;0.28;10.39;7.58;2.81;4.84;0.35;0.07;1.33
Алексис Аделин Бека Бека;Локомотив Москва;–;90;П ПЦ;–;–;2.21;–;0 %;2.21;2.95;–;–;–;1.48;0.74;–;3.69;1.48;0.27;47.95;80 %;1.48;50 %;5.16;14 %;11.07;60 %;2.95;25 %;1.48;50 %;5.16;71 %;4.43;33 %;7.38;1.48;1.48;4.43;2.95;2.95;18.44;64 %;8.85;50 %;9.59;77 %;2.21;0 %;5.16;86 %;2.21;100 %;5.16;57 %;3.69;11.07;2;0.74;–;0.74;89.26;69.34;78 %;40 %;2.21;–;–;0.4;0.07;–;0;1.79;0.66;1.13;–;–;38.36;0.74;0.74;6.64;0.74;0.74;3.69;1.48;11.8;4.43;7.38;–;4.43;2.21;2.95
