;Голы;Голевые моменты;Голевые моменты удачные, %;Фолы;Желтые карточки;Красные карточки;Тактика (начальная);Офсайды;Угловые;Удары;Удары точные;Удары от ворот точные;Удары от ворот точные, %;Передачи;Передачи точные, %;Передачи ключевые;Передачи ключевые точные;Передачи ключевые точные, %;Навесы;Навесы точные, %;Передачи прогрессивные;Передачи прогрессивные точные, %;Передачи длинные;Передачи длинные точные, %;Передачи сверхдлинные;Передачи сверхдлинные точные, %;Передачи в штрафную;Передачи в штрафную точные, %;Единоборства;Единоборства удачные, %;Единоборства в обороне;Единоборства в обороне удачные, %;Единоборства в атаке;Единоборства в атаке удачные, %;Единоборства вверху;Единоборства вверху удачные, %;Обводки;Обводки удачные, %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные, %;Отборы;Отборы удачные, %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Овладевания после потерь в течение 10 сек;Овладевания после потерь в течение 10 сек на чужой половине поля;Овладевания после потерь в течение 5 сек;Овладевания после потерь в течение 5 сек на чужой половине поля;Среднее расстояние до ворот при овладеваниях, м.;Среднее расстояние до ворот при потерях, м.;Ведения мяча;Командный прессинг;Командный прессинг удачный, %;Владение мячом, %;Входы на половину соперника;Входы в последнюю четверть;Входы в штрафную соперника;УОВК;УОВС;Атаки позиционные;Атаки быстрые;Передачи точные;Удары от ворот длинные (от 40 м.);Удары от ворот средние (от 15 до 40 м.);Удары от ворот короткие (от 0 до 15 м.);Удары от ворот;Голевые моменты удачные;Удары точные, %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xG (ожидаемые голы);OxG (ожидаемые голы соперника);NxG (разница xG - OxG);xPoints (ожидаемые очки);xGC (конверсия xG);xGPS (xG на удар);OxGPS (xG на удар соперника);xGPG (xG на гол);OxGPG (xG на гол соперника);Удары от ворот короткие (от 0 до 15 м.) точные;Удары от ворот короткие (от 0 до 15 м.) точные, %;Удары от ворот средние (от 15 до 40 м.) точные;Удары от ворот средние (от 15 до 40 м.) точные, %;Удары от ворот длинные (от 40 м.) точные;Удары от ворот длинные (от 40 м.) точные, %;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи в штрафную точные;Передачи с аутов;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Перехваты;Подборы;ТТД;ТТД удачные;ТТД удачные, %
В среднем на команду;1.5;6.2;25 %;11;2.2;0.1;–;1.8;4.8;12.4;4.9;4.9;89 %;461.2;82 %;7.1;3.4;48 %;12.4;30 %;95.7;67 %;31.2;66 %;7.7;65 %;29.2;52 %;165.9;50 %;82.9;53 %;82.9;47 %;46.5;50 %;25.6;59 %;12.6;53 %;32.1;53 %;70.4;15;6.9;51.3;10.2;9.7;3.5;1.2;0.2;74.5;39.3;19.9;17.5;45 %;50 %;60.6;39.1;16.5;0.5;1.4;59.5;14.4;376.2;3.6;0.8;1.1;5.5;1.5;39 %;4.1;3.1;0.3;1.7;1.7;0;1.3;0.9;0.1;0.1;1.1;1.1;1.1;100 %;0.8;98 %;3;83 %;3.7;64.4;20.5;5;15;18.1;82.9;44;39;23.3;15.2;6.7;16.9;53.6;59.5;787;599.8;76 %
Зенит;2.47;8.93;28 %;7.2;1;0.03;4-3-3 down;2.2;6.23;16.1;6.67;2.83;96 %;627.93;87 %;10.67;5.27;49 %;14.57;28 %;109.93;75 %;25.53;65 %;3.6;44 %;35.47;55 %;148.4;54 %;70.87;56 %;77.53;51 %;35.7;50 %;31.17;65 %;16.1;61 %;27.7;59 %;65.13;13.87;6.13;51.07;11.9;10.03;4.23;1.27;0.1;71.88;37.49;25.93;17.5;48 %;61 %;65.97;46.63;21.3;0.63;1.53;65.13;12.6;547.47;0.8;0.5;1.67;2.97;2.47;41 %;5.33;3.67;0.43;2.27;0.77;1.5;2.17;1.7;0.14;0.11;0.93;1.15;1.67;100 %;0.5;100 %;0.67;83 %;4.3;81.9;16.63;1.6;19.43;18.37;79.43;39.77;39.67;17.97;20.4;9.8;16.37;42.67;58.6;929.43;761.97;82 %
ФК Краснодар;2.7;6.3;34 %;11;2.43;0.13;4-3-3 down;2.3;4.33;13.5;5.53;4.5;90 %;518.1;86 %;6.67;3.7;46 %;8.23;30 %;93.83;71 %;28.13;63 %;4.83;62 %;21.5;55 %;154.4;51 %;74.27;52 %;80.13;49 %;37.17;53 %;31.7;61 %;16.53;58 %;28.4;54 %;64.93;16.8;7.2;47.63;9.8;9.9;3.27;1.53;0.2;74.51;41.35;24.7;15.97;48 %;56 %;54.6;36.43;15.5;0.77;1.97;57.93;11.87;447.4;2.27;1.13;1.57;5;2.7;41 %;4.7;3.47;0.43;1.7;1.8;-0.1;1.28;1.22;0.13;0.14;0.82;1.22;1.57;100 %;1.13;100 %;1.77;78 %;2.47;66.4;17.77;3;11.73;15.57;78.23;38.93;39.3;19.7;19.47;9.53;15.3;48.77;51.97;826.63;660;80 %
Спартак Москва;2;8.7;23 %;11.47;2.4;0.23;4-4-2 dmnd;1.47;5.57;15.9;6.33;4.33;94 %;539.97;85 %;9.57;5.7;53 %;14.8;36 %;103.13;74 %;26.5;69 %;4.13;69 %;35.3;59 %;166.07;50 %;75.57;53 %;90.5;48 %;41.2;56 %;28.77;60 %;15.97;57 %;29.87;52 %;67.13;14.5;7.3;47.97;9.83;10.93;4.1;1.33;0.3;74.05;37.63;26.2;14.83;47 %;58 %;65.9;45.97;22.2;0.77;2.13;65.4;12.67;460.27;1.73;1.17;1.73;4.63;2;40 %;4.87;4.33;0.37;2.34;1.29;1.5;1.95;0.85;0.15;0.13;1.17;1.5;1.73;100 %;1.13;97 %;1.47;85 %;5.37;76.73;18.4;2.83;20.9;20.8;83.2;39.83;43.37;22.93;17.13;9.13;15.53;48.13;63.17;872.7;689.67;79 %
Оренбург;1.93;7.7;25 %;12.6;2.53;0.07;4-3-3 down;2.17;5.53;15.4;6.3;4.97;88 %;435.4;82 %;9.2;4.3;47 %;13.93;31 %;92.03;68 %;29.83;63 %;8.4;62 %;28.73;54 %;160.93;50 %;79.27;52 %;81.67;48 %;40.33;49 %;28.4;61 %;13.03;52 %;31.93;50 %;68.97;12.67;8.33;53.3;10.33;8.87;2.63;1.2;0.27;75.1;38.08;23.2;20.4;43 %;49 %;60.4;41.83;18.97;1.37;1.6;55.6;18.1;358.63;2.67;0.8;2.17;5.63;1.93;41 %;5.43;3.33;0.33;2.1;1.79;0.22;1.4;0.94;0.13;0.13;1.6;1.4;2.17;100 %;0.8;100 %;2;75 %;4.3;62.73;18.7;5.23;15.63;16.33;80.57;41.07;39.5;19.87;17.33;6.8;16;53.43;55;759.9;579.77;76 %
ЦСКА Москва;1.87;7.47;25 %;10.53;1.77;0.1;3-4-2003;1.5;5.1;14.8;6.3;4.67;88 %;460.9;81 %;8.83;4.7;46 %;12.97;29 %;101.53;69 %;33.53;67 %;10.63;68 %;32.97;53 %;171.57;51 %;88.63;54 %;82.93;49 %;47.97;53 %;26.3;62 %;12.67;55 %;33.9;53 %;71.87;14.03;7.63;53.43;11.5;9.87;3.73;1.3;0.13;72.89;37.92;17.87;19.03;47 %;48 %;65.37;42.43;19.43;0.43;1.13;60.97;16.3;373.93;3.77;0.83;0.73;5.33;1.87;41 %;5.37;3.3;0.37;2.8;1.1;0.98;1.96;0.88;0.14;0.11;1.14;1.23;0.73;100 %;0.8;96 %;3.13;83 %;3.8;69.97;22.53;7.27;17.5;18.07;88.3;47.57;40.73;25.3;16.27;6.97;17.93;52.9;61.33;792.07;601.93;76 %
Динамо Москва;1.63;7.4;22 %;11.47;2.33;0.2;4-3-3 down;1.87;5.63;12.87;4.5;4.17;91 %;460.07;80 %;8.77;4.43;51 %;13.87;25 %;95.77;66 %;25.87;60 %;5.9;55 %;30.5;49 %;162.27;50 %;84.3;53 %;77.97;47 %;43.13;49 %;30.43;57 %;14.87;52 %;31.93;55 %;72.83;15.93;7.47;53;10.1;10.5;3.53;1.37;0.07;74.34;38.94;20.83;18.2;46 %;50 %;63.93;42.37;17.73;0.37;2.37;58.8;15.6;369;1.87;1.47;1.27;4.6;1.63;35 %;4.63;3.27;0.47;1.76;1.47;0.29;1.51;0.89;0.14;0.13;1.12;0.98;1.27;100 %;1.4;95 %;1.5;80 %;3.53;63.53;15.53;3.23;14.8;19.17;81.63;44.9;36.73;21.23;17.37;7.67;17.57;54.43;59.3;785.37;592.23;75 %
Сочи;1.23;6.27;20 %;10.43;2.1;0.17;3-4-2003;2.57;4.77;11.17;4.73;5.5;89 %;510.97;82 %;7.73;3.9;50 %;13;29 %;108.6;69 %;29.53;70 %;5.1;72 %;31.23;51 %;162.07;49 %;86.73;52 %;75.33;45 %;46.87;49 %;19.63;59 %;9.57;55 %;32.83;49 %;72.47;16.67;6.4;50.87;9.73;9.57;2.8;1.63;0.2;73.97;39.46;20.07;18.3;46 %;51 %;60.2;37.93;16.23;0.33;1.23;60.7;14.1;420.6;4.6;0.7;0.87;6.17;1.23;42 %;3.83;2.17;0.43;1.67;1.66;0.01;1.23;0.74;0.15;0.14;1.35;0.97;0.87;100 %;0.7;100 %;3.93;86 %;3.83;74.7;20.57;3.67;16.03;17.77;78.77;45;33.77;22.87;11.6;5.3;16;51.93;61.9;831.47;640.63;77 %
Пари Нижний Новгород;1.13;4.37;26 %;11.67;2.67;0.2;3-4-2003;1.6;3.8;9.7;3.67;4.43;85 %;400.8;78 %;4.17;1.93;46 %;13.4;29 %;86.83;63 %;30.53;63 %;9.87;65 %;28.43;48 %;168.57;50 %;83.77;54 %;84.8;45 %;52.33;49 %;23.93;59 %;11.9;56 %;34.8;52 %;69.47;14.2;6.3;50.37;11.23;8.5;3.73;0.93;0.2;74.38;39.69;16.23;17.77;44 %;44 %;57.9;35.13;13.03;0.1;0.93;57.8;14.3;313.5;4.17;0.63;0.4;5.2;1.13;38 %;3.13;2.8;0.1;1.22;1.72;-0.5;0.97;0.93;0.13;0.13;1.7;1.7;0.4;100 %;0.57;89 %;3.47;83 %;3.93;55;19.1;6.43;13.67;18.77;84.1;45.53;38.57;25.47;14;6.7;18.1;59.7;57.2;726.93;537.53;74 %
Локомотив Москва;1.8;6.4;28 %;11.47;2.5;0.27;4-2-3-1;1.6;4.27;11.53;4.9;5.63;89 %;458.17;81 %;7.37;3.83;52 %;11.93;30 %;90.37;66 %;30;65 %;5.93;61 %;29.23;50 %;172.1;51 %;85.1;53 %;87;48 %;42.37;50 %;27.97;60 %;11.33;53 %;35.03;55 %;71.67;15.43;7.43;50.57;9.57;10.43;3.63;1.13;0.17;75.11;39.07;17.8;15.43;46 %;50 %;61.5;37.87;16;0.47;1.13;60.47;15.27;370.13;4.73;0.53;1.7;6.33;1.8;42 %;3.6;2.67;0.37;1.78;1.81;-0.03;1.19;0.97;0.15;0.13;1.3;1.18;1.7;100 %;0.5;94 %;4.7;86 %;3.63;59.83;19.6;3.63;14.53;18.2;86.93;45.23;41.7;21.2;16.67;5.97;19.2;55.2;62.97;793.63;601.47;76 %
