;Голы;Голевые моменты;Голевые моменты удачные, %;Фолы;Желтые карточки;Красные карточки;Тактика (начальная);Офсайды;Угловые;Удары;Удары точные;Удары от ворот точные;Удары от ворот точные, %;Передачи;Передачи точные, %;Передачи ключевые;Передачи ключевые точные;Передачи ключевые точные, %;Навесы;Навесы точные, %;Передачи прогрессивные;Передачи прогрессивные точные, %;Передачи длинные;Передачи длинные точные, %;Передачи сверхдлинные;Передачи сверхдлинные точные, %;Передачи в штрафную;Передачи в штрафную точные, %;Единоборства;Единоборства удачные, %;Единоборства в обороне;Единоборства в обороне удачные, %;Единоборства в атаке;Единоборства в атаке удачные, %;Единоборства вверху;Единоборства вверху удачные, %;Обводки;Обводки удачные, %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные, %;Отборы;Отборы удачные, %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Овладевания после потерь в течение 10 сек;Овладевания после потерь в течение 10 сек на чужой половине поля;Овладевания после потерь в течение 5 сек;Овладевания после потерь в течение 5 сек на чужой половине поля;Среднее расстояние до ворот при овладеваниях, м.;Среднее расстояние до ворот при потерях, м.;Ведения мяча;Командный прессинг;Командный прессинг удачный, %;Владение мячом, %;Входы на половину соперника;Входы в последнюю четверть;Входы в штрафную соперника;УОВК;УОВС;Атаки позиционные;Атаки быстрые;Передачи точные;Удары от ворот длинные (от 40 м.);Удары от ворот средние (от 15 до 40 м.);Удары от ворот короткие (от 0 до 15 м.);Удары от ворот;Голевые моменты удачные;Удары точные, %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xG (ожидаемые голы);OxG (ожидаемые голы соперника);NxG (разница xG - OxG);xPoints (ожидаемые очки);xGC (конверсия xG);xGPS (xG на удар);OxGPS (xG на удар соперника);xGPG (xG на гол);OxGPG (xG на гол соперника);Удары от ворот короткие (от 0 до 15 м.) точные;Удары от ворот короткие (от 0 до 15 м.) точные, %;Удары от ворот средние (от 15 до 40 м.) точные;Удары от ворот средние (от 15 до 40 м.) точные, %;Удары от ворот длинные (от 40 м.) точные;Удары от ворот длинные (от 40 м.) точные, %;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи в штрафную точные;Передачи с аутов;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Перехваты;Подборы;ТТД;ТТД удачные;ТТД удачные, %
Родина;1.64;6.21;26 %;12.5;2.64;0.07;4-4-2 classic;1.43;6.07;10.79;4.71;6.21;84 %;431.36;79 %;6.36;3.21;51 %;13.36;27 %;113.64;66 %;37.43;62 %;8.64;60 %;31.43;53 %;171.14;53 %;84.86;58 %;86.29;48 %;47.5;53 %;19.93;59 %;9.71;50 %;31.79;60 %;75.57;15.36;8.07;52.21;9.29;10.29;2.86;1.93;0.36;76.08;39.57;16.93;19.14;51 %;51 %;61.93;40.07;16.21;0.93;2.43;61.5;12.21;341.21;4.07;1.71;1.64;7.43;1.64;44 %;3.57;2.29;0.21;1.39;1.54;-0.15;1.11;1.13;0.13;0.13;0.89;1.66;1.64;100 %;1.71;100 %;2.86;70 %;3.64;74.93;23.36;5.14;16.5;21.36;90.86;49.21;41.64;25.29;11.71;4.86;19.14;53.71;57.07;758;566.5;75 %
Акрон;1.36;5.64;24 %;13;2.79;0.07;4-3-3 down;1.86;5.64;11.93;4.93;3.86;90 %;473.71;82 %;5.07;2.29;45 %;16.29;29 %;108.79;66 %;31.57;62 %;7.07;56 %;32.57;51 %;154.71;49 %;78.57;54 %;76.14;44 %;48.43;49 %;22.93;57 %;12.36;45 %;24.21;60 %;70.36;14.21;7.43;51.71;11;10.36;4.14;1.43;–;73.98;38.26;22.5;15.86;50 %;58 %;60.79;43.07;17.07;1.64;0.93;63.43;12.57;388.5;1.71;0.57;2;4.29;1.36;41 %;3.21;3.43;0.36;1.43;0.87;0.56;1.66;0.95;0.12;0.09;1.05;1.1;2;100 %;0.57;100 %;1.29;75 %;4.79;72.14;19.71;3.93;16.57;18.57;76.21;42.43;33.79;23.71;13;5.57;14.43;47.79;61.64;787;603.29;77 %
Алания;1.36;5.57;24 %;14.71;2.29;0.14;4-3-3 down;1.5;4.71;13.86;4.86;5.36;93 %;436.21;77 %;4;2.14;54 %;13;23 %;125.21;61 %;40.21;59 %;10.36;56 %;31.29;42 %;175.43;50 %;91.43;57 %;84;43 %;53.14;49 %;24;55 %;12;42 %;35;59 %;73.57;12.29;10;52.64;11.86;10;3.79;1.14;0.36;72.19;37.18;21.57;18.71;54 %;55 %;63.79;39.79;14.79;1.5;1.64;65.07;14.43;336.71;2.64;1.21;1.93;5.79;1.36;35 %;5.14;3.36;0.5;1.48;1.04;0.43;1.54;0.92;0.11;0.13;1.09;1.22;1.93;100 %;1.21;100 %;2.21;84 %;3;77;23.71;5.79;13;23.14;87.64;51.71;35.93;26.29;13.29;5;20.5;50.71;72.21;785.14;575.79;73 %
Велес;1.36;4.36;31 %;13;2.5;0.07;4-2-3-1;1.79;3.86;10;3.93;6.07;89 %;485.5;81 %;4.86;2.5;51 %;13.14;29 %;118.5;67 %;34.36;64 %;7.36;65 %;26.14;45 %;175.64;53 %;85.14;59 %;90.5;47 %;45.07;52 %;27.43;61 %;10;50 %;31.64;65 %;76.07;16.71;9.36;52.14;8.57;9.71;2.71;1.57;0.21;75.31;40.2;23.57;15.07;48 %;54 %;60.29;36.36;12.79;1.29;2.36;64.93;13.79;393.14;3.14;1.14;2.5;6.79;1.36;39 %;4.07;1.79;0.21;0.99;1.66;-0.67;0.91;1.29;0.1;0.12;0.77;1.06;2.5;100 %;1.07;94 %;2.5;80 %;3.79;79.86;22;4.79;11.86;20.29;93;50.14;42.86;23.5;16.79;5;20.43;52.79;65.86;833.29;635.36;76 %
Балтика;1.29;5.64;23 %;12.43;1.71;–;3-5-2*;1.86;6.43;12.21;4.93;4.71;87 %;393.43;76 %;5.64;2.93;52 %;14.36;35 %;126.57;68 %;34.43;73 %;9.07;76 %;39.43;60 %;181.43;51 %;79.86;60 %;101.57;45 %;68.5;52 %;19.36;54 %;9.79;39 %;23.71;62 %;71.79;11.64;8.43;52.29;12.86;11.14;4.71;0.71;–;70.67;37.26;13.5;22.64;52 %;48 %;69.21;44.21;20.5;0.21;0.36;60.93;15.36;300.64;4.86;0.14;0.36;5.43;1.29;40 %;4.14;2.71;0.43;1.52;0.78;0.74;1.65;0.84;0.12;0.1;1.18;1.22;0.36;100 %;0.14;100 %;4.14;85 %;5;86.64;25.14;6.86;23.5;24.71;93.14;47.64;45.5;35.86;10.36;3.86;14.79;52;68.36;734.5;534;73 %
Кубань;1.29;4.71;27 %;12.93;2.79;0.14;4-2-3-1;2.07;3.79;9.29;3.21;6.71;84 %;372.43;78 %;5.86;2.57;44 %;10.93;29 %;101.14;65 %;33.64;65 %;9.36;70 %;24.71;43 %;170.36;49 %;85.07;53 %;85.29;45 %;50;50 %;24.79;54 %;9.43;49 %;33.79;53 %;73;15.79;6.86;51.07;7.86;9.86;3.07;1.5;0.14;77.54;40.06;16.21;14.93;36 %;44 %;51.71;31.43;12.5;0.14;1.07;51.21;14.79;289.21;6.79;0.64;0.57;8;1.29;35 %;4.21;1.71;0.14;1.1;1.52;-0.41;0.84;1.16;0.12;0.12;0.86;1.12;0.57;100 %;0.57;89 %;5.57;82 %;3.14;65.43;21.71;6.57;10.64;21.57;83.71;45.5;38.21;24.86;13.5;4.64;17.93;55.07;57.29;695.5;508.43;73 %
Рубин;1.29;6.14;21 %;14.43;2.64;0.14;3-5-2*;1.29;5.57;13.5;5.21;4.71;90 %;428.71;79 %;6.64;2.79;42 %;12.21;25 %;113.36;66 %;26.29;64 %;4.29;52 %;33.07;51 %;178.36;52 %;91;59 %;87.36;44 %;56.14;54 %;28;58 %;15.36;52 %;31.86;56 %;73.43;13.14;7.36;52.14;11.36;9;3.21;1.07;0.29;72.7;36.95;20.79;21.21;55 %;49 %;66.21;42.79;19.07;0.57;1.93;60.14;14.93;337.64;2.71;1.36;1.14;5.21;1.29;39 %;5.21;2.79;0.29;1.68;0.63;1.05;2;0.76;0.13;0.08;1.31;1.76;1.14;100 %;1.36;100 %;2.21;82 %;3.07;75.21;16.86;2.21;16.79;23.43;92.14;53.43;38.71;30.14;16.21;7.93;17.86;51.93;66.14;773.86;575.43;74 %
Краснодар-2;1.21;5.79;21 %;15;2.86;0.07;4-3-3 down;1.14;4.21;10.79;4.57;7.43;91 %;426.86;79 %;6;3.21;54 %;5.5;27 %;104.57;62 %;37.07;60 %;10.57;59 %;21.93;48 %;177;49 %;91.57;54 %;85.43;44 %;50.21;49 %;24.64;54 %;11.07;48 %;30;55 %;75.29;19.14;8.79;51.93;9.86;11.07;3.57;1.79;0.36;74.88;41.97;16.5;18.79;44 %;51 %;53.71;34;14.29;1.79;1.64;58.21;13.14;336.21;4.71;1.29;2.14;8.14;1.21;42 %;3.21;2.5;0.5;1.45;1.35;0.1;1.37;0.84;0.13;0.12;1.19;1.11;2.14;100 %;1.29;100 %;4;85 %;1.5;64.93;22.21;6.29;10.5;21.64;86.93;49.71;37.21;24.64;13.29;5.29;16.36;55.57;65.43;766.86;566.79;74 %
Нефтехимик;1.14;3.86;30 %;12;1.64;0.07;4-4-2 dmnd;1.86;4.14;11.29;4.07;6.93;81 %;362.71;76 %;4.14;2.07;50 %;9.57;36 %;110.29;66 %;37.07;64 %;12;68 %;27.57;50 %;187.79;49 %;95.79;53 %;92;44 %;69.93;47 %;16;56 %;7.86;49 %;31.57;54 %;70.71;12.5;6.14;50.71;8.5;8.71;3.71;1.07;0.14;76.36;39.64;10.21;16.64;36 %;41 %;57.07;34.43;13;–;0.21;55.14;15;276.64;8.36;0.21;–;8.57;1.14;36 %;4.07;3;0.14;1.39;1.41;-0.02;1.21;0.82;0.12;0.11;1.22;1.32;–;–;0.07;33 %;6.86;82 %;3.43;72.79;23.71;8.21;13.86;20.5;91.57;50.64;40.93;32.57;9;3.86;16.93;60.14;57.64;704.36;503.29;71 %
Уфа;1.14;5.64;20 %;13.71;2.07;0.07;3-5-2*;1;5.57;14.29;4.14;7;88 %;393.71;78 %;4.93;2.14;43 %;18.5;32 %;113.79;69 %;38.21;65 %;7.79;61 %;32.93;50 %;171.57;50 %;76.29;54 %;95.29;47 %;55.64;48 %;27.79;57 %;16.64;55 %;29.36;58 %;72.14;11.43;7.36;48.86;10.29;8.07;2.5;0.79;0.14;74.65;36.61;19.36;16.93;43 %;48 %;66.71;46.21;18.21;0.21;2.36;65.43;17;308.64;5.43;1.79;0.79;8;1.14;29 %;5.29;4.71;0.14;1.83;1.64;0.19;1.37;0.55;0.13;0.14;1.83;1.27;0.79;100 %;1.79;100 %;4.43;82 %;5.93;78.36;24.71;4.79;16.36;23.43;85.71;40.93;44.79;26.93;15.79;9.07;17.07;48.36;64.43;728.14;533.5;73 %
