Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Тур
Александр Сильянов;Локомотив Москва;250;99;ЗЛ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;53.00;79 %;-;-;-;-;11.00;73 %;3.00;33 %;1.00;0 %;11.00;55 %;1.00;100 %;10.00;4.00;1.00;8.00;3.00;2.00;8.00;75 %;7.00;71 %;1.00;100 %;1.00;100 %;1.00;100 %;-;-;2.00;100 %;7.00;6.00;1;1.00;-;-;78.00;64.00;82 %;-;-;-;-;-;-;-;-;1.20;1.63;-0.43;-;-;42.00;-;-;8.00;1.00;-;6.00;1.00;6.00;5.00;1.00;1.00;1.00;-;2.00;9
Келвен Дуглас Силва Оливейра;ЦСКА Москва;255;99;ЗП П;1.00;1.00;2.00;1.00;50 %;2.00;1.00;-;-;1.00;-;-;-;1.00;1.00;0.28;40.00;73 %;4.00;75 %;8.00;50 %;7.00;86 %;1.00;0 %;1.00;0 %;-;-;13.00;69 %;7.00;2.00;-;-;-;1.00;16.00;31 %;9.00;44 %;7.00;14 %;4.00;50 %;2.00;0 %;1.00;0 %;2.00;50 %;4.00;7.00;1;1.00;-;-;70.00;48.00;69 %;100 %;-;-;-;1.33;0.28;0.28;3.57;2.32;2.51;-0.19;0.04;0.04;29.00;3.00;4.00;6.00;-;-;-;9.00;5.00;4.00;1.00;2.00;-;-;1.00;9
Михаил Сиваков;Оренбург;191;99;З ЛЦ;-;-;1.00;-;0 %;-;-;-;2.00;3.00;-;-;-;1.00;1.00;0.44;45.00;91 %;-;-;1.00;0 %;9.00;67 %;2.00;50 %;1.00;100 %;4.00;75 %;1.00;0 %;2.00;1.00;-;5.00;-;-;14.00;71 %;11.00;73 %;3.00;67 %;2.00;100 %;1.00;0 %;-;-;2.00;0 %;3.00;4.00;1;1.00;-;-;68.00;60.00;88 %;100 %;-;-;-;-;0.44;-;0.00;1.27;2.34;-1.07;0.33;0.11;41.00;-;-;6.00;1.00;1.00;3.00;-;10.00;8.00;2.00;2.00;-;-;-;9
Денис Терентьев;Ростов;231;99;З ПЦ;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;48.00;88 %;1.00;0 %;1.00;0 %;13.00;77 %;5.00;100 %;2.00;100 %;7.00;100 %;1.00;100 %;2.00;2.00;1.00;7.00;-;1.00;16.00;69 %;11.00;64 %;5.00;80 %;7.00;71 %;1.00;100 %;-;-;5.00;60 %;12.00;2.00;1;1.00;-;-;81.00;69.00;85 %;-;-;-;-;-;-;-;-;2.51;2.32;0.19;0.17;0.06;42.00;-;-;10.00;5.00;2.00;7.00;1.00;11.00;7.00;4.00;5.00;1.00;-;3.00;9
Илья Вахания;Ростов;225;99;З П;-;1.00;-;-;-;1.00;2.00;-;1.00;2.00;-;-;-;-;-;-;51.00;78 %;2.00;50 %;4.00;50 %;8.00;38 %;1.00;100 %;-;-;4.00;50 %;4.00;75 %;7.00;2.00;-;6.00;3.00;1.00;17.00;59 %;12.00;67 %;5.00;40 %;4.00;50 %;1.00;0 %;-;-;4.00;75 %;4.00;7.00;1;1.00;-;-;80.00;62.00;78 %;-;-;-;-;0.32;-;-;-;2.51;2.32;0.19;0.22;0.22;40.00;1.00;2.00;3.00;1.00;-;2.00;3.00;10.00;8.00;2.00;2.00;-;-;3.00;9
Вендел;Зенит;244;99;П ПЦ;-;-;-;-;-;-;1.00;2.00;1.00;1.00;1.00;-;-;2.00;-;0.05;84.00;88 %;-;-;3.00;0 %;15.00;87 %;2.00;50 %;1.00;0 %;2.00;100 %;7.00;57 %;10.00;3.00;3.00;4.00;3.00;7.00;15.00;53 %;7.00;57 %;8.00;50 %;2.00;50 %;4.00;50 %;-;-;5.00;60 %;1.00;8.00;1;1.00;-;-;120.00;98.00;82 %;0 %;1.00;1.00;-;0.14;0.03;-;0.00;1.63;1.20;0.43;-;-;74.00;-;-;13.00;1.00;-;2.00;4.00;8.00;4.00;4.00;1.00;2.00;-;3.00;9
Саша Здьелар;ЦСКА Москва;205;99;З Ц;-;-;-;-;-;-;1.00;1.00;-;2.00;-;-;-;-;-;-;76.00;84 %;-;-;-;-;16.00;56 %;5.00;40 %;1.00;0 %;12.00;58 %;2.00;0 %;7.00;4.00;-;17.00;5.00;-;24.00;58 %;22.00;55 %;2.00;100 %;8.00;50 %;-;-;-;-;7.00;57 %;11.00;7.00;1;1.00;-;-;118.00;96.00;81 %;-;-;-;-;-;-;-;-;2.32;2.51;-0.19;0.45;0.15;64.00;-;-;9.00;2.00;-;7.00;-;14.00;12.00;2.00;4.00;-;-;4.00;9
Марсело Алвес Сантос;Сочи;217;98;З ЛЦ;-;-;-;-;-;-;4.00;1.00;-;-;1.00;-;-;-;-;-;88.00;97 %;1.00;0 %;-;-;15.00;93 %;1.00;100 %;-;-;7.00;86 %;1.00;100 %;3.00;1.00;-;7.00;-;4.00;23.00;61 %;16.00;63 %;7.00;57 %;8.00;75 %;2.00;100 %;-;-;5.00;20 %;8.00;5.00;1;1.00;-;-;129.00;117.00;91 %;-;-;-;-;-;-;-;-;0.82;0.67;0.15;0.03;0.03;85.00;-;-;14.00;1.00;-;6.00;1.00;14.00;10.00;4.00;6.00;2.00;-;1.00;9
Срджан Бабич;Спартак Москва;215;98;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;51.00;92 %;-;-;-;-;9.00;89 %;-;-;-;-;-;-;-;-;1.00;-;-;5.00;2.00;2.00;4.00;50 %;3.00;67 %;1.00;0 %;1.00;0 %;-;-;-;-;1.00;100 %;5.00;5.00;1;1.00;-;-;67.00;61.00;91 %;-;-;-;-;-;-;-;-;1.39;1.90;-0.51;0.08;0.04;47.00;-;-;8.00;-;-;-;-;2.00;2.00;-;-;-;-;1.00;9
Фабиан Бальбуэна;Динамо Москва;193;98;З ПЦ;-;-;1.00;-;0 %;1.00;1.00;1.00;1.00;2.00;-;-;-;1.00;1.00;0.26;50.00;86 %;-;-;-;-;9.00;56 %;1.00;100 %;-;-;2.00;100 %;1.00;100 %;4.00;2.00;-;8.00;-;1.00;8.00;63 %;7.00;57 %;1.00;100 %;2.00;100 %;-;-;-;-;4.00;25 %;3.00;11.00;1;1.00;-;-;74.00;64.00;86 %;100 %;-;-;-;0.02;0.26;-;0.00;1.90;1.39;0.51;-;-;43.00;-;-;5.00;1.00;-;2.00;1.00;5.00;4.00;1.00;2.00;-;-;1.00;9
