Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Николай Поярков;Ростов;–;90;ЗП Л;–;–;–;–;–;–;2.61;–;–;–;–;–;1.3;3.91;1.3;0.43;26.09;70 %;1.3;0 %;2.61;0 %;2.61;0 %;–;–;–;–;3.91;33 %;3.91;0 %;5.22;–;–;1.3;1.3;–;3.91;33 %;–;–;3.91;33 %;–;–;2.61;50 %;1.3;100 %;–;–;3.91;6.52;1;1.3;1.3;–;44.35;31.3;71 %;33 %;2.61;–;–;–;0.11;–;0;2.19;1.15;1.04;–;–;18.26;–;–;–;–;–;1.3;–;1.3;–;1.3;–;1.3;1.3;–
Данила Прохин;Ростов;–;90;З ЛЦ;–;–;–;–;–;–;–;–;–;3.1;–;–;–;–;–;–;34.14;64 %;–;–;–;–;6.21;50 %;3.1;100 %;–;–;3.1;0 %;–;–;9.31;3.1;–;3.1;–;–;15.52;40 %;9.31;33 %;6.21;50 %;6.21;100 %;–;–;–;–;3.1;0 %;3.1;12.41;1;–;–;3.1;65.17;43.45;67 %;–;–;–;–;–;–;–;–;0.5;3.79;-3.29;–;–;21.72;–;–;3.1;3.1;–;–;–;6.21;3.1;3.1;6.21;–;–;–
Куинси Антон Промес;Спартак Москва;–;90;АП Л;–;0.91;1.82;–;0 %;1.82;–;0.91;–;–;–;–;0.91;3.64;–;0.33;47.27;83 %;1.82;100 %;–;–;4.55;80 %;2.73;67 %;0.91;100 %;0.91;100 %;11.82;62 %;8.18;–;0.91;–;–;–;9.09;60 %;0.91;0 %;8.18;67 %;–;–;3.64;100 %;3.64;100 %;–;–;0.91;3.64;1;0.91;–;–;65.45;49.09;75 %;0 %;1.82;1.82;–;0.73;0.09;–;0;2.04;1.12;0.92;–;–;39.09;1.82;–;3.64;1.82;0.91;0.91;7.27;5.45;–;5.45;–;3.64;3.64;–
Сергей Пряхин;Балтика;–;90;П ЛЦ;–;–;–;–;–;–;1.48;–;–;–;–;–;–;1.48;–;0.06;25.08;59 %;–;–;–;–;5.9;75 %;–;–;–;–;2.95;100 %;4.43;33 %;5.9;1.48;1.48;1.48;1.48;4.43;22.13;47 %;11.8;38 %;10.33;57 %;2.95;50 %;4.43;33 %;2.95;50 %;2.95;50 %;1.48;2.95;1;1.48;1.48;–;59.02;33.93;58 %;0 %;1.48;–;–;0.03;0.04;–;0;0.37;1.4;-1.03;–;–;14.75;–;–;4.43;–;–;2.95;1.48;10.33;4.43;5.9;1.48;1.48;1.48;1.48
Александр Пуцко;Балтика;–;90;З Ц;–;–;–;–;–;–;–;–;–;0.92;–;–;–;0.92;0.92;0.05;48.67;96 %;–;–;–;–;7.35;88 %;0.92;100 %;–;–;1.84;50 %;–;–;1.84;0.92;–;6.43;–;2.76;11.94;69 %;8.27;78 %;3.67;50 %;6.43;86 %;–;–;–;–;0.92;100 %;7.35;7.35;1;0.92;–;–;79.9;74.39;93 %;100 %;–;–;–;–;0.05;–;0;0.5;1.44;-0.95;0.15;0.08;46.84;–;–;6.43;0.92;–;0.92;–;8.27;6.43;1.84;5.51;–;–;0.92
Ду Кейрос;Зенит;–;90;П ЛЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;9;–;0.18;45;80 %;–;–;–;–;9;100 %;–;–;–;–;9;100 %;–;–;9;–;–;–;–;9;9;100 %;–;–;9;100 %;–;–;9;100 %;9;100 %;–;–;9;–;1;–;–;9;81;63;78 %;0 %;9;–;–;–;0.02;–;0;0.45;0.09;0.36;–;–;36;–;–;9;–;–;9;–;9;–;9;–;9;9;–
Никола Радмановац;Балтика;–;90;З ПЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;46.84;82 %;–;–;0.92;100 %;10.1;73 %;1.84;50 %;–;–;5.51;83 %;0.92;100 %;2.76;0.92;–;8.27;0.92;0.92;10.1;82 %;7.35;75 %;2.76;100 %;7.35;88 %;–;–;–;–;0.92;0 %;10.1;11.94;1;0.92;–;–;80.82;70.71;88 %;–;–;–;–;–;–;–;–;0.5;1.44;-0.95;0.05;0.05;38.57;–;0.92;7.35;0.92;–;4.59;0.92;8.27;5.51;2.76;6.43;–;–;–
Амар Рахманович;Крылья Советов;–;90;Ф Ц;–;–;–;–;–;1.15;1.15;2.31;–;1.15;–;–;–;1.15;1.15;0.02;30;65 %;1.15;100 %;–;–;12.69;64 %;1.15;100 %;–;–;8.08;57 %;3.46;33 %;18.46;1.15;3.46;–;–;3.46;35.77;26 %;6.92;17 %;28.85;28 %;20.77;22 %;5.77;60 %;3.46;67 %;2.31;50 %;1.15;2.31;1;–;–;1.15;77.31;36.92;48 %;100 %;–;–;–;0.24;0.02;–;0;1.23;1.26;-0.02;–;–;19.62;1.15;–;8.08;1.15;–;4.62;1.15;9.23;1.15;8.08;4.62;3.46;2.31;1.15
Умарали Рахмоналиев;Рубин Казань;–;90;П ЛЦ;–;–;–;–;–;–;–;1.01;–;–;–;–;–;2.02;–;0.04;38.43;84 %;–;–;–;–;6.07;83 %;–;–;–;–;2.02;50 %;2.02;100 %;5.06;2.02;–;4.04;3.03;2.02;15.17;40 %;6.07;50 %;9.1;33 %;2.02;100 %;1.01;0 %;–;–;1.01;0 %;2.02;9.1;1;1.01;1.01;–;68.76;51.57;75 %;0 %;1.01;1.01;–;–;0.02;–;0;1.12;1.22;-0.1;–;–;32.36;–;–;5.06;–;–;1.01;2.02;6.07;3.03;3.03;2.02;–;–;–
Николай Рассказов;Крылья Советов;–;90;АП П;–;1.73;1.73;–;0 %;3.46;–;–;–;–;–;–;–;1.73;–;0.4;25.96;87 %;–;–;1.73;0 %;1.73;100 %;–;–;–;–;–;–;3.46;50 %;6.92;–;3.46;–;–;3.46;6.92;25 %;1.73;100 %;5.19;0 %;1.73;0 %;–;–;–;–;1.73;100 %;1.73;3.46;1;–;–;1.73;46.73;32.88;70 %;0 %;1.73;–;–;0.36;0.23;–;0;1.21;1.7;-0.48;0.03;0.02;22.5;–;–;1.73;–;–;–;1.73;1.73;1.73;–;–;–;–;1.73
