Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Максим Шнапцев;Пари Нижний Новгород;–;90;Ф Ц;–;–;–;–;–;–;6.75;2.25;–;–;–;–;–;–;–;–;13.5;83 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;15.75;–;4.5;–;–;–;31.5;29 %;9;25 %;22.5;30 %;6.75;33 %;–;–;–;–;2.25;0 %;–;–;1;–;–;2.25;49.5;20.25;41 %;–;–;–;–;–;–;–;–;0.02;0.94;-0.92;–;–;11.25;–;–;–;–;–;–;–;9;2.25;6.75;2.25;–;–;–
Мигель Силвейра Дос Сантос;Сочи;–;90;АП ЛЦ;–;2.9;–;–;–;5.81;–;–;–;–;–;–;–;2.9;–;0.41;43.55;67 %;2.9;100 %;–;–;8.71;67 %;5.81;100 %;2.9;100 %;2.9;100 %;11.61;25 %;5.81;–;2.9;2.9;–;–;17.42;50 %;8.71;33 %;8.71;67 %;8.71;67 %;2.9;100 %;–;–;2.9;0 %;5.81;5.81;1;–;–;2.9;78.39;49.35;63 %;0 %;2.9;–;–;0.99;0.14;–;0;1.8;–;1.8;–;–;29.03;2.9;–;5.81;5.81;2.9;2.9;2.9;8.71;2.9;5.81;5.81;2.9;–;–
Михаил Сиваков;Оренбург;–;90;З П;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25.71;83 %;–;–;–;–;4.29;0 %;–;–;–;–;4.29;0 %;4.29;100 %;8.57;–;–;4.29;4.29;–;12.86;33 %;8.57;50 %;4.29;0 %;4.29;100 %;–;–;–;–;4.29;0 %;8.57;4.29;1;–;–;4.29;51.43;38.57;75 %;–;–;–;–;–;–;–;–;0.39;2.14;-1.76;–;–;21.43;–;–;–;–;–;–;4.29;4.29;4.29;–;4.29;–;–;–
Дмитрий Скопинцев;Динамо Москва;–;90;ЗЛ;–;–;–;–;–;–;–;1.91;–;1.91;–;–;–;–;–;–;47.87;86 %;0.96;0 %;2.87;0 %;6.7;71 %;0.96;100 %;–;–;4.79;60 %;3.83;50 %;4.79;0.96;–;6.7;0.96;3.83;23.94;48 %;11.49;67 %;12.45;31 %;2.87;33 %;7.66;38 %;1.91;50 %;3.83;50 %;2.87;3.83;1;0.96;–;–;83.3;64.15;77 %;–;–;–;–;–;–;–;–;1.9;1.83;0.07;–;–;41.17;–;–;4.79;0.96;–;2.87;1.91;11.49;7.66;3.83;0.96;2.87;0.96;1.91
Фёдор Смолов;Динамо Москва;–;90;АП Ц;1.02;–;2.05;1.02;50 %;–;1.02;4.09;–;–;–;–;–;2.05;1.02;0.64;45;77 %;1.02;0 %;–;–;8.18;63 %;–;–;–;–;5.11;80 %;5.11;80 %;10.23;1.02;1.02;2.05;1.02;5.11;12.27;33 %;–;–;12.27;33 %;1.02;0 %;8.18;50 %;4.09;25 %;–;–;2.05;4.09;1;1.02;1.02;–;71.59;51.14;71 %;50 %;1.02;–;–;0.44;0.31;0.63;1.59;2.02;1.91;0.11;–;–;34.77;–;–;5.11;–;–;4.09;4.09;4.09;–;4.09;–;4.09;1.02;–
Александр Солдатенков;Крылья Советов;–;90;З ЛЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;23.17;73 %;–;–;–;–;7.13;38 %;3.56;25 %;0.89;0 %;3.56;25 %;0.89;0 %;1.78;–;–;6.24;–;–;9.8;82 %;8.91;80 %;0.89;100 %;2.67;67 %;–;–;–;–;2.67;100 %;6.24;4.46;1;0.89;–;–;43.66;35.64;82 %;–;–;–;–;–;–;–;–;1.27;1.45;-0.19;0.15;0.04;16.93;–;–;2.67;0.89;–;0.89;–;8.02;7.13;0.89;1.78;–;–;2.67
Эдуард Сперцян;ФК Краснодар;–;90;П ПЦ;–;0.98;–;–;–;1.96;2.93;1.96;–;–;–;–;–;0.98;–;0.04;54.78;86 %;3.91;25 %;1.96;50 %;7.83;63 %;–;–;–;–;4.89;60 %;5.87;67 %;8.8;1.96;1.96;0.98;0.98;3.91;12.72;23 %;3.91;0 %;8.8;33 %;0.98;0 %;3.91;75 %;2.93;67 %;3.91;0 %;2.93;2.93;1;0.98;0.98;–;80.22;59.67;74 %;0 %;0.98;–;–;0.95;0.04;–;0;1.87;1.94;-0.07;0.02;0.02;46.96;0.98;0.98;4.89;–;–;2.93;3.91;2.93;–;2.93;–;2.93;1.96;–
Дмитрий Стоцкий;Пари Нижний Новгород;–;90;ЗП Л;–;–;–;–;–;–;–;8.18;–;–;–;–;–;–;–;–;8.18;0 %;–;–;–;–;–;–;–;–;–;–;–;–;8.18;0 %;–;–;–;–;–;–;8.18;100 %;–;–;8.18;100 %;–;–;–;–;–;–;–;–;–;–;1;–;–;8.18;16.36;8.18;50 %;–;–;–;–;–;–;–;–;0.08;0.41;-0.33;–;–;–;–;–;–;–;–;–;–;8.18;–;8.18;–;–;–;–
Тимур Сулейманов;Пари Нижний Новгород;–;90;Ф ПЦ;–;–;–;–;–;1.58;1.58;–;–;–;–;–;–;–;–;–;23.68;60 %;–;–;1.58;0 %;3.16;0 %;–;–;–;–;–;–;3.16;0 %;9.47;1.58;–;–;–;–;23.68;53 %;7.89;40 %;15.79;60 %;7.89;60 %;–;–;–;–;4.74;67 %;3.16;–;1;1.58;1.58;–;50.53;30;59 %;–;–;–;–;0.81;–;–;–;1.18;0.69;0.49;–;–;14.21;–;–;–;–;–;–;–;12.63;3.16;9.47;4.74;–;–;3.16
Кирилл Суслов;Факел Воронеж;–;90;З ЛЦ;–;–;–;–;–;–;0.91;–;1.82;2.73;–;–;–;0.91;–;0.13;37.27;80 %;0.91;0 %;–;–;12.73;71 %;1.82;0 %;0.91;0 %;7.27;50 %;1.82;50 %;4.55;1.82;0.91;6.36;3.64;0.91;19.09;71 %;14.55;63 %;4.55;100 %;9.09;80 %;0.91;100 %;–;–;3.64;50 %;2.73;6.36;1;0.91;–;–;68.18;53.64;79 %;0 %;0.91;–;–;–;0.14;–;0;1.91;1.67;0.24;–;–;30;–;–;9.09;–;–;3.64;0.91;13.64;9.09;4.55;7.27;0.91;–;1.82
Алексей Сутормин;Зенит;–;90;АП Л;–;–;–;–;–;–;–;–;–;–;–;–;–;5;–;0.15;55;100 %;–;–;–;–;5;100 %;5;100 %;–;–;–;–;–;–;–;–;–;–;–;10;5;0 %;–;–;5;0 %;–;–;–;–;–;–;–;–;–;–;1;–;–;5;75;65;87 %;0 %;–;5;–;0.55;0.03;–;0;1;0.05;0.95;–;–;55;–;–;5;5;–;–;–;–;–;–;–;–;–;–
Денис Терентьев;Ростов;–;90;З ПЦ;–;–;–;–;–;–;0.91;–;–;–;–;–;–;–;–;–;56.36;85 %;–;–;5.45;33 %;10;73 %;1.82;100 %;–;–;1.82;50 %;10.91;67 %;4.55;0.91;–;5.45;–;1.82;9.09;30 %;6.36;43 %;2.73;0 %;1.82;0 %;–;–;–;–;3.64;50 %;2.73;11.82;1;0.91;–;–;81.82;67.27;82 %;–;–;–;–;0.42;–;–;–;1.67;1.91;-0.24;–;–;48.18;–;1.82;7.27;1.82;–;0.91;7.27;2.73;2.73;–;–;–;–;1.82
Дмитрий Тихий;Пари Нижний Новгород;–;90;З ПЦ;–;–;–;–;–;–;1.86;–;–;0.93;–;–;–;–;–;–;25.05;78 %;–;–;–;–;3.71;75 %;0.93;100 %;–;–;1.86;100 %;–;–;3.71;3.71;–;6.49;0.93;0.93;12.06;54 %;9.28;60 %;2.78;33 %;1.86;50 %;–;–;–;–;3.71;100 %;8.35;5.57;1;0.93;–;–;53.81;42.68;79 %;–;–;–;–;–;–;–;–;0.71;0.8;-0.09;0.05;0.03;19.48;–;–;2.78;0.93;–;1.86;–;6.49;5.57;0.93;0.93;–;–;3.71
Наир Тикнизян;Локомотив Москва;–;90;ЗЛ;0.95;–;0.95;0.95;100 %;–;1.89;0.95;0.95;0.95;–;–;–;2.84;2.84;0.22;44.53;83 %;–;–;1.89;0 %;5.68;83 %;–;–;–;–;4.74;80 %;0.95;0 %;0.95;–;–;5.68;2.84;1.89;22.74;71 %;9.47;60 %;13.26;79 %;2.84;67 %;6.63;71 %;3.79;75 %;2.84;33 %;7.58;8.53;1;0.95;–;–;89.05;74.84;84 %;100 %;–;–;–;0.03;0.08;0.23;4.35;1.15;1.07;0.08;–;–;36.95;–;–;4.74;–;–;3.79;–;16.11;5.68;10.42;1.89;4.74;2.84;0.95
Дарко Тодорович;ФК Ахмат;–;90;З П;–;–;–;–;–;1.78;1.78;–;0.89;0.89;–;–;–;0.89;–;0.09;52.57;78 %;0.89;0 %;4.46;0 %;8.02;56 %;2.67;67 %;–;–;5.35;83 %;9.8;18 %;6.24;–;1.78;3.56;1.78;3.56;10.69;75 %;8.02;67 %;2.67;100 %;0.89;0 %;1.78;100 %;0.89;100 %;5.35;67 %;4.46;4.46;1;0.89;–;–;79.31;62.38;79 %;0 %;–;0.89;–;0.24;0.1;–;0;1.45;1.27;0.19;0.02;0.02;40.99;–;–;4.46;1.78;–;4.46;1.78;8.02;5.35;2.67;–;1.78;0.89;3.56
Давид Тошевски;Ростов;–;90;Ф Ц;–;–;–;–;–;–;7.2;–;–;–;–;–;–;–;–;–;10.8;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;10.8;–;–;3.6;–;–;25.2;14 %;10.8;0 %;14.4;25 %;7.2;50 %;–;–;–;–;–;–;7.2;–;1;–;–;3.6;43.2;21.6;50 %;–;–;–;–;–;–;–;–;0.58;4.36;-3.78;–;–;10.8;–;–;–;–;–;–;–;3.6;–;3.6;3.6;–;–;–
Александр Трошечкин;Пари Нижний Новгород;–;90;П ЛЦ;–;–;1.32;–;0 %;–;–;–;–;1.32;–;–;–;1.32;–;0.52;17.21;69 %;–;–;–;–;6.62;60 %;1.32;100 %;–;–;3.97;33 %;1.32;100 %;5.29;1.32;2.65;1.32;1.32;–;14.56;45 %;6.62;40 %;7.94;50 %;6.62;40 %;–;–;–;–;2.65;50 %;2.65;2.65;1;1.32;1.32;–;41.03;23.82;58 %;0 %;1.32;–;–;–;0.39;–;0;0.99;0.85;0.15;–;–;11.91;–;–;3.97;1.32;–;1.32;1.32;6.62;2.65;3.97;2.65;–;–;1.32
Дмитрий Цыпченко;Крылья Советов;–;90;Ф ЛЦ;–;–;–;–;–;–;7.83;3.91;–;–;–;–;–;–;–;–;7.83;0 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;7.83;–;–;–;–;–;19.57;0 %;–;–;19.57;0 %;15.65;0 %;–;–;–;–;–;–;–;–;1;3.91;3.91;–;27.39;–;0 %;–;–;–;–;–;–;–;–;1.37;2.11;-0.74;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Роман Тугарев;Ростов;–;90;ЗП П;1.08;–;1.08;1.08;100 %;–;–;1.08;–;–;–;–;–;2.17;1.08;0.27;22.77;62 %;–;–;8.67;25 %;4.34;50 %;–;–;–;–;–;–;9.76;33 %;5.42;2.17;–;1.08;–;1.08;16.27;40 %;2.17;0 %;14.1;46 %;2.17;0 %;7.59;57 %;5.42;60 %;–;–;–;5.42;1;1.08;1.08;–;47.71;28.19;59 %;50 %;1.08;–;–;0.2;0.12;0.25;4;1.82;1.83;-0.01;–;–;14.1;–;2.17;2.17;–;–;–;3.25;6.51;–;6.51;–;4.34;3.25;–
Константин Тюкавин;Динамо Москва;–;90;Ф Ц;–;1.3;1.3;–;0 %;1.3;1.3;–;–;–;–;–;–;1.3;–;0.3;18.26;86 %;1.3;100 %;–;–;2.61;100 %;–;–;–;–;–;–;–;–;3.91;–;–;–;–;1.3;7.83;67 %;1.3;100 %;6.52;60 %;2.61;50 %;–;–;–;–;1.3;100 %;–;–;1;1.3;1.3;–;28.7;22.17;77 %;0 %;1.3;–;–;1.24;0.23;–;0;2.54;2.44;0.1;–;–;15.65;1.3;–;2.61;–;–;–;–;5.22;1.3;3.91;1.3;–;–;1.3
Наиль Умяров;Спартак Москва;–;90;П ПЦ;–;–;–;–;–;–;3.6;–;–;–;–;–;–;–;–;–;39.6;100 %;–;–;–;–;7.2;100 %;–;–;–;–;–;–;–;–;3.6;–;–;–;–;–;3.6;0 %;–;–;3.6;0 %;3.6;0 %;–;–;–;–;–;–;3.6;7.2;1;–;–;3.6;54;50.4;93 %;–;–;–;–;–;–;–;–;2.02;0.32;1.69;–;–;39.6;–;–;7.2;–;–;–;–;–;–;–;–;–;–;–
Мераби Уридия;Рубин Казань;–;90;Ф ПЦ;–;–;–;–;–;–;4.74;4.74;–;–;–;–;–;4.74;–;0.09;33.16;43 %;–;–;–;–;9.47;0 %;–;–;–;–;4.74;0 %;–;–;9.47;–;–;–;–;9.47;18.95;50 %;–;–;18.95;50 %;4.74;100 %;4.74;100 %;4.74;100 %;–;–;–;18.95;1;–;–;4.74;85.26;52.11;61 %;0 %;4.74;–;–;–;0.02;–;0;0.33;0.81;-0.47;–;–;14.21;–;–;–;–;–;–;–;9.47;–;9.47;4.74;4.74;4.74;–
Даниил Уткин;Ростов;–;90;ЗП ПЦ;–;–;–;–;–;0.91;0.91;–;0.91;0.91;0.91;–;–;1.82;0.91;0.13;45.45;72 %;0.91;100 %;0.91;0 %;10;45 %;3.64;75 %;0.91;0 %;4.55;60 %;7.27;25 %;4.55;1.82;–;2.73;0.91;2.73;10;55 %;7.27;38 %;2.73;100 %;4.55;60 %;0.91;100 %;–;–;1.82;50 %;3.64;8.18;1;0.91;–;–;71.82;53.64;75 %;50 %;–;0.91;–;0.39;0.07;–;0;1.67;1.91;-0.24;–;–;32.73;0.91;–;4.55;2.73;–;2.73;1.82;5.45;2.73;2.73;2.73;0.91;–;0.91
Лукас Вера;Оренбург;–;90;П ЛЦ;–;1.82;–;–;–;1.82;–;0.91;1.82;1.82;–;–;–;–;–;–;62.73;81 %;–;–;0.91;0 %;12.73;64 %;8.18;44 %;0.91;0 %;7.27;75 %;2.73;33 %;3.64;0.91;–;2.73;0.91;2.73;15.45;47 %;11.82;46 %;3.64;50 %;2.73;0 %;2.73;67 %;1.82;50 %;6.36;57 %;0.91;6.36;1;0.91;–;–;88.18;68.18;77 %;–;–;–;–;0.25;–;–;–;1.12;2.04;-0.92;–;–;50.91;–;–;8.18;3.64;–;5.45;0.91;7.27;5.45;1.82;–;1.82;0.91;3.64
Максим Витюгов;Крылья Советов;–;90;ЗП ПЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25.96;87 %;–;–;3.46;50 %;3.46;100 %;–;–;–;–;1.73;100 %;3.46;50 %;3.46;–;–;–;–;1.73;8.65;60 %;6.92;50 %;1.73;100 %;–;–;1.73;100 %;–;–;1.73;100 %;1.73;8.65;1;–;–;1.73;46.73;39.81;85 %;–;–;–;–;–;–;–;–;1.21;1.7;-0.48;0.17;0.1;22.5;–;1.73;3.46;–;–;1.73;1.73;5.19;3.46;1.73;–;1.73;–;1.73
Сергей Волков;ФК Краснодар;–;90;З П;–;–;0.96;–;0 %;0.96;–;–;0.96;0.96;–;–;0.96;1.91;–;0.25;50.74;81 %;–;–;1.91;0 %;6.7;86 %;1.91;100 %;0.96;100 %;4.79;80 %;1.91;50 %;8.62;3.83;1.91;6.7;0.96;1.91;16.28;65 %;13.4;57 %;2.87;100 %;3.83;25 %;1.91;100 %;–;–;8.62;67 %;3.83;2.87;1;0.96;–;–;80.43;61.28;76 %;0 %;0.96;0.96;–;–;0.13;–;0;1.83;1.9;-0.07;–;–;41.17;–;–;5.74;1.91;0.96;3.83;0.96;10.53;7.66;2.87;0.96;1.91;–;5.74
Владислав Волков;ФК Ахмат;–;90;ЗП ЛЦ;–;–;–;–;–;–;15;–;–;–;–;–;–;–;–;–;45;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;15;–;–;–;–;–;75;20 %;60;25 %;15;0 %;15;0 %;–;–;–;–;30;0 %;–;30;1;–;–;15;150;90;60 %;–;–;–;–;–;–;–;–;–;–;–;–;–;45;–;–;–;–;–;–;–;15;15;–;–;–;–;–
Дмитрий Воробьёв;Оренбург;–;90;Ф Ц;0.91;–;1.82;0.91;50 %;0.91;0.91;1.82;–;–;–;–;0.91;2.73;1.82;0.41;11.82;54 %;1.82;50 %;0.91;0 %;2.73;0 %;–;–;–;–;–;–;3.64;0 %;11.82;2.73;1.82;1.82;–;–;15.45;35 %;3.64;75 %;11.82;23 %;5.45;17 %;1.82;50 %;1.82;50 %;0.91;100 %;3.64;2.73;1;0.91;–;–;38.18;20;52 %;67 %;–;–;0.91;–;0.15;0.45;2.22;1.12;2.04;-0.92;–;–;6.36;0.91;–;–;–;–;–;–;5.45;2.73;2.73;0.91;0.91;0.91;0.91
Игорь Вуячич;Рубин Казань;–;90;З Ц;–;–;–;–;–;–;–;0.95;0.95;1.89;–;–;–;–;–;–;27.47;66 %;–;–;–;–;8.53;67 %;3.79;75 %;–;–;2.84;67 %;–;–;1.89;1.89;–;4.74;–;–;17.05;78 %;12.32;85 %;4.74;60 %;11.37;75 %;–;–;–;–;1.89;100 %;10.42;3.79;1;0.95;–;–;58.74;45.47;77 %;–;–;–;–;–;–;–;–;1.07;1.15;-0.08;0.21;0.07;18;–;–;5.68;2.84;–;1.89;–;13.26;10.42;2.84;8.53;–;–;1.89
Александр Жиров;Балтика;–;90;З ЛЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;55.1;87 %;–;–;–;–;16.53;72 %;2.76;67 %;0.92;100 %;7.35;63 %;–;–;1.84;0.92;–;12.86;0.92;1.84;21.12;65 %;18.37;65 %;2.76;67 %;11.94;62 %;–;–;–;–;2.76;100 %;6.43;6.43;1;0.92;–;–;91.84;77.14;84 %;–;–;–;–;–;–;–;–;0.5;1.44;-0.95;–;–;47.76;–;–;11.94;1.84;0.92;4.59;–;13.78;11.94;1.84;7.35;–;–;2.76
Вячеслав Якимов;Факел Воронеж;–;90;П ПЦ;–;–;–;–;–;–;2.61;1.3;–;–;–;–;–;–;–;–;20.87;50 %;–;–;–;–;5.22;0 %;–;–;–;–;5.22;25 %;2.61;50 %;6.52;2.61;2.61;2.61;–;–;16.96;46 %;11.74;33 %;5.22;75 %;9.13;29 %;–;–;–;–;3.91;67 %;3.91;7.83;1;1.3;1.3;–;52.17;30;58 %;–;–;–;–;–;–;–;–;1.15;2.19;-1.04;–;–;10.43;–;–;–;–;–;1.3;1.3;7.83;3.91;3.91;2.61;–;–;2.61
Магомед Якуев;ФК Ахмат;–;90;АП Л;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;30;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;15;1;–;–;15;45;45;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;30;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Александр Юшин;Урал Екатеринбург;–;90;АП ЛЦ;–;1.41;2.81;–;0 %;5.62;1.41;–;–;–;–;–;–;2.81;–;0.76;16.88;58 %;2.81;100 %;–;–;2.81;0 %;–;–;–;–;1.41;0 %;2.81;100 %;9.84;2.81;–;1.41;1.41;1.41;11.25;63 %;–;–;11.25;63 %;2.81;50 %;7.03;80 %;5.62;75 %;–;–;1.41;4.22;1;1.41;1.41;–;37.97;23.91;63 %;0 %;2.81;–;–;1.49;0.27;–;0;2.38;1.94;0.44;–;–;9.84;2.81;–;–;–;–;–;2.81;7.03;–;7.03;1.41;5.62;4.22;–
Артур Юсупов;Сочи;–;90;ЗП ЛЦ;–;–;–;–;–;–;1;1;–;–;1;–;1;–;–;–;59;83 %;–;–;–;–;9;67 %;3;67 %;–;–;1;0 %;1;0 %;9;3;–;4;1;–;10;60 %;5;60 %;5;60 %;3;33 %;–;–;–;–;3;67 %;6;12;1;1;1;–;87;73;84 %;–;–;–;–;0.48;–;–;–;1.43;0.54;0.89;–;–;49;–;–;6;2;–;–;–;6;3;3;1;–;–;2
Антон Заболотный;ЦСКА Москва;–;90;Ф Ц;1.38;–;4.15;1.38;33 %;1.38;–;1.38;–;–;–;–;–;5.54;2.77;1.62;24.92;56 %;–;–;–;–;4.15;67 %;–;–;–;–;4.15;67 %;2.77;50 %;13.85;–;1.38;1.38;1.38;1.38;16.62;67 %;2.77;50 %;13.85;70 %;11.08;75 %;1.38;0 %;1.38;0 %;1.38;100 %;–;4.15;1;1.38;1.38;–;54;33.23;62 %;50 %;1.38;1.38;–;–;0.29;1.17;0.85;1.91;2.34;-0.43;–;–;13.85;–;–;2.77;–;–;2.77;1.38;11.08;1.38;9.69;8.31;–;–;1.38
Кирилл Заика;Сочи;–;90;ЗП П;–;–;–;–;–;–;5.62;5.62;–;–;–;–;–;5.62;–;0.23;22.5;75 %;5.62;0 %;5.62;0 %;–;–;–;–;–;–;–;–;5.62;0 %;–;–;–;–;–;–;22.5;25 %;16.88;33 %;5.62;0 %;5.62;0 %;–;–;–;–;–;–;5.62;11.25;1;–;–;5.62;67.5;39.38;58 %;0 %;–;5.62;–;0.45;0.04;–;0;3.49;–;3.49;–;–;16.88;–;–;–;–;–;–;–;5.62;5.62;–;–;–;–;–
Арсен Захарян;Динамо Москва;–;90;ЗП ЛЦ;–;–;–;–;–;0.96;0.96;–;–;–;–;–;–;0.96;–;0.04;52.66;85 %;3.83;25 %;1.91;50 %;9.57;60 %;0.96;100 %;–;–;5.74;67 %;6.7;57 %;4.79;–;–;3.83;0.96;3.83;9.57;50 %;7.66;50 %;1.91;50 %;0.96;100 %;1.91;50 %;0.96;100 %;5.74;50 %;0.96;2.87;1;0.96;–;–;70.85;57.45;81 %;0 %;0.96;–;–;1.13;0.04;–;0;1.9;1.83;0.07;0.21;0.22;45;0.96;0.96;5.74;0.96;–;3.83;3.83;4.79;3.83;0.96;0.96;0.96;0.96;2.87
Бактиёр Зайнутдинов;ЦСКА Москва;–;90;ЗП Л;–;–;–;–;–;–;0.93;–;–;0.93;–;–;–;0.93;–;0.07;68.66;82 %;0.93;0 %;2.78;33 %;14.85;69 %;0.93;0 %;–;–;5.57;83 %;2.78;67 %;8.35;2.78;1.86;3.71;–;1.86;13.92;53 %;7.42;63 %;6.49;43 %;7.42;63 %;2.78;33 %;1.86;50 %;0.93;100 %;3.71;5.57;1;0.93;–;–;96.49;75.15;78 %;0 %;0.93;–;–;0.06;0.08;–;0;1.28;1.82;-0.54;–;–;56.6;–;0.93;10.21;–;–;4.64;1.86;7.42;4.64;2.78;4.64;0.93;0.93;0.93
Саса Здьелар;ЦСКА Москва;–;90;ЗП ЛЦ;–;–;–;–;–;–;–;1.86;–;–;–;–;–;–;–;–;61.24;92 %;–;–;–;–;11.13;83 %;3.71;100 %;–;–;7.42;88 %;1.86;50 %;1.86;0.93;–;1.86;–;0.93;7.42;38 %;5.57;17 %;1.86;100 %;4.64;20 %;–;–;–;–;0.93;100 %;1.86;5.57;1;0.93;–;–;77.01;67.73;88 %;–;–;–;–;0.03;–;–;–;1.28;1.82;-0.54;0.02;0.02;56.6;–;–;9.28;3.71;–;6.49;0.93;2.78;0.93;1.86;0.93;–;–;0.93
Рифат Жемалетдинов;Локомотив Москва;–;90;АП Ц;–;–;1.55;–;0 %;3.1;3.1;–;–;–;–;–;–;3.1;1.55;0.22;35.69;83 %;1.55;100 %;–;–;10.86;86 %;1.55;100 %;–;–;9.31;67 %;6.21;50 %;9.31;3.1;–;–;–;3.1;23.28;20 %;7.76;0 %;15.52;30 %;6.21;25 %;1.55;100 %;–;–;4.66;0 %;3.1;3.1;1;1.55;1.55;–;69.83;43.45;62 %;50 %;–;1.55;–;–;0.07;–;0;1.54;0.99;0.54;–;–;29.48;1.55;–;9.31;1.55;–;6.21;3.1;4.66;–;4.66;1.55;1.55;–;–
Илья Жигулёв;Пари Нижний Новгород;–;90;П ПЦ;–;–;–;–;–;–;6.21;–;–;–;–;–;–;–;–;–;31.03;60 %;–;–;–;–;3.1;0 %;3.1;0 %;–;–;6.21;0 %;6.21;0 %;6.21;–;–;3.1;–;3.1;18.62;83 %;9.31;67 %;9.31;100 %;–;–;3.1;100 %;–;–;–;–;–;–;1;–;–;3.1;52.76;37.24;71 %;–;–;–;–;–;–;–;–;0.03;0.68;-0.65;–;–;18.62;–;–;–;–;–;–;–;15.52;6.21;9.31;–;3.1;–;–
Дмитрий Живоглядов;Пари Нижний Новгород;–;90;ЗП П;–;–;–;–;–;0.93;–;–;0.93;0.93;–;–;–;–;–;–;25.98;79 %;–;–;2.78;33 %;1.86;50 %;–;–;–;–;0.93;0 %;5.57;83 %;6.49;3.71;–;2.78;–;–;8.35;56 %;4.64;60 %;3.71;50 %;1.86;50 %;1.86;0 %;0.93;0 %;2.78;100 %;3.71;0.93;1;0.93;–;–;40.82;31.55;77 %;–;–;–;–;0.58;–;–;–;0.71;0.8;-0.09;0.1;0.11;20.41;–;0.93;0.93;–;–;–;4.64;4.64;2.78;1.86;0.93;–;–;2.78
Антон Зиньковский;Спартак Москва;–;90;АП П;–;–;–;–;–;–;–;–;–;–;–;–;–;3.05;1.53;0.09;25.93;76 %;1.53;0 %;3.05;0 %;4.58;100 %;–;–;–;–;3.05;50 %;6.1;25 %;6.1;1.53;1.53;–;–;1.53;4.58;0 %;–;–;4.58;0 %;1.53;0 %;1.53;0 %;–;–;–;–;–;3.05;1;1.53;1.53;–;39.66;25.93;65 %;50 %;1.53;–;–;0.56;0.03;–;0;2.06;1.48;0.58;–;–;19.83;–;–;4.58;–;–;1.53;1.53;–;–;–;–;–;–;–
