Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Илья Самошников;Рубин Казань;240;90;ЗП Л;0.08;0.16;0.74;0.08;11 %;1.15;0.91;1.32;–;–;0.16;–;–;2.22;0.99;0.1;39.69;74 %;1.48;33 %;1.89;30 %;7.41;58 %;1.65;45 %;0.25;33 %;5.27;61 %;5.43;55 %;8.89;1.32;0.49;4.45;1.24;5.43;20.83;59 %;8.89;62 %;11.94;56 %;2.55;39 %;8.32;64 %;5.52;58 %;4.78;67 %;4.61;5.43;12;0.99;0.16;–;78.72;58.22;74 %;44 %;0.66;0.58;–;0.26;0.05;1.24;0.81;1.41;0.58;0.83;0;0.02;29.56;0.49;0.58;4.28;0.74;0.08;3.21;2.96;12.19;5.52;6.67;0.99;5.35;3.21;3.21
Дмитрий Кабутов;Рубин Казань;233;90;ЗП П;0.09;0.26;0.17;0.09;50 %;1.2;1.37;1.11;0.09;0.43;0.34;–;–;1.28;0.26;0.06;56.26;73 %;1.46;41 %;4.11;23 %;11.73;59 %;2.48;59 %;0.43;60 %;7.88;60 %;12.42;58 %;8.73;1.8;1.11;3.17;0.94;3.25;16.7;49 %;8.5;57 %;8.65;42 %;1.8;38 %;4.54;49 %;2.48;48 %;3.34;59 %;5.31;6.8;13;0.86;0.17;0.26;89.91;63.97;71 %;20 %;0.51;0.43;0.09;0.53;0.05;0.73;1.37;1.38;0.58;0.81;–;–;40.93;0.6;0.94;6.94;1.46;0.26;4.71;7.19;8.22;4.62;3.6;0.69;2.23;1.2;1.97
Мухаммад Султонов;Родина Москва;231;90;П П;0.18;0.27;0.73;0.18;25 %;1.9;0.64;0.91;–;0.09;0.09;–;0.27;2.45;1.9;0.13;37.2;74 %;1.81;45 %;3.81;29 %;10.25;65 %;1.18;62 %;0.18;0 %;4.26;66 %;5.44;52 %;8.89;1.63;1.81;2.18;0.54;2.9;15.79;42 %;5.53;44 %;10.25;41 %;3.81;40 %;2.81;48 %;1.54;47 %;2.99;52 %;3.72;5.99;11;1;0.45;–;69.68;47.54;68 %;44 %;0.91;0.45;–;0.23;0.05;0.73;1.37;1.19;1.37;-0.18;0.03;0.06;27.4;0.82;1.9;6.71;0.73;–;2.81;2.81;6.62;2.45;4.17;1.54;1.36;0.73;1.54
Кирилл Маляров;Балтика;228;90;ЗП Л;–;0.08;0.23;–;0 %;0.31;0.53;1.83;0.15;0.31;0.08;–;0.08;0.61;0.15;0.05;44.35;73 %;0.53;29 %;2.98;36 %;11.45;60 %;1.37;56 %;0.08;0 %;8.2;60 %;7.33;60 %;7.2;1.45;0.76;4.5;1.22;1.98;11.6;58 %;7.2;63 %;4.58;50 %;3.21;55 %;1.68;59 %;0.69;33 %;3.5;68 %;4.66;6.11;13;0.99;0.23;–;70.08;51.83;74 %;25 %;0.23;0.23;–;0.14;0.08;–;0;1.36;0.7;0.66;0.01;0.04;32.21;0.15;1.7;6.87;0.76;–;4.81;4.43;6.72;4.43;2.29;1.76;0.99;0.23;2.6
Сергей Пряхин;Балтика;228;90;П ЛЦ;0.48;–;0.72;0.48;67 %;0.85;1.81;3.2;–;–;0.12;–;0.12;1.69;1.9;0.2;26.34;71 %;1.9;44 %;0.97;13 %;4.11;56 %;1.9;67 %;–;–;2.66;55 %;6.4;60 %;7.73;1.9;1.69;3.14;1.45;1.69;23.92;46 %;8.7;46 %;15.22;47 %;4.47;35 %;4.23;57 %;2.42;45 %;3.5;52 %;3.2;4.83;14;0.48;0.24;1.21;63.18;40.35;64 %;64 %;0.24;0.36;–;0.34;0.12;0.41;2.45;1.53;0.65;0.88;0;0.04;18.6;0.48;0.12;2.3;0.72;–;1.45;3.62;11.11;3.99;7.13;1.57;2.42;1.9;1.81
Константин Савичев;ФК Акрон Тольятти;227;90;З П;0.09;0.09;0.47;0.09;20 %;0.75;1.3;0.65;0.28;0.75;0.47;0.09;–;1.4;0.47;0.2;57.17;81 %;0.93;20 %;4.85;37 %;12.5;71 %;2.8;53 %;0.19;0 %;6.44;61 %;6.6;54 %;7.83;1.68;0.65;5.97;1.87;3.8;11.66;59 %;6.34;60 %;5.32;58 %;2.61;54 %;2.89;58 %;2.5;64 %;1.87;75 %;5.22;6.99;11;1.3;0.09;–;86.18;69.02;80 %;33 %;0.47;0.47;–;0.15;0.14;2.14;0.47;1.21;0.76;0.46;0.03;0.04;46.35;0.19;1.77;8.86;1.49;–;3.92;3.26;6.9;3.82;3.8;1.4;1.68;1.31;1.4
Никола Радмановац;Балтика;227;90;З ЛЦ;–;–;0.07;–;0 %;–;0.67;0.67;–;0.67;0.3;–;–;0.74;0.22;0.08;44.22;87 %;0.07;0 %;0.37;100 %;10.52;70 %;2.67;72 %;0.3;25 %;4.3;64 %;1.11;73 %;2.22;0.59;0.07;9.26;1.93;0.74;10.67;74 %;8.37;78 %;2.3;61 %;4.89;79 %;0.22;33 %;0.15;0 %;1.78;71 %;6.96;9.11;13;0.89;–;0.07;72.52;63.26;87 %;30 %;0.3;0.22;–;0.02;0.1;–;0;1.31;0.6;0.72;0.08;0.07;38.3;–;0.37;7.41;1.93;0.07;2.74;0.81;7.93;6.52;1.41;3.85;0.07;–;1.26
Абакар Гаджиев;Динамо Махачкала;225;90;АП ПЦ;–;0.21;0.62;–;0 %;1.85;2.6;2.27;–;0.41;0.21;–;0.41;2.27;0.82;0.12;30.69;63 %;2.6;80 %;1.24;50 %;7.83;34 %;2.47;42 %;0.21;100 %;3.71;44 %;5.15;60 %;12.56;1.24;1.3;3.91;1.24;2.47;21.42;42 %;6.8;48 %;14.62;39 %;4.32;43 %;5.35;58 %;2.88;50 %;3.3;50 %;3.5;6.18;7;1.3;1.3;0.41;67.55;41.4;61 %;36 %;1.24;0.21;–;0.12;0.05;–;0;0.89;0.47;0.42;0.02;0.04;19.36;1.65;0.62;2.68;1.3;0.21;1.65;3.9;9.6;3.3;5.77;1.85;3.9;1.44;1.65
Николай Марков;Енисей Красноярск;225;90;З П;–;0.32;0.48;–;0 %;1.43;0.48;0.64;0.16;0.32;–;–;–;0.8;0.32;0.09;52.73;85 %;1.12;57 %;1.75;27 %;6.53;61 %;1.91;42 %;–;–;3.3;63 %;2.23;36 %;4.78;0.8;0.32;4.3;1.27;1.12;12.27;60 %;7.1;80 %;5.26;33 %;3.35;67 %;0.96;33 %;0.8;20 %;1.75;82 %;4.46;4.78;9;0.96;0.64;0.48;76.46;62.76;82 %;40 %;0.48;–;–;0.17;0.11;–;0;1.66;1.5;0.6;0;0.02;44.76;0.64;0.48;3.98;0.8;–;1.91;0.8;7.33;5.58;1.75;2.23;0.32;0.16;1.43
Александр Осипов;Балтика;225;90;З ПЦ;0.08;0.08;0.23;0.08;33 %;0.38;0.3;0.68;0.15;0.46;0.08;–;–;0.46;0.15;0.05;40.56;84 %;0.15;100 %;0.23;33 %;12.84;72 %;3.95;69 %;0.61;63 %;7.37;69 %;0.91;67 %;3.11;0.76;0.23;6.84;0.84;0.99;14.35;71 %;11.16;73 %;3.19;67 %;7.6;75 %;0.46;50 %;–;–;1.59;71 %;5.54;6.46;13;0.91;0.08;0.08;68.58;57.27;84 %;33 %;0.3;–;–;0.06;0.11;0.68;1.47;1.28;0.61;0.67;0.06;0.09;33.87;0.15;0.08;9.27;2.73;0.38;5.9;0.61;10.25;8.13;2.13;5.32;0.23;–;1.14
Данила Сагуткин;ФК Акрон Тольятти;225;90;З ПЦ;0.16;–;0.16;0.16;100 %;–;1.29;1.45;0.32;0.81;0.32;–;–;0.16;0.16;0.01;53.64;83 %;–;–;–;–;13.09;65 %;3.55;77 %;0.65;100 %;5.49;59 %;0.32;0 %;3.39;0.81;–;7.27;1.13;2.59;14.22;77 %;11.47;77 %;2.75;76 %;8.24;82 %;0.81;100 %;0.32;100 %;1.62;60 %;6.95;6.3;9;1.13;0.81;0.32;83.86;71.74;86 %;100 %;–;–;–;–;0.07;0.07;14.29;1.9;0.79;0.3;0.13;0.11;44.76;–;–;8.56;2.75;0.65;3.23;–;10.99;8.89;2.1;6.79;0.81;0.32;0.97
Олег Ланин;Енисей Красноярск;224;90;ЗП Ц;–;–;0;–;–;–;1.4;1.49;0.19;0.47;0.28;–;–;0.19;–;0;49.57;88 %;0.19;0 %;0.47;0 %;9.6;67 %;1.3;73 %;0.19;50 %;5.32;72 %;1.68;56 %;3.17;1.21;0.28;6.72;2.61;0.84;15.87;68 %;11.95;68 %;3.92;69 %;4.11;55 %;1.12;67 %;0.28;67 %;4.85;79 %;6.54;6.7;11;1.3;0.19;–;79.36;67.78;85 %;0 %;0.19;–;–;0.06;0.02;–;0;1.38;1.22;0.17;0.02;0.04;43.51;–;–;6.7;0.75;0.09;3.83;0.93;10.83;8.12;2.71;2.24;0.75;0.19;3.83
Владимир Ковачевич;Динамо Махачкала;223;90;З ПЦ;0.08;–;0.32;0.08;25 %;0.08;1.2;1.1;–;–;0.32;–;0.16;0.32;0.08;0.09;42.71;80 %;0.16;50 %;0.55;57 %;10.25;68 %;1.81;57 %;0.16;50 %;6.7;67 %;0.95;42 %;4.18;1.65;0.32;9.14;1.73;1.34;16.87;76 %;13.32;78 %;3.55;71 %;7.41;79 %;0.32;100 %;0.08;100 %;2.6;82 %;6.62;6.62;12;0.95;–;–;74.79;61.55;82 %;25 %;0.16;0.08;–;0.1;0.3;1.2;0.83;1.8;0.65;0.44;0.07;0.06;34.05;0.08;0.32;7.1;1.2;0.08;4.49;0.39;12.85;10.32;2.52;5.83;0.32;0.08;2.13
Астемир Гордюшенко;Родина Москва;223;90;П Л;0.3;0.4;0.9;0.3;33 %;0.9;0.8;1.3;–;–;0.3;–;0.2;2.1;1.1;0.17;42.1;73 %;1.1;45 %;1.8;22 %;8;63 %;2.5;64 %;0.3;0 %;3.7;59 %;7.8;55 %;10;1.4;1.2;2.7;1.1;2.4;19;49 %;6.8;46 %;12.2;52 %;3.1;61 %;2.7;56 %;1.2;50 %;3.6;47 %;4.1;5.5;12;1.1;0.9;0.1;76.3;53.1;70 %;52 %;0.7;0.3;–;0.35;0.08;0.55;1.81;1.25;1.38;-0.13;0.01;0.03;30.7;0.5;0.4;5;1.6;–;2.2;4.3;9.4;3.1;6.3;1.9;1.5;0.6;1.7
Владислав Лазарев;Балтика;222;90;П ПЦ;0.09;–;0.27;0.09;33 %;0.37;2.11;1.83;–;0.09;0.27;–;0.18;1.56;0.73;0.17;27.74;78 %;0.18;100 %;0.82;56 %;6.41;70 %;0.55;33 %;0.09;0 %;3.2;57 %;2.75;57 %;5.58;0.82;0.64;3.2;1.28;0.82;14.1;49 %;6.68;51 %;7.42;47 %;3.2;49 %;1.92;62 %;0.73;50 %;2.75;63 %;3.94;5.49;13;0.92;0.37;0.27;54.29;39.46;73 %;47 %;0.46;0.37;–;0.08;0.11;1.88;0.53;1.14;0.57;0.57;0.01;0.04;21.61;0.18;0.46;4.49;0.18;–;1.83;1.56;6.87;3.39;3.48;1.56;1.19;0.37;1.74
Тамерлан Мусаев;Балтика;222;90;Ф ЛЦ;0.29;0.43;1.64;0.36;22 %;0.93;2.29;1.29;–;0.07;0.07;–;0.36;2.72;1;0.28;17.51;66 %;0.5;100 %;1.7;20 %;2.79;49 %;0.21;100 %;–;–;1.72;42 %;1.86;54 %;12.15;1.14;1.43;0.79;0.57;1.22;27.81;35 %;3.79;30 %;24.02;36 %;11.37;35 %;3.5;29 %;2.64;30 %;1;57 %;1.36;2.64;14;1;0.36;–;54.61;27.45;50 %;37 %;0.93;0.64;0.14;0.35;0.1;0.97;1.3;1.29;0.63;0.66;0.03;0.23;11.58;0.5;0.21;1.36;0.21;–;0.71;1;9.72;1.14;8.58;3.93;1;0.79;0.57
Ян Казаев;Балтика;222;90;ЗП Ц;0.08;0.08;0.08;0.08;100 %;0.16;0.98;1.47;–;0.33;0.16;–;–;0.49;0.16;0.07;34.61;80 %;0.08;100 %;0.41;80 %;9.57;67 %;0.74;33 %;0.25;33 %;4.1;65 %;1.55;68 %;2.95;0.49;0.74;5.7;2.37;1.23;14.32;61 %;9.65;58 %;4.66;68 %;3.68;62 %;0.57;71 %;0.16;50 %;3.3;65 %;6.46;9.41;12;0.98;0.49;–;67.25;53.75;80 %;33 %;0.16;0.16;–;0.04;0.15;0.9;1.11;1.28;0.51;0.77;0.01;0.03;27.74;0.08;0.33;6.38;0.25;0.08;2.62;1.6;8.75;5.56;3.19;2.29;0.41;0.08;1.96
Владимир Ярлыков;Краснодар-2;221;90;З ЛЦ;0.32;–;0.32;0.32;100 %;–;1.59;0.64;–;0.64;0.64;–;–;0.32;0.32;0.04;40.07;83 %;–;–;–;–;9.22;62 %;4.77;67 %;1.59;60 %;3.18;50 %;0.32;0 %;2.86;0.64;0.32;7.95;0.64;0.64;12.08;71 %;11.13;74 %;0.95;33 %;6.68;76 %;–;–;–;–;1.91;67 %;6.36;5.41;3;0.95;–;–;65.19;54.7;84 %;100 %;–;–;–;–;0.13;0.13;7.69;1.78;0.98;0.8;0.29;0.11;33.39;–;–;5.72;3.18;0.95;1.59;–;8.59;8.27;0.32;5.9;–;–;1.27
Максим Кузьмин;Балтика;221;90;П ЛЦ;–;0.14;0.28;–;0 %;1.38;1.11;1.24;0.14;0.14;–;–;–;0.83;0.28;0.06;43.55;66 %;1.94;43 %;3.18;30 %;13;65 %;2.49;67 %;0.41;100 %;8.2;62 %;14.1;60 %;7.88;0.97;1.24;2.9;1.52;2.7;13.41;46 %;5.25;42 %;8.16;49 %;2.76;45 %;3.59;69 %;1.66;83 %;1.94;36 %;4.98;8.16;10;1.38;1.38;–;74.24;50.6;68 %;33 %;0.41;0.14;–;0.63;0.07;–;0;1.39;0.58;0.82;0;0.03;28.89;0.83;0.97;8.43;1.66;0.41;4.98;8.43;6.22;2.21;4.1;1.24;2.49;1.38;0.69
Александр Мартынович;Рубин Казань;221;90;З Ц;–;–;0.27;–;0 %;0.13;1.1;1.28;0.13;0.47;0.07;–;0.07;0.54;0.07;0.07;46.88;86 %;0.2;33 %;–;–;10.01;76 %;2.42;58 %;0.34;40 %;5.24;68 %;0.34;40 %;2.55;0.6;0.07;9.4;1.21;1.7;14.84;76 %;12.16;78 %;2.69;68 %;7.52;82 %;0.67;60 %;0.07;0 %;1.88;71 %;7.19;7.32;14;0.94;–;–;77.91;67.43;87 %;13 %;0.4;0.07;–;0.04;0.13;–;0;1.42;0.57;0.85;0.11;0.15;40.5;0.07;–;7.59;1.41;0.13;3.56;0.13;11.28;9.47;1.81;6.18;0.4;–;1.34
Андрюс Рукас;Енисей Красноярск;221;90;З ПЦ;–;–;0.25;–;0 %;–;1.11;0.61;0.25;0.86;0.61;–;–;0.25;0.12;0.02;64.67;90 %;–;–;–;–;11.43;69 %;1.6;62 %;0.25;50 %;4.55;57 %;0.61;80 %;3.32;0.86;0.61;9.34;0.74;1.48;16.72;70 %;12.66;71 %;4.6;67 %;6.76;71 %;0.98;88 %;–;–;2.21;67 %;7.25;7.5;9;0.98;0.25;0.12;98.48;86.07;87 %;50 %;0.12;–;–;–;0.08;–;0;0.83;1.9;-0.26;0.1;0.11;58.03;–;–;7.87;0.98;0.12;2.58;0.49;11.68;8.98;2.7;4.8;0.86;–;1.48
Константин Плиев;Алания Владикавказ;220;90;З ПЦ;–;–;0;–;–;–;0.84;–;0.14;0.28;0.14;–;–;0.14;–;0.02;47.1;87 %;–;–;–;–;9.53;66 %;2.8;60 %;1.12;88 %;4.21;70 %;0.56;25 %;2.66;0.98;0.14;7.29;1.26;1.4;12.2;85 %;10.23;86 %;1.96;79 %;4.49;97 %;0.56;75 %;–;–;2.38;100 %;4.49;5.47;8;0.98;0.14;0.14;70.93;62.66;88 %;0 %;0.14;–;–;0.05;0.14;–;0;1.16;1;0.17;0.09;0.11;40.93;–;–;6.31;1.68;0.98;2.94;0.14;10.37;8.83;1.54;4.35;0.42;–;2.38
Александр Пуцко;Балтика;220;90;З Ц;–;0.2;0.34;–;0 %;0.27;0.54;0.27;0.2;0.74;0.14;–;–;0.27;0.07;0.02;40.44;81 %;0.07;100 %;0.07;0 %;10.74;66 %;3.65;65 %;0.2;0 %;5.27;67 %;0.41;83 %;2.43;0.54;0.2;8.64;0.74;0.74;11.28;69 %;8.51;73 %;2.77;59 %;7.43;69 %;0.47;100 %;–;–;0.61;44 %;6.75;7.63;14;0.95;0.07;–;67.31;55.97;83 %;25 %;0.2;–;–;0.07;0.09;–;0;1.31;0.6;0.71;0.08;0.08;32.95;0.07;–;7.9;2.36;–;3.51;0.34;7.83;6.21;1.62;5.13;0.47;–;0.27
Олег Иванов;Рубин Казань;220;90;ЗП Ц;–;–;0.23;–;0 %;0.23;0.69;0.46;–;–;0.46;–;–;0.69;0.46;0.18;61.22;81 %;0.69;33 %;0.46;50 %;17.59;65 %;4.34;74 %;0.69;67 %;10.05;57 %;4.34;47 %;6.62;0.91;0.46;6.4;1.83;2.6;16.22;69 %;9.37;73 %;6.85;63 %;7.54;82 %;2.6;89 %;0.91;75 %;1.83;50 %;6.17;7.31;9;0.23;–;1.83;94.11;76.98;82 %;67 %;0.23;–;–;0.07;0.27;–;0;1.33;0.76;0.57;0.02;0.1;49.8;0.23;0.23;11.42;3.2;0.46;5.71;2.6;11.19;6.85;4.34;6.17;1.83;0.69;0.91
Виталий Стежко;Енисей Красноярск;220;90;З ЛЦ;–;0.13;0.27;–;0 %;0.13;1.46;0.13;0.53;0.8;0.13;–;–;0.4;0.27;0.08;62.7;91 %;0.13;100 %;–;–;14.32;80 %;2.39;67 %;0.53;75 %;4.11;68 %;0.13;0 %;1.99;0.66;–;8.9;0.8;1.33;14.05;71 %;12.19;72 %;1.86;64 %;7.3;72 %;–;–;–;–;1.19;56 %;6.36;7.56;9;1.6;0.27;0.13;92.25;82.18;89 %;67 %;–;0.13;–;0.13;0.2;–;0;1.76;1.13;0.62;0.01;0.03;56.86;0.13;–;11.4;1.59;0.4;2.78;–;9.94;8.75;1.19;5.4;–;–;0.66
Руслан Фищенко;Родина Москва;220;90;ЗП ПЦ;–;0.08;0.08;–;0 %;0.34;2.1;1.85;–;0.34;0.34;–;–;0.17;0.08;0.01;36.57;82 %;0.08;100 %;0.42;40 %;6.29;69 %;0.67;63 %;0.08;0 %;3.27;62 %;0.84;70 %;3.36;1.1;0.42;6.12;1.68;0.08;19.54;70 %;13.59;68 %;5.96;75 %;6.21;73 %;0.67;88 %;0.34;100 %;5.3;63 %;5.12;4.86;13;1.1;0.25;0.08;66.68;53.68;81 %;50 %;–;0.08;–;0.1;0.04;–;0;0.99;1.34;-0.35;0.04;0.09;29.94;0.08;0.17;4.36;0.42;–;2.1;0.59;13.67;9.23;4.45;4.53;0.59;0.34;3.19
Нури Абдоков;Кубань Краснодар;220;90;АП Ц;0.48;–;1.27;0.48;38 %;0.8;1.75;1.99;0.08;0.08;0.4;–;0.48;1.51;0.56;0.29;24.11;78 %;0.8;40 %;0.48;33 %;4.6;69 %;0.56;71 %;0.16;50 %;2.7;58 %;2.47;52 %;9.7;1.19;1.3;1.43;0.4;2.47;20.69;39 %;6.76;45 %;13.93;36 %;4.22;30 %;4.93;47 %;2.86;39 %;4.22;55 %;2.79;4.3;13;1.3;0.4;–;56.9;36.84;65 %;37 %;0.4;0.48;0.08;0.08;0.19;0.62;1.63;1.5;1.29;-0.24;0;0.01;18.7;0.32;0.16;2.79;0.4;0.08;1.19;1.27;8.4;3.2;5.1;1.27;2.31;1.11;2.31
Вячеслав Бардыбахин;Енисей Красноярск;219;90;З П;–;–;0.13;–;0 %;0.13;2.67;0.67;0.4;1.7;0.27;–;0.13;0.8;0.13;0.03;55.87;86 %;0.27;0 %;1.87;14 %;8.27;76 %;1.2;78 %;–;–;3.87;83 %;2.4;44 %;6.53;2.8;1.7;6.4;1.47;2.67;22.27;61 %;12.4;66 %;9.87;55 %;3.6;70 %;4;60 %;1.6;58 %;6.27;64 %;5.33;4.53;11;0.8;0.53;0.67;92.67;74.27;80 %;17 %;0.4;0.13;0.13;0.13;0.04;–;0;1.31;1.14;0.17;0.07;0.08;48;–;0.27;6.27;0.93;–;3.2;1.7;13.6;8.13;5.47;2.53;2.4;0.93;4
Илья Зуев;ФК Акрон Тольятти;219;90;З ПЦ;–;–;0.19;–;0 %;0.09;0.95;0.95;0.19;0.66;0.28;–;–;0.47;0.28;0.08;61.17;84 %;–;–;0.09;0 %;15.17;62 %;5.69;55 %;1.61;41 %;9.1;54 %;0.95;40 %;4.74;1.4;0.47;8.82;1.42;4.36;14.7;71 %;12.14;71 %;2.56;70 %;8.35;72 %;0.47;60 %;–;–;1.8;89 %;7.3;6.64;12;0.95;0.19;0.19;95.12;80.42;85 %;60 %;0.19;–;–;–;0.18;–;0;1.21;0.7;0.5;0.13;0.14;51.4;–;–;9.39;3.13;0.66;4.93;0.38;10.43;8.63;1.8;5.97;0.28;–;1.61
Данил Кленкин;Балтика;219;90;П ПЦ;0.29;0.29;0.29;0.29;100 %;1.73;0.86;2.59;0.29;0.29;–;–;0.29;1.44;0.58;0.2;32.2;75 %;1.73;67 %;1.44;60 %;8.34;59 %;2.88;90 %;0.29;100 %;6.9;58 %;8.63;67 %;6.61;1.15;0.86;2.88;0.58;0.86;12.08;40 %;4.89;41 %;7.19;40 %;2.59;11 %;2.59;78 %;0.29;0 %;1.44;40 %;4.6;7.48;9;1.15;0.86;1.44;59.52;42.56;72 %;40 %;–;0.86;–;0.4;0.14;0.71;1.41;1.96;0.85;1.11;0.03;0.04;24.15;1.15;0.86;4.89;2.59;0.29;4.3;5.75;4.89;2.1;2.88;0.29;2.1;–;0.58
Александр Коротков;Алания Владикавказ;219;90;ЗЛ;–;–;0;–;–;–;0.33;0.65;–;–;–;–;–;0.65;0.33;0.01;36;85 %;–;–;0.65;100 %;2.95;44 %;0.65;50 %;–;–;1.96;17 %;1.31;75 %;4.91;0.98;0.98;3.6;0.65;2.29;12.11;51 %;5.24;63 %;6.87;43 %;2.29;43 %;3.27;50 %;0.98;0 %;2.29;57 %;4.91;4.91;4;0.65;0.33;0.65;61.85;49.42;80 %;50 %;–;0.33;–;0.02;0.02;–;0;0.86;1.14;-0.28;0.04;0.11;30.76;–;0.65;1.31;0.33;–;0.33;0.98;6.22;3.27;2.95;0.98;1.64;–;1.31
Егор Тесленко;Рубин Казань;219;90;З ЛЦ;0.08;0.15;0.46;0.08;17 %;0.31;1.39;0.46;0.08;0.31;0.15;–;–;0.77;0.23;0.1;37.64;83 %;0.15;50 %;0.08;100 %;8.91;69 %;1.1;54 %;–;–;3.95;78 %;0.23;100 %;3.1;1.1;0.08;5.5;1.16;1.8;15.49;67 %;10.46;70 %;5.3;58 %;7.36;64 %;0.7;67 %;0.23;33 %;2.32;60 %;5.34;6.12;13;0.93;–;0.08;66.53;54.45;82 %;30 %;0.46;0.08;–;0.08;0.13;1.26;0.79;1.41;0.59;0.81;0.04;0.09;31.37;0.08;0.08;6.12;0.54;–;3.1;0.23;10.3;7.36;2.94;4.72;0.46;0.08;1.39
Джамалдин Ходжаниязов;ФК Акрон Тольятти;219;90;З ЛЦ;–;–;0.2;–;0 %;0.2;1.33;0.51;–;0.51;0.1;–;0.1;1.2;0.31;0.08;61.02;82 %;0.31;33 %;1.2;20 %;14.74;59 %;6.66;57 %;1.74;65 %;7.17;63 %;1.43;29 %;5.73;1.43;0.31;8.5;0.92;2.35;13.21;66 %;11.47;68 %;1.74;53 %;5.63;62 %;0.31;67 %;0.1;0 %;2.5;80 %;7.47;6.14;11;1.2;0.2;0.1;91.43;75.15;82 %;30 %;0.31;0.41;–;0.02;0.08;–;0;0.89;0.71;0.18;0.06;0.05;50.27;0.1;0.2;8.7;3.79;1.13;4.51;0.41;8.7;7.78;0.92;3.48;0.2;–;1.64
Кирилл Фольмер;Балтика;218;90;ЗП Л;0.15;–;0.6;0.15;25 %;0.3;0.9;0.75;0.3;0.45;0.15;–;–;0.9;0.3;0.08;47.86;69 %;0.9;33 %;4.36;28 %;10.84;54 %;1.35;67 %;0.3;50 %;7.37;65 %;8.28;51 %;9.48;1.51;1.2;2.71;1.5;3.61;13.85;48 %;7.22;58 %;6.62;36 %;2.41;50 %;3.16;29 %;1.66;9 %;4.21;68 %;5.57;7.7;11;1.5;1.5;0.6;80.07;56.14;70 %;33 %;0.15;0.3;0.15;0.17;0.08;0.5;2;1.1;0.68;0.42;–;–;32.96;0.3;1.2;5.87;0.9;0.15;4.82;4.21;6.62;4.21;2.41;1.2;0.9;0.15;2.86
Валерий Кичин;Енисей Красноярск;219;90;З ЛЦ;0.13;–;0.25;0.13;50 %;0.25;0.5;0.76;0.25;0.63;0.38;–;–;1.39;0.5;0.14;76.51;78 %;0.25;50 %;2.52;10 %;19.79;64 %;6.81;59 %;1.76;43 %;10.08;60 %;2.65;33 %;7.44;2.77;0.5;7.82;0.76;4.79;13.74;71 %;8.82;70 %;4.92;72 %;5.17;80 %;2.14;94 %;0.5;100 %;2.77;45 %;8.82;7.31;10;0.88;0.38;0.38;113.07;91.13;81 %;36 %;0.63;0.25;–;0.01;0.1;1.9;0.92;1.27;1.14;0.13;0.05;0.08;60;0.13;0.25;12.73;4.3;0.76;6.5;0.88;9.71;6.18;3.53;4.16;2.2;0.5;1.26
Алексей Рыбин;Кубань Краснодар;218;90;З П;0.15;–;0.15;0.15;100 %;0.29;0.59;0.73;0.15;1.32;0.15;–;–;0.44;0.15;0.04;40.39;88 %;0.15;100 %;0.15;100 %;6.29;77 %;2.2;80 %;0.15;100 %;4.68;84 %;2.78;63 %;2.2;0.73;0.59;5.56;1.17;1.2;12.73;64 %;9.37;66 %;3.37;61 %;1.2;43 %;2.5;71 %;0.29;50 %;5.27;67 %;3.95;4.24;8;0.88;0.15;0.29;63.37;53.12;84 %;33 %;0.29;–;–;0.06;0.08;0.25;4;0.5;1.22;-0.71;0.22;0.12;35.56;0.15;0.15;4.83;1.76;0.15;3.95;1.76;8.2;6.15;2.5;0.44;1.46;0.15;3.51
