Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Ражаб Магомедов;Динамо Махачкала;200;90;АП ЛЦ;0.23;–;1.16;0.23;20 %;0.23;0.93;0.7;–;0.12;0.12;–;1.16;1.97;0.7;0.29;29.73;77 %;0.58;40 %;1.5;22 %;4.76;59 %;0.35;67 %;–;–;2.55;45 %;2.21;53 %;10.92;0.58;1.39;1.74;0.7;2.67;21.95;31 %;4.3;30 %;17.65;32 %;7.32;29 %;4.3;38 %;2.44;33 %;1.51;46 %;2.67;3.25;13;0.93;0.93;0.58;63.64;38.9;61 %;35 %;0.58;0.7;–;0.18;0.15;1.26;0.79;1.11;0.44;0.68;–;–;22.76;0.23;0.23;2.79;0.23;–;1.16;1.16;6.85;1.28;5.57;2.9;1.63;0.81;0.7
Дмитрий Иванов;Краснодар-2;200;90;З ЛЦ;–;–;0.46;–;0 %;0.28;1.65;0.46;0.28;0.73;0.37;0.09;–;0.64;0.37;0.14;47.94;85 %;0.18;0 %;–;–;9;57 %;2.76;53 %;0.64;57 %;3.77;39 %;0.55;17 %;4.22;1.1;0.28;8.27;0.83;1.19;15.34;60 %;11.66;65 %;3.67;45 %;7.81;61 %;0.46;40 %;0.09;0 %;1.29;57 %;7.53;6.7;12;0.92;–;0.18;79.44;65.76;83 %;57 %;0.09;0.18;–;0;0.21;–;0;1.34;1.19;0.15;0.18;0.13;40.87;–;–;5.14;1.47;0.37;1.47;0.09;9.28;7.62;1.65;4.78;0.18;–;0.73
Виталий Лисакович;Рубин Казань;200;90;Ф ПЦ;0.27;–;1.89;0.27;14 %;0.95;1.76;0.81;–;–;0.14;–;–;3.51;1.8;0.61;19.59;70 %;0.95;71 %;0.68;40 %;4.32;66 %;0.54;75 %;0.27;50 %;2.7;55 %;2.7;40 %;10.54;1.8;2.3;0.68;0.41;2.57;17.97;38 %;3.24;33 %;14.73;39 %;3.38;48 %;5.41;50 %;3.38;52 %;1.49;36 %;1.62;3.51;12;0.81;0.68;0.81;50.95;29.19;57 %;31 %;1.49;0.81;0.14;0.15;0.17;2.27;0.44;1.53;0.57;0.96;–;–;13.65;0.68;0.27;2.84;0.41;0.14;1.49;1.8;6.89;1.8;5.81;1.62;2.7;1.76;0.54
Алексей Евсеев;Уфа;200;90;П ПЦ;0.42;–;1.11;0.42;38 %;1.11;0.28;1.11;0.28;0.7;0.14;–;–;2.79;1.25;0.55;46.95;80 %;0.7;60 %;0.56;25 %;10.45;81 %;3.7;68 %;0.56;75 %;5.99;86 %;8.64;45 %;5.43;0.42;0.56;2.65;0.98;0.7;9.33;52 %;4.74;47 %;4.6;58 %;2.37;47 %;1.95;71 %;0.84;83 %;1.81;62 %;2.79;8.78;12;0.84;0.7;0.84;71.89;55.87;78 %;45 %;0.98;0.56;–;0.23;0.2;1.31;0.76;2.17;1.1;1.7;0.01;0.02;37.48;0.42;0.14;8.5;2.9;0.42;5.15;3.9;4.88;2.23;2.65;1.11;1.39;0.7;1.11
Владимир Москвичёв;Нефтехимик Нижнекамск;200;90;ЗП Ц;–;0.07;0;–;–;0.15;1.33;0.67;0.07;0.22;0.15;–;–;0.37;0.22;0.01;35.7;84 %;0.22;33 %;0.52;29 %;6.67;62 %;1.48;30 %;0.07;0 %;4.3;62 %;1.33;56 %;3.11;0.67;0.37;6.52;1.56;0.89;18.22;59 %;13.11;54 %;5.11;70 %;4.3;60 %;1.26;59 %;0.59;63 %;5.48;51 %;7.48;6.96;14;0.96;0.07;0.07;70;56.07;80 %;60 %;0.15;–;–;0.06;0.02;–;0;1.33;1.26;0.08;0.1;0.06;29.85;0.07;0.15;4.15;0.44;–;2.67;0.74;10.67;7.11;3.56;2.59;0.74;0.37;2.81
Алексей Померко;Арсенал Тула;200;90;ЗП Ц;–;0.14;0.27;–;0 %;0.14;1.5;0.82;0.41;0.55;0.41;–;–;0.82;0.27;0.1;62.78;89 %;0.14;0 %;0.27;50 %;11.76;80 %;1.5;73 %;0.27;50 %;5.88;79 %;0.68;40 %;3.97;1.64;0.68;6.98;0.96;1.78;13.13;67 %;8.34;62 %;4.79;74 %;3.69;74 %;0.68;40 %;0.14;100 %;3.42;60 %;6.98;9.57;9;1.9;0.41;0.14;95.61;83.16;87 %;33 %;0.41;0.14;–;0.08;0.12;–;0;1.47;0.88;0.59;0.04;0.04;55.94;–;0.14;9.44;1.9;0.14;4.65;0.27;8.75;5.2;3.56;2.74;0.27;0.14;2.5
Рустам Халназаров;Краснодар-2;199;90;АП Л;0.23;0.46;0.92;0.23;25 %;0.69;1.84;1.15;–;0.23;0.23;–;0.23;1.61;0.46;0.15;20.03;69 %;0.69;67 %;1.84;0 %;1.84;50 %;0.46;0 %;–;–;1.15;80 %;1.84;25 %;6.45;0.92;1.38;1.84;0.46;1.84;17.49;36 %;6.91;40 %;10.59;33 %;3.22;43 %;4.14;44 %;1.38;67 %;3.68;44 %;3.22;5.52;9;0.69;0.69;1.38;51.1;31.07;61 %;29 %;0.46;0.46;0.23;0.19;0.09;0.66;1.52;1.31;1.36;-0.05;0.01;0.05;13.81;0.46;–;0.92;–;–;0.92;0.46;6.21;2.76;3.45;1.38;1.84;0.92;1.61
Алан Хугаев;Уфа;199;90;ЗП ЛЦ;–;0.15;0.15;–;0 %;0.59;2.6;1.32;0.15;0.15;0.44;–;–;1.32;0.29;0.05;38.32;78 %;0.29;50 %;0.44;33 %;9.84;63 %;1.91;38 %;0.59;0 %;5.73;54 %;2.35;56 %;4.85;1.62;0.44;3.82;1.17;1.32;13.51;55 %;9.25;49 %;4.26;69 %;2.5;59 %;1.76;83 %;0.73;80 %;5.43;43 %;5.43;9.69;9;0.73;–;0.59;70.03;54.18;77 %;22 %;0.59;0.44;–;0.07;0.04;–;0;1.35;1.3;0.32;0.02;0.03;29.95;0.15;0.15;6.17;0.73;–;3.8;1.32;7.49;4.55;2.94;1.47;1.47;0.59;2.35
Данил Степанов;Арсенал Тула;199;90;ЗЛ;–;–;0;–;–;0.46;0.77;1.69;0.31;0.61;0.15;0.15;–;0.61;–;0.02;48.76;84 %;0.61;75 %;2.3;20 %;9.35;74 %;1.7;71 %;–;–;5.37;80 %;3.99;50 %;5.98;1.53;0.77;4.45;0.92;1.84;16.56;44 %;9.66;51 %;6.9;36 %;3.7;45 %;4.14;41 %;1.99;23 %;4.75;55 %;3.68;4.14;9;1.7;0.31;0.31;76.35;58.11;76 %;0 %;0.15;0.46;–;0.15;0.04;–;0;1.26;1.17;0.09;0.08;0.18;41.09;0.46;0.46;6.9;0.77;–;4.29;1.99;7.36;4.91;2.45;1.38;1.69;0.46;2.61
Алан Дзагоев;Рубин Казань;199;90;П ЛЦ;0.35;–;1.5;0.35;33 %;0.35;2.9;0.35;–;–;–;–;0.7;1.4;1.5;0.24;57.91;78 %;1.4;25 %;1.5;0 %;11.16;53 %;1.5;67 %;–;–;5.93;59 %;3.84;55 %;9.7;0.7;1.4;2.9;1.5;1.5;13.6;31 %;6.28;22 %;7.33;38 %;3.84;36 %;1.74;60 %;–;–;4.53;31 %;3.14;6.98;8;1.4;1.4;1.4;85.47;61.74;72 %;75 %;–;0.35;–;0.17;0.17;0.69;1.45;1.37;0.45;0.92;–;–;45.35;0.35;–;5.93;0.7;–;3.49;2.9;4.19;1.4;2.79;1.4;1.5;–;1.4
Александр Гаглоев;КамАЗ Набережные Челны;199;90;АП Л;0.09;0.27;0.64;0.18;29 %;1.9;0.91;2.55;0.18;0.18;0.55;0.09;0.82;0.64;0.18;0.09;27.97;57 %;1.37;47 %;4.92;20 %;3.19;54 %;1.91;67 %;0.18;100 %;2.1;43 %;8.47;44 %;12.12;1.73;1.55;1.18;0.36;2.64;17.13;37 %;3.64;48 %;13.48;34 %;1.55;41 %;4.92;50 %;3.55;51 %;1.64;61 %;2.1;3.55;12;1;0.55;0.09;55.48;30.61;55 %;29 %;0.18;0.18;0.09;0.45;0.14;0.97;1.3;0.96;1.18;-0.21;0.01;0.04;15.94;0.64;1;1.73;1.28;0.18;0.91;3.73;6.29;1.73;4.55;0.64;2.46;1.82;1
Дмитрий Кучугура;Краснодар-2;200;90;П ЛЦ;0.41;0.41;0.62;0.41;67 %;1.66;0.62;1.4;–;0.21;0.21;–;–;1.4;0.62;0.17;39.19;70 %;2.49;67 %;0.21;100 %;9.12;48 %;4.15;55 %;0.83;25 %;5.81;54 %;6.84;58 %;7.88;1.24;0.62;2.9;1.45;1.45;13.27;27 %;6.84;24 %;6.43;29 %;1.66;63 %;1.87;33 %;0.62;67 %;2.9;14 %;2.49;6.22;5;1.4;0.41;–;64.29;41.89;65 %;60 %;0.21;0.21;–;0.54;0.16;0.4;2.5;2.1;0.83;1.19;0.02;0.05;27.58;1.66;0.21;4.35;2.28;0.21;3.11;3.94;3.53;1.66;1.87;1.4;0.62;0.41;0.41
