Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Аслан Муталиев;Кубань Краснодар;–;90;П ПЦ;–;–;–;–;–;–;3.33;3.33;–;–;–;–;–;1.67;–;0.15;30;72 %;–;–;1.67;0 %;3.33;100 %;1.67;0 %;–;–;–;–;3.33;50 %;3.33;–;1.67;1.67;1.67;3.33;23.33;29 %;10;50 %;13.33;13 %;–;–;1.67;100 %;1.67;100 %;5;67 %;1.67;3.33;2;–;–;3.33;66.67;38.33;58 %;0 %;–;1.67;–;–;0.09;–;0;1.68;2.3;-0.35;0.02;0.01;21.67;–;–;3.33;–;–;–;1.67;6.67;5;1.67;–;1.67;1.67;3.33
Матвей Першин;Нефтехимик Нижнекамск;–;90;П ПЦ;–;–;–;–;–;–;4.29;–;–;–;–;–;–;–;–;–;17.14;50 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;17.14;4.29;–;8.57;–;8.57;38.57;33 %;8.57;50 %;30;29 %;–;–;4.29;100 %;–;–;8.57;50 %;–;8.57;1;–;–;4.29;72.86;38.57;53 %;–;–;–;–;–;–;–;–;0.13;0.43;-0.3;–;–;8.57;–;–;–;–;–;–;–;12.86;4.29;8.57;–;4.29;–;4.29
Илья Петров;СКА-Хабаровск;–;90;П ПЦ;–;1.3;–;–;–;2.7;–;0.52;–;0.52;–;–;–;1.55;0.52;0.03;50.17;89 %;1.3;50 %;0.52;100 %;10.86;76 %;3.1;67 %;0.52;100 %;6.72;69 %;5.69;45 %;2.59;0.52;1.55;2.59;1.55;1.55;8.79;53 %;3.62;0 %;5.17;90 %;0.52;0 %;2.7;100 %;0.52;100 %;2.59;0 %;2.7;8.28;2;1.3;1.3;–;73.97;61.55;83 %;33 %;0.52;0.52;–;0.63;0.02;–;0;0.83;1.25;-0.42;–;–;44.48;0.52;0.52;8.28;2.7;0.52;4.66;2.59;4.66;–;4.66;–;2.7;0.52;–
Шамиль Саадуев;Черноморец;–;90;П ПЦ;–;–;0.97;–;0 %;0.97;0.97;2.9;–;–;0.97;–;–;1.94;1.94;0.2;21.29;77 %;1.94;0 %;–;–;4.84;40 %;–;–;–;–;2.9;67 %;4.84;60 %;9.68;0.97;1.94;1.94;0.97;4.84;26.13;63 %;9.68;70 %;16.45;59 %;1.94;0 %;11.61;75 %;2.9;100 %;7.74;88 %;1.94;5.81;2;0.97;0.97;0.97;63.87;47.42;74 %;100 %;–;–;–;–;0.1;–;0;0.46;1.52;-1.05;–;–;16.45;–;–;1.94;–;–;1.94;2.9;16.45;6.77;9.68;–;8.71;2.9;6.77
Андрей Савинов;СКА-Хабаровск;–;90;П ПЦ;–;–;–;–;–;–;–;5.45;–;–;–;–;–;5.45;2.73;0.16;30;64 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;8.18;2.73;–;–;–;–;16.36;100 %;8.18;100 %;8.18;100 %;5.45;100 %;2.73;100 %;–;–;5.45;100 %;2.73;8.18;2;–;–;5.45;62.73;49.09;78 %;50 %;2.73;–;–;–;0.03;–;0;1.66;0.76;0.9;0.22;0.08;19.09;–;–;–;–;–;–;–;16.36;8.18;8.18;5.45;2.73;–;5.45
Игорь Соколов;Шинник;–;90;П ПЦ;–;–;–;–;–;0.48;–;1.94;–;–;–;–;–;0.97;0.48;0.02;31.45;74 %;0.48;0 %;3.39;0 %;4.35;78 %;0.97;50 %;0.48;0 %;0.97;50 %;2.9;17 %;6.77;1.45;1.94;1.94;–;2.42;11.61;46 %;5.32;45 %;6.29;46 %;2.42;20 %;0.97;100 %;–;–;3.87;50 %;2.9;5.81;2;0.97;0.48;–;58.06;41.13;71 %;50 %;–;0.48;–;0.14;0.02;–;0;1.49;1.13;0.36;–;–;23.23;–;–;3.39;0.48;–;0.48;0.48;5.32;2.42;2.9;0.48;0.97;–;1.94
Дамир Таликин;КамАЗ Набережные Челны;–;90;П ПЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;2.81;–;0.16;43.12;76 %;0.94;0 %;0.94;0 %;11.25;58 %;2.81;67 %;1.88;50 %;4.69;80 %;1.88;0 %;8.44;0.94;1.88;2.81;0.94;1.88;7.5;38 %;3.75;25 %;3.75;50 %;2.81;33 %;–;–;–;–;0.94;100 %;3.75;4.69;1;0.94;–;–;65.62;45.94;70 %;0 %;0.94;1.88;–;–;0.06;–;0;0.45;1.35;-0.9;0.02;0.02;32.81;–;–;6.56;1.88;0.94;3.75;–;2.81;0.94;1.88;0.94;–;–;0.94
Заур Тарба;Алания Владикавказ;–;90;П ПЦ;–;–;–;–;–;–;0.64;0.64;–;0.64;–;–;–;0.64;–;0.05;41.14;70 %;0.64;0 %;–;–;11.57;50 %;1.93;67 %;0.64;0 %;6.43;30 %;7.7;45 %;6.43;0.64;–;1.93;0.64;1.29;10.29;50 %;6.43;60 %;3.86;33 %;1.93;67 %;2.57;50 %;1.93;33 %;2.57;50 %;0.64;3.86;2;1.29;1.29;–;57.86;39.86;69 %;0 %;0.64;–;–;0.28;0.08;–;0;1.21;0.44;0.77;–;–;28.93;–;–;5.79;1.29;–;1.93;3.21;5.14;3.86;1.29;1.29;1.29;0.64;1.29
Абдуллахи Самину Квари;Динамо Махачкала;–;90;АП Ц;–;–;–;–;–;–;–;3.33;–;–;–;–;–;3.33;–;0.07;90;78 %;–;–;–;–;16.67;40 %;3.33;100 %;–;–;13.33;50 %;–;–;10;3.33;–;3.33;–;–;20;67 %;10;67 %;10;67 %;6.67;50 %;3.33;100 %;3.33;100 %;3.33;100 %;–;–;2;–;–;6.67;113.33;83.33;74 %;0 %;3.33;–;–;0.07;0.02;–;0;0.07;–;0.07;–;–;70;–;–;6.67;3.33;–;6.67;–;13.33;6.67;6.67;3.33;3.33;3.33;3.33
Владлен Бабаев;Сокол Саратов;–;90;АП Ц;0.47;–;0.47;0.47;100 %;–;1.41;1.88;–;0.47;–;–;–;1.41;1.41;0.23;39.58;85 %;0.47;0 %;0.94;50 %;8.1;76 %;–;–;–;–;5.65;75 %;3.77;38 %;5.65;1.88;0.94;2.83;1.41;2.36;14.61;42 %;4.24;22 %;10.37;50 %;1.88;50 %;3.77;75 %;1.88;75 %;1.88;25 %;3.77;4.71;2;0.94;–;–;67.85;52.3;77 %;100 %;–;–;–;0.31;0.16;0.48;2.8;1.31;1.86;-0.56;–;–;33.46;–;0.47;6.13;–;–;4.24;1.41;6.13;0.94;5.18;0.94;2.83;1.41;0.47
