№;Игрок;Позиция;Команда;МИН;Г;ГП;КП;КП+;КП%;УД;УД+;УД%;xG;Ф;ФП;ОФ;ЖК;КК;ТТД;ТТД+;ТТД%;ТШ;ГМ;ГМ+;ГМ%;ПОТ;ПТС;ВОЗ;ВЗС;НОМ;ПАС;ПАС+;ПАС%;ПСВ;ПСВ+;ПСВ%;ПCН;ПCН+;ПCН%;ДПС;ДПС+;ДПС%;КСП;КСП+;КСП%;ПФТ;ПФТ+;ПФТ%;ПСШ;ПСШ+;ПСШ%;НАВ;НАВ+;НАВ%;ППУ;ППУ+;ППУ%;ППС;ППШ;ЕД;ЕД+;ЕД%;ЕДВ;ЕДВ+;ЕДВ%;ЕДО;ЕДО+;ЕДО%;ЕДА;ЕДА+;ЕДА%;ОБВ;ОБВ+;ОБВ%;ОТБ;ОТБ+;ОТБ%;ПХ;ШТУ;ПШУ;ПШУ+;ПШУ%;УГЛ;АУТ;АУТ+;АУТ%
7;Абакар Гаджиев;ПАП;Динамо Махачкала;441;0;0.2;1.2;1.2;100 %;2.2;0.8;36 %;0.11;2.2;2;0.4;0.2;0;63.7;37.3;59 %;3.1;0.6;0;0 %;13.9;3.3;13.3;6.7;0.4;28.4;17.6;62 %;12.9;6.1;48 %;5.3;4.9;92 %;2.4;1;42 %;25.9;16.5;64 %;8.2;4.5;55 %;5.1;2.7;52 %;1.4;0;0 %;0.2;0.2;100 %;28.6;1.2;22.4;8.8;39 %;5.3;1.6;31 %;5.5;3.3;59 %;16.9;5.5;33 %;5.5;2.9;52 %;3.3;1.6;50 %;1.6;1;0.2;0;0 %;2.4;1;0.8;80 %
70;Абу-Сад Элударушев;ЦФД;Акрон;727;0.4;0.1;0;0;0 %;2.7;1.6;59 %;0.36;1.5;1.9;0.6;0.2;0;40.9;21.4;52 %;8.2;2.4;0.4;16 %;5.7;1;9;4.7;0.9;14;9.8;70 %;4.6;2;43 %;3.6;3.1;86 %;0;0;0 %;14;9.8;70 %;3.8;2.7;71 %;1.2;0.4;30 %;0.6;0.2;40 %;0.4;0.4;100 %;25.6;4.8;20.3;6.2;30 %;9.5;2.6;27 %;6.2;3.2;52 %;14.1;3;21 %;0.9;0.2;29 %;1.2;0.7;60 %;0.5;0;0;0;0 %;0;0.1;0.1;100 %
7;Азамат Гурфов;ПОП;Кубань Краснодар;22;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;57.3;53.2;93 %;0;0;0;0 %;4.1;0;20.5;4.1;0;28.6;24.5;86 %;20.5;16.4;80 %;0;0;0 %;0;0;0 %;28.6;24.5;86 %;4.1;4.1;100 %;4.1;0;0 %;4.1;0;0 %;0;0;0 %;20.5;0;8.2;8.2;100 %;0;0;0 %;8.2;8.2;100 %;0;0;0 %;4.1;4.1;100 %;4.1;4.1;100 %;12.3;0;0;0;0 %;0;0;0;0 %
13;Азамат Засеев;ПЗ;Алания;264;0;0;0;0;0 %;1;0.7;67 %;0.14;1.7;0.7;0;0.3;0;65.1;50.1;77 %;1.7;0.3;0;0 %;7.5;3.1;21.1;5.5;0.3;33.4;26.6;80 %;20.8;14.7;70 %;4.1;4.1;100 %;1.7;1.4;80 %;31.7;25.2;80 %;8.5;6.1;72 %;2.4;1;43 %;0.7;0;0 %;0.3;0.3;100 %;19.8;0.7;13;5.8;45 %;2.7;1;38 %;8.5;3.8;44 %;4.4;2;46 %;0.3;0;0 %;4.4;2.4;54 %;6.5;1;0;0;0 %;0;0.7;0.7;100 %
28;Азат Байрыев;ЛЦЗ;Кубань Краснодар;883;0.1;0;0.2;0.2;100 %;0.5;0.2;40 %;0.05;0.7;0.5;0;0.3;0;58;48.8;84 %;1.7;0.2;0.1;50 %;6.9;4.9;17.1;2.2;0.1;36.6;29.8;81 %;22.9;16.9;74 %;2.3;2.3;100 %;3;1.3;45 %;33.6;28.4;85 %;3.1;2.1;70 %;1.2;0.4;33 %;0.3;0;0 %;0.2;0.1;50 %;25.6;1.2;7.3;5.6;76 %;3.3;2.3;72 %;5.5;4.4;80 %;1.8;1.2;67 %;0.4;0.4;100 %;1.1;0.8;73 %;6.7;1.2;0;0;0 %;0;0.1;0.1;100 %
44;Азнаур Герюгов;ЦАП;Волга Ульяновск;126;0;0;0;0;0 %;0.7;0;0 %;0.01;0.7;0;0.7;0.7;0;62.1;45;72 %;2.1;0;0;0 %;7.9;0;10.7;7.1;1.4;34.3;30;88 %;16.4;13.6;83 %;6.4;6.4;100 %;0.7;0.7;100 %;33.6;29.3;87 %;9.3;8.6;92 %;0.7;0.7;100 %;0;0;0 %;1.4;1.4;100 %;31.4;0.7;15.7;4.3;27 %;2.1;0.7;33 %;4.3;2.9;67 %;11.4;1.4;13 %;4.3;2.1;50 %;1.4;0.7;50 %;2.9;0.7;0;0;0 %;0;0;0;0 %
30;Айдар Хабибуллин;ЛЦЗ;Волга Ульяновск;330;0;0;0;0;0 %;0;0;0 %;0.00;1.6;0.5;0;0;0;63.3;48.8;77 %;1.1;0;0;0 %;6.8;5.7;21.5;3;0;32.2;25.4;79 %;22.9;16.4;71 %;1.9;1.9;100 %;2.5;0.8;33 %;29.7;24.5;83 %;1.6;1.4;83 %;0.3;0;0 %;0;0;0 %;0.3;0;0 %;19.1;1.1;14.7;8.5;57 %;7.9;4.6;59 %;10.4;6.8;66 %;4.4;1.6;38 %;0;0;0 %;1.9;1.6;86 %;7.9;0.5;0;0;0 %;0;0.5;0.5;100 %
5;Алан Багаев;ЛЦЗ;Алания;927;0;0;0;0;0 %;1.2;0.3;25 %;0.14;1.2;1.3;0;0.3;0;88.1;70.3;80 %;2.7;0.7;0;0 %;11.2;8.2;28.7;4.7;0.6;47.5;37.4;79 %;30.6;20.8;68 %;4.2;4.2;100 %;3.9;2.1;55 %;43.6;35.2;81 %;3.3;2.1;65 %;1.6;0.7;44 %;0.5;0;0 %;0.1;0.1;100 %;29.7;1.5;18.7;12.8;68 %;9.1;6.6;72 %;13.5;10;74 %;5.2;2.8;54 %;1.2;0.7;58 %;2.8;1.6;55 %;8.7;1.5;0;0;0 %;0;0.2;0.1;50 %
6;Алан Дзагоев;ЛЦП;Рубин Казань;263;0.3;0;0.3;0.3;100 %;1.7;1;60 %;0.36;1.7;0.3;0.7;0;0;79.4;58.5;74 %;5.1;0.7;0.3;50 %;13.3;4.8;10.6;5.8;0.7;56.8;44.8;79 %;28.7;18.1;63 %;11.3;11.3;100 %;1;0;0 %;55.8;44.8;80 %;19.8;16.4;83 %;3.8;2.1;55 %;1;0.3;33 %;2.1;1.7;83 %;52.4;3.4;13;4.8;37 %;3.8;1.7;45 %;4.1;1.7;42 %;8.9;3.1;35 %;1.7;1;60 %;3.4;0.7;20 %;1.7;0.7;0;0;0 %;1;0;0;0 %
77;Алан Хабалов;ПФЗ;Алания;508;0;0;0.7;0.7;100 %;0.9;0.2;20 %;0.05;1.8;0.7;0;0.2;0;73;54.6;75 %;2.3;0;0;0 %;13.1;3.4;16.3;8;0.9;43.8;32.4;74 %;20.7;12.8;62 %;9.4;9.2;98 %;2.5;1.8;71 %;41.3;30.6;74 %;19.8;14.2;71 %;5.7;2.7;47 %;3.7;0.4;10 %;0.9;0.9;100 %;27.8;0.9;14.2;8.7;61 %;1.9;1.2;64 %;6;3.9;65 %;8.1;4.8;59 %;3.2;2.3;72 %;3.5;1.9;55 %;4.3;0.7;0;0;0 %;1.2;6.9;6.9;100 %
6;Алан Хугаев;ЦОП;Уфа;644;0;0.1;0.3;0.3;100 %;1.4;0.3;20 %;0.03;1.8;1.3;0;0.4;0;73;57.3;79 %;0.7;0;0;0 %;9.6;5.2;22.4;9.6;0.4;40.4;31.4;78 %;21.8;14.4;66 %;5.9;5.3;90 %;2.5;1.1;44 %;37.9;30.3;80 %;10.3;8.1;78 %;2.7;1.7;63 %;0.4;0.1;33 %;0.8;0.8;100 %;25;0;13.6;8.2;61 %;1.8;0.8;46 %;8.4;5.2;62 %;5.2;3.1;59 %;2;1.7;86 %;5.5;2.8;51 %;5.6;1;0;0;0 %;0.8;0.4;0.3;67 %
22;Алан Цараев;ЛЦП;Алания;813;0.1;0.1;0.3;0.3;100 %;1.3;0.7;50 %;0.14;1.3;1.8;0;0;0;62.5;45.3;72 %;2.7;0.3;0.1;33 %;10.4;3.1;15.8;8.4;1.2;32.1;24.9;78 %;15.7;9.7;62 %;5.8;5.6;98 %;1;0.1;11 %;31.1;24.8;80 %;10.6;7.9;74 %;2.7;1.1;42 %;1.2;0.2;18 %;0.6;0.6;100 %;27.9;0.7;14.2;6;42 %;1.8;0.8;44 %;5.6;2.3;41 %;8.5;3.7;43 %;3.9;1.9;49 %;2.7;0.9;33 %;5;0.2;0;0;0 %;0.3;0.1;0.1;100 %
11;Алан Чочиев;ЛОП;Алания;388;0;0.2;0.2;0.2;100 %;0.7;0;0 %;0.04;1.2;1.6;0;0.2;0;82.8;63.3;76 %;3.5;0.2;0;0 %;12.3;3.9;20.6;11.4;1.6;47.8;37.8;79 %;21.1;13.9;66 %;9.7;9.5;98 %;2.1;1.4;67 %;45.7;36.4;80 %;13.2;9.7;74 %;3.2;1.9;57 %;1.6;0.7;43 %;1.9;1.9;100 %;38.7;0.9;18.3;10.9;59 %;3.9;2.6;65 %;7.7;5.3;70 %;10.7;5.6;52 %;1.6;0.9;57 %;6.3;4.9;78 %;3.7;0.5;0;0;0 %;0;0.2;0.2;100 %
19;Алекс Мацукатов;ЛЦП;Акрон;404;0;0;0;0;0 %;0.2;0;0 %;0.01;1.8;2.2;0;0.4;0;58.8;47.2;80 %;0.4;0;0;0 %;5.6;1.8;13.4;4.7;1.1;34.5;30.7;89 %;11.8;9.4;79 %;8;7.8;97 %;0.7;0.4;67 %;33.9;30.3;89 %;10.9;9.1;84 %;2.5;1.6;64 %;0.2;0;0 %;0.4;0.4;100 %;29.2;0;13.8;7.4;53 %;3.6;1.8;50 %;7.8;4.7;60 %;6;2.7;44 %;1.8;1.1;63 %;3.3;2.2;67 %;2.9;0.4;0;0;0 %;1.3;0.2;0.2;100 %
40;Александр Безчаснюк;ПЗ;Велес Москва;1185;0;0.2;0.3;0.3;100 %;0.8;0.2;30 %;0.03;1;0.7;0;0.1;0;75;56.7;76 %;0.7;0;0;0 %;12.5;6;15.6;4.3;0.5;48.7;37.2;76 %;27.4;18.8;68 %;10.5;10.3;98 %;2.6;1.2;47 %;46.1;36;78 %;15;11.2;75 %;4.8;2.4;51 %;3.2;0.7;21 %;0.9;0.8;92 %;32.7;0.5;12.7;7.6;60 %;3.9;2.4;61 %;8;4.9;61 %;4.7;2.7;58 %;1.7;1.1;68 %;2.2;1.4;62 %;5.5;0.2;0;0;0 %;0;8.4;8;95 %
13;Александр Бутенко;ПФЗ;Волгарь Астрахань;21;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;68.6;47.1;69 %;4.3;0;0;0 %;8.6;4.3;4.3;0;0;30;25.7;86 %;17.1;12.9;75 %;0;0;0 %;0;0;0 %;30;25.7;86 %;17.1;17.1;100 %;0;0;0 %;0;0;0 %;0;0;0 %;30;4.3;25.7;8.6;33 %;4.3;0;0 %;4.3;4.3;100 %;21.4;4.3;20 %;8.6;4.3;50 %;4.3;4.3;100 %;4.3;0;0;0;0 %;0;12.9;8.6;67 %
11;Александр Гаглоев;ЛВ;КамАЗ;997;0.1;0.3;0.5;0.5;100 %;0.6;0.1;14 %;0.08;1.1;2.5;0.7;0.5;0.1;52.1;27.7;53 %;5.3;0.3;0.1;33 %;15.6;2.5;8;4.4;1.7;27.1;15.3;57 %;10.7;5.2;49 %;3.9;3.4;88 %;2.3;1.2;52 %;24.8;14.2;57 %;12;5.7;47 %;8;3.2;40 %;4;0.7;18 %;1.2;1.2;100 %;29.5;2.2;15.8;5.2;33 %;1.4;0.5;31 %;4.6;2;43 %;11.2;3.2;29 %;4.4;2.3;51 %;1.5;1;65 %;1.5;1.9;0.1;0;0 %;2.6;0.4;0.4;100 %
16;Александр Галимов;ПВ;Шинник;74;0;0;0;0;0 %;0;0;0 %;0.00;0;1.2;0;0;0;51.1;32.8;64 %;0;0;0;0 %;8.5;4.9;9.7;1.2;3.6;19.5;14.6;75 %;12.2;8.5;70 %;2.4;2.4;100 %;0;0;0 %;19.5;14.6;75 %;6.1;4.9;80 %;0;0;0 %;0;0;0 %;0;0;0 %;19.5;0;17;8.5;50 %;2.4;0;0 %;10.9;6.1;56 %;6.1;2.4;40 %;2.4;2.4;100 %;8.5;6.1;71 %;4.9;0;0;0;0 %;0;0;0;0 %
42;Александр Гребенщиков;ПЦП;Арсенал Тула;139;0;0;0;0;0 %;1.3;0;0 %;0.06;0.6;0.6;0;0;0;67.3;50.5;75 %;3.2;0;0;0 %;13.6;4.5;14.2;7.8;1.9;40.8;30.4;75 %;14.9;7.1;48 %;9.7;9.7;100 %;1.3;0;0 %;39.5;30.4;77 %;16.8;12.3;73 %;3.9;0.6;17 %;0;0;0 %;2.6;1.3;50 %;34.3;4.5;11;6.5;59 %;1.9;1.9;100 %;3.9;1.9;50 %;7.1;4.5;64 %;3.9;2.6;67 %;1.3;0.6;50 %;3.2;0;0;0;0 %;1.9;0;0;0 %
21;Александр Зотов;ПЦП;Рубин Казань;1314;0.1;0.3;0.5;0.5;100 %;1;0.3;33 %;0.08;0.8;1;0.1;0.1;0;57.5;42.8;74 %;2.5;0.1;0.1;50 %;8.2;2.9;11.7;6;0.5;37;29.5;80 %;18.1;12.5;69 %;7.2;6.9;96 %;1.6;0.7;43 %;35.4;28.8;81 %;12.4;9.3;75 %;3.2;1.3;41 %;1.3;0.3;21 %;1.2;1.1;94 %;32.9;1.4;9.9;4.2;43 %;2.5;1;42 %;4.3;2;46 %;5.6;2.3;40 %;0.5;0.3;71 %;2.7;1;38 %;3.2;0.3;0;0;0 %;0.1;0.5;0.4;75 %
45;Александр Иваньков;ЛЦЗ;СКА Хабаровск;1288;0.1;0;0;0;0 %;0.3;0.1;25 %;0.07;0.5;0.5;0.1;0;0;92.2;83.9;91 %;0.8;0.1;0.1;50 %;4.8;4.5;20.5;2.4;0.2;63.4;59;93 %;35.6;31.7;89 %;3.3;3.2;98 %;2;1.4;69 %;61.4;57.6;94 %;4.5;4.5;98 %;0.1;0.1;100 %;0;0;0 %;0.3;0.1;50 %;45.8;0.5;12.3;9.6;78 %;5.4;4.1;77 %;9.9;8.1;82 %;2.4;1.5;62 %;1.6;1.5;91 %;2;1.6;82 %;6.2;0.9;0;0;0 %;0;0.4;0.4;100 %
22;Александр Канаплин;ПВ;Енисей;562;0.3;0;0.3;0.3;100 %;1.1;0.5;43 %;0.22;1.3;1.1;0.2;0.5;0;52.8;35.1;66 %;5.1;0.8;0.3;40 %;8.5;3;8.8;5;1;26.3;20.8;79 %;11;7.5;68 %;5.9;5.6;95 %;1.3;0.8;63 %;25;20;80 %;8.6;7.5;87 %;1.4;1.4;100 %;1;0.5;50 %;0.8;0.6;80 %;31.7;1.6;20;9.3;46 %;3.4;1;29 %;6.7;2.9;43 %;13.3;6.4;48 %;5.9;3.8;65 %;1.4;0.6;44 %;1.9;0;0;0;0 %;0;0.2;0.2;100 %
15;Александр Кахидзе;ПЗ;Енисей;413;0;0;0;0;0 %;1.1;0.2;20 %;0.13;0.4;0.9;0;0;0;71.5;57.3;80 %;1.7;0.2;0;0 %;8.5;5;16.6;5.7;0.4;44.7;37.3;83 %;20.9;14.4;69 %;8.3;8.3;100 %;2.4;0.7;27 %;42.3;36.6;87 %;3.9;3.5;89 %;1.5;0.9;57 %;0.7;0.2;33 %;0.7;0.7;100 %;29.6;0.4;13.3;7.8;59 %;3.1;2.2;71 %;7.4;4.8;65 %;5.9;3.1;52 %;1.1;0.4;40 %;4.1;2.4;58 %;5.4;0.2;0;0;0 %;0;6.8;6.8;100 %
22;Александр Клещенко;ЛЦЗ;Родина Москва;99;0;0;0;0;0 %;0.9;0;0 %;0.15;0;2.7;0.9;0;0;75.5;59.1;78 %;1.8;0.9;0;0 %;9.1;8.2;18.2;1.8;0;48.2;40;83 %;24.5;16.4;67 %;4.5;4.5;100 %;4.5;1.8;40 %;43.6;38.2;88 %;5.5;4.5;83 %;0;0;0 %;0;0;0 %;0.9;0;0 %;38.2;3.6;19.1;10.9;57 %;7.3;2.7;38 %;15.5;10.9;71 %;3.6;0;0 %;0.9;0;0 %;1.8;0.9;50 %;5.5;4.5;0;0;0 %;0;0;0;0 %
96;Александр Кокшаров;ЦФД;Краснодар;141;0;0;0;0;0 %;3.2;1.3;40 %;0.36;1.9;5.1;0;0;0;75.3;42.8;57 %;6.4;1.9;0;0 %;12.8;3.2;23;14.7;0.6;24.9;16;64 %;12.8;6.4;50 %;3.8;3.8;100 %;0.6;0.6;100 %;24.3;15.3;63 %;11.5;7.7;67 %;1.9;0;0 %;0;0;0 %;0;0;0 %;45.3;3.2;36.4;14.7;40 %;19.1;8.3;43 %;7.7;3.8;50 %;28.7;10.9;38 %;3.2;0;0 %;2.6;1.9;75 %;5.7;0;0;0;0 %;0;0;0;0 %
31;Александр Коротков;ЛЗ;Алания;277;0;0;0;0;0 %;0.6;0.3;50 %;0.01;0.3;0.6;0;0;0;61.7;49.1;79 %;0.3;0;0;0 %;8.1;3.9;13.3;5.2;1.3;36.7;31.2;85 %;14.3;9.7;68 %;13;13;100 %;1;0.6;67 %;35.7;30.5;85 %;6.5;5.5;85 %;1.3;1;75 %;0.3;0;0 %;0.3;0.3;100 %;22.7;0.3;11.4;5.8;51 %;3.2;1.6;50 %;4.9;2.3;47 %;6.5;3.6;55 %;2.9;1.6;56 %;1.9;1;50 %;5.5;0.3;0;0;0 %;0;9.1;7.8;86 %
3;Александр Куликов;ЛЦЗ;КамАЗ;189;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;52.4;44.8;85 %;0.5;0;0;0 %;3.3;2.9;15.7;1;0;31;27.6;89 %;18.6;15.2;82 %;1;1;100 %;1.4;1;67 %;29.5;26.7;90 %;2.9;2.4;83 %;0;0;0 %;0;0;0 %;0;0;0 %;23.8;0.5;10.5;7.1;68 %;4.8;3.3;70 %;10;7.1;71 %;0.5;0;0 %;0;0;0 %;1.9;1;50 %;5.2;1;0;0;0 %;0;0;0;0 %
8;Александр Ломакин;ЦАП;Енисей;1165;0.2;0;0.2;0.2;100 %;2.2;1.1;48 %;0.34;0.7;0.9;0.2;0.2;0;62.7;42.6;68 %;3.2;1.5;0.2;10 %;11.1;3.4;10.2;4.9;0.8;38.5;29.2;76 %;17.2;11;64 %;9;8.4;94 %;2;1.2;62 %;36.5;28;77 %;14;10.6;76 %;6.6;2.7;41 %;0.5;0;0 %;1;0.9;92 %;35.4;1.2;13.3;4.2;31 %;2.8;0.8;31 %;6.1;1.8;29 %;7.2;2.4;33 %;1.6;0.7;43 %;2.1;0.5;26 %;1.9;2.2;0.3;0.2;50 %;2.4;0;0;0 %
9;Александр Ломовицкий;ПЦП;Рубин Казань;291;0;0;0;0;0 %;1.5;0;0 %;0.03;5.3;0.9;0.3;0.3;0;73;46.7;64 %;2.5;0.3;0;0 %;11.1;2.8;19.2;12.1;1.2;32.8;24.7;75 %;16.7;11.1;67 %;4.6;3.7;80 %;0.9;0.6;67 %;31.9;24.1;76 %;12.4;9;73 %;2.8;1.9;67 %;0.6;0.3;50 %;0.6;0.6;100 %;32.5;0.9;26.3;9.6;36 %;4.9;2.2;44 %;8.4;3.7;44 %;17.9;5.9;33 %;3.7;1.9;50 %;4.3;1.2;29 %;5.6;0;0;0;0 %;0;0.3;0.3;100 %
4;Александр Мартынович;ПЦЗ;Рубин Казань;1348;0;0;0.1;0.1;100 %;0.6;0.1;11 %;0.05;0.9;1.4;0.1;0.1;0;77.4;65.6;85 %;2;0.3;0;0 %;6.5;4.9;24.2;4;0.1;45.9;39.7;86 %;31.8;26.2;82 %;2;1.9;97 %;2.4;1.3;56 %;43.5;38.3;88 %;6;5.3;88 %;0.1;0.1;50 %;0;0;0 %;0.2;0;0 %;29.2;1.3;15.2;11.1;74 %;7.8;6.1;79 %;11.6;8.9;77 %;3.5;2.2;62 %;0.7;0.5;80 %;1.8;1.3;74 %;7.3;1.9;0;0;0 %;0;0.3;0.3;100 %
33;Александр Масловский;ЛЗ;Енисей;647;0;0;0;0;0 %;0.4;0;0 %;0.03;1.3;1.5;0;0.6;0;74.4;58;78 %;2.8;0;0;0 %;11;4.2;17.8;6.1;0.6;48.1;37.8;79 %;21.6;13.6;63 %;10.2;9.7;96 %;1.4;0;0 %;46.7;37.8;81 %;15.6;11.7;75 %;2.6;0.3;11 %;1.3;0;0 %;0.3;0.3;100 %;32.4;1.5;13.4;8.3;63 %;2.9;1.8;62 %;7.2;4.9;67 %;6.1;3.5;57 %;0.7;0.6;80 %;2.9;2.2;76 %;5;0.4;0;0;0 %;0;6.8;6.8;100 %
29;Александр Мухин;ЛЦЗ;Уфа;1106;0.1;0.1;0.2;0.2;100 %;0.4;0.2;40 %;0.03;1;1.1;0;0.2;0;65.5;52.5;80 %;0.8;0.1;0.1;100 %;8.4;5.9;18.2;3.7;0.5;38.4;30.8;80 %;25.4;18.3;72 %;4;3.9;98 %;3.9;2.1;54 %;34.5;28.7;83 %;5.5;4.7;87 %;1.5;0.9;58 %;0.5;0.1;17 %;0.1;0.1;100 %;22.8;0.8;11.8;7.7;66 %;3.7;2.3;62 %;9;6;67 %;2.8;1.7;60 %;0.7;0.3;50 %;2.9;2;67 %;6.7;0.9;0;0;0 %;0;5.1;4.6;89 %
31;Александр Носов;ПФЗ;Волгарь Астрахань;586;0.2;0;0.2;0.2;100 %;0.6;0.3;50 %;0.06;0.3;2.2;0;0;0;66.2;46.8;71 %;2;0.3;0.2;50 %;12.7;5.4;13.1;3.4;0.2;40.4;29.9;74 %;22.7;14.4;64 %;5.1;4.8;94 %;2.8;1.2;44 %;37.6;28.7;76 %;13.5;10;74 %;4.9;1.7;34 %;3.1;0.5;15 %;0.2;0.2;100 %;29.6;0.9;14.7;6.9;47 %;2.9;1.5;53 %;7.7;4.6;60 %;7.1;2.3;33 %;3.1;0.9;30 %;4.1;2.3;56 %;3.1;0;0;0;0 %;0.5;7.5;7.2;96 %
5;Александр Осипов;ПЦЗ;Балтика;1190;0.1;0.1;0.1;0.1;100 %;0.5;0.2;33 %;0.08;0.3;0.6;0;0.1;0;66.9;56.1;84 %;1.7;0.2;0.1;33 %;6.9;4.6;20.6;5.1;0.2;39.9;33.4;84 %;25.8;20;77 %;2.9;2.8;97 %;4.7;3.5;74 %;35.2;29.9;85 %;4.5;3.3;73 %;0.8;0.5;60 %;0.2;0;0 %;0.2;0.2;67 %;25.1;0.8;13.1;9.8;75 %;6.8;5.4;80 %;9.3;7.3;79 %;3.8;2.5;66 %;0.3;0.1;25 %;1.8;1.4;75 %;4.5;0.8;0;0;0 %;0;2.3;1.9;83 %
5;Александр Позняк;ЛЦЗ;Кубань Краснодар;396;0;0;0;0;0 %;0;0;0 %;0.00;1.4;0.2;0;0.2;0.2;38.2;31.1;82 %;0.5;0;0;0 %;3.4;3.2;14.8;0;0;18.6;15.2;82 %;13.9;10.5;75 %;1.1;1.1;100 %;2.7;1.8;67 %;15.9;13.4;84 %;0.7;0.5;67 %;0.2;0.2;100 %;0;0;0 %;0.2;0.2;100 %;10.9;0.5;11.6;9.1;78 %;5;4.3;86 %;11.4;9.1;80 %;0.2;0;0 %;0;0;0 %;3;2;69 %;4.1;1.4;0;0;0 %;0;0;0;0 %
23;Александр Пуцко;ЦЗ;Балтика;1339;0;0.2;0.1;0.1;100 %;0.3;0.1;20 %;0.03;0.5;0.4;0;0.1;0;64.5;54;84 %;1.9;0.2;0;0 %;6.4;5.6;20.7;3.1;0.2;38.3;32.2;84 %;24.2;18.7;77 %;1.8;1.7;96 %;3.2;1.9;60 %;35.1;30.2;86 %;2.6;2.3;89 %;0.3;0.2;75 %;0.1;0;0 %;0.1;0.1;100 %;22.6;1.2;11.1;7.9;71 %;7.8;5.6;72 %;8.3;6.5;77 %;2.8;1.4;51 %;0.4;0.3;83 %;0.7;0.3;40 %;5.4;1.6;0;0;0 %;0;0;0;0 %
27;Александр Сандрачук;ПФЗ;Уфа;465;0.2;0;0;0;0 %;1.4;0.4;29 %;0.16;0.4;1.2;0;0;0;60;44.7;75 %;3.7;0.4;0.2;50 %;7.9;1.9;12.6;5.4;1.9;34.1;28.8;85 %;15.3;11.8;77 %;7.4;7.4;100 %;0.8;0.6;75 %;33.3;28.3;85 %;7.5;6.4;85 %;3.9;1.9;50 %;2.9;1.2;40 %;1.9;1.9;100 %;28.1;1.7;12;5;42 %;2.7;0.6;21 %;6.2;2.9;47 %;5.8;2.1;37 %;1;0.2;20 %;4.6;2.9;63 %;4.8;0;0;0;0 %;0;3.9;3.9;100 %
96;Александр Смирнов;ЛЗ;Кубань Краснодар;780;0;0;0.2;0.2;100 %;0.3;0;0 %;0.01;0.9;0.6;0;0;0;67.4;50.7;75 %;0.7;0.1;0;0 %;10.8;6.1;17.1;4.2;0.1;40.3;30.1;75 %;24.7;16.2;65 %;7;6.9;98 %;0.9;0.3;38 %;39.3;29.8;76 %;14.1;11.3;80 %;3.7;1.5;41 %;1.7;0.1;7 %;0.1;0.1;100 %;21.6;0.2;13.6;8.4;62 %;2.9;2.1;72 %;9.7;6.6;68 %;3.9;1.8;47 %;2;1.4;71 %;3.6;2.1;58 %;5.4;0.2;0;0;0 %;0;10.8;9.3;86 %
61;Александр Ставпец;ПВ;Арсенал Тула;354;0;0;0.5;0.5;100 %;1.3;0.5;40 %;0.04;3.1;1;0.8;0.5;0;59.5;41.7;70 %;1.3;0.3;0;0 %;8.4;2.5;11.4;4.6;1.3;33.6;27.2;81 %;10.4;6.6;63 %;11.2;10.4;93 %;0.5;0;0 %;33.1;27.2;82 %;12.2;9.7;79 %;2;1.3;63 %;1.3;0;0 %;0.5;0.5;100 %;35.6;1.3;17.5;7.6;43 %;4.6;1.8;39 %;8.1;4.1;50 %;9.4;3.6;38 %;1.5;0.8;50 %;2.8;1.8;64 %;3.8;0.3;0;0;0 %;0.8;1;1;100 %
33;Александр Сухов;ПЦЗ;Уфа;949;0;0.1;0.2;0.2;100 %;0.1;0.1;100 %;0.00;0.9;0.5;0;0.2;0;70.1;53.7;77 %;0.6;0;0;0 %;10.7;5.3;16.4;5;0.4;45.6;35.8;78 %;30.2;22.2;74 %;4.3;4.2;98 %;3.5;1.5;43 %;42.1;34.2;81 %;10.9;8.1;74 %;3.1;1.7;55 %;2.2;0.9;43 %;0.5;0.5;100 %;27.3;0.5;10.9;5.7;52 %;2.2;1;48 %;7.4;4.2;56 %;3.5;1.5;43 %;1;0.6;55 %;2.4;1.2;52 %;5.4;0.5;0;0;0 %;0;7.4;7.1;96 %
78;Александр Щербатюк;ЦФД;КамАЗ;168;0.5;0;0.5;0.5;100 %;2.1;1.6;75 %;0.63;0.5;2.1;0;0;0;35.4;18.8;53 %;8.6;2.1;0.5;25 %;4.8;0.5;8;4.3;0;12.9;8.6;67 %;4.8;3.2;67 %;2.1;1.6;75 %;0;0;0 %;12.9;8.6;67 %;4.3;2.1;50 %;0;0;0 %;0;0;0 %;1.1;1.1;100 %;23;5.4;16.6;4.8;29 %;7;2.1;31 %;3.8;1.6;43 %;12.9;3.2;25 %;0.5;0;0 %;0.5;0;0 %;0.5;0;0;0;0 %;0;0;0;0 %
