№;Игрок;Позиция;Команда;МИН;Г;ГП;КП;КП+;КП%;УД;УД+;УД%;xG;Ф;ФП;ОФ;ЖК;КК;ТТД;ТТД+;ТТД%;ТШ;ГМ;ГМ+;ГМ%;ПОТ;ПТС;ВОЗ;ВЗС;НОМ;ПАС;ПАС+;ПАС%;ПСВ;ПСВ+;ПСВ%;ПCН;ПCН+;ПCН%;ДПС;ДПС+;ДПС%;КСП;КСП+;КСП%;ПФТ;ПФТ+;ПФТ%;ПСШ;ПСШ+;ПСШ%;НАВ;НАВ+;НАВ%;ППУ;ППУ+;ППУ%;ППС;ППШ;ЕД;ЕД+;ЕД%;ЕДВ;ЕДВ+;ЕДВ%;ЕДО;ЕДО+;ЕДО%;ЕДА;ЕДА+;ЕДА%;ОБВ;ОБВ+;ОБВ%;ОТБ;ОТБ+;ОТБ%;ПХ;ШТУ;ПШУ;ПШУ+;ПШУ%;УГЛ;АУТ;АУТ+;АУТ%
11;Нуньес Андрес Фабиан Понсе;ЦФД;Акрон;847;0.9;0;0.2;0.2;100 %;3.8;2.1;56 %;0.76;1.5;1;0.1;0.2;0;45.8;23.5;51 %;9.8;2.2;0.9;38 %;5;0.9;9.8;6.7;0.9;14.6;11.1;76 %;3.9;2.2;57 %;4.6;4.5;98 %;0.4;0.3;75 %;14.1;10.7;76 %;4.9;3.8;78 %;0.4;0.1;25 %;0.5;0;0 %;0.3;0.3;100 %;30.8;6.1;23.4;6.4;27 %;11.1;2.1;19 %;4.7;2.1;45 %;18.7;4.3;23 %;0.6;0;0 %;1.1;0.3;30 %;1.6;0;0;0;0 %;0;0;0;0 %
10;Нури Абдоков;ЦАП;Кубань Краснодар;1141;0.5;0;0.2;0.2;100 %;1.4;0.6;39 %;0.25;1.7;2;0.5;0.4;0;56;36.3;65 %;4.9;0.8;0.5;60 %;8.8;2.1;11.9;6;1.1;23.3;18.3;79 %;10.6;7.1;67 %;5;4.9;97 %;0.5;0.2;50 %;22.8;18.1;79 %;8.2;6.2;75 %;2.3;1.2;52 %;0.5;0.1;17 %;1;1;100 %;28.2;1.4;22.4;9.1;41 %;4.2;1;25 %;7.8;3.9;49 %;14.6;5.3;36 %;5.4;2.6;49 %;4.3;2.8;67 %;2.2;0.5;0.3;0.1;25 %;0.5;0.1;0.1;100 %
34;Олег Дмитриев;ЛОП;Родина Москва;855;0;0.1;0.5;0.5;100 %;0.6;0;0 %;0.01;1.2;0.7;0;0.1;0;74.2;59.6;80 %;0.1;0.1;0;0 %;11.2;4.8;14.7;6.9;0.3;53.2;42.6;80 %;22.1;15.2;69 %;8.1;8;99 %;5.8;3.5;60 %;47.4;39.2;83 %;16.5;13.1;79 %;8.1;4.6;57 %;0.8;0.3;38 %;1.2;1.1;91 %;35.1;0.1;7.3;4.2;58 %;1.1;0.6;60 %;4.2;2.2;53 %;3.1;2;66 %;0.8;0.5;63 %;2.1;0.8;40 %;3.3;2.3;0.1;0;0 %;4.5;0.1;0.1;100 %
19;Олег Иванов;ЦОП;Рубин Казань;399;0;0;0;0;0 %;0.9;0.5;50 %;0.20;0.7;0.5;0;0.2;0;87.7;71.5;81 %;2.5;0.2;0;0 %;11.5;5.4;19.8;8.6;0.5;59.1;48.7;82 %;32.7;23.2;71 %;7.9;7.9;100 %;4.7;3.6;76 %;54.4;45.1;83 %;16.7;14.4;86 %;3.6;2.3;63 %;0.2;0.2;100 %;0.5;0.5;100 %;44.9;0.9;14.4;9.9;69 %;6.1;5.2;85 %;7.2;5.6;78 %;7.2;4.3;59 %;2;1.4;67 %;2;1.1;56 %;7.4;0.5;0;0;0 %;0;0;0;0 %
48;Олег Исаенко;ПЗ;Краснодар 2;1221;0;0.1;0.2;0.2;100 %;0.1;0.1;100 %;0.01;0.6;0.4;0;0.1;0;77.4;61.5;79 %;1.1;0;0;0 %;11.2;7.4;18.1;4.6;0.5;50;39.7;79 %;29.9;20.7;69 %;7.6;7.4;98 %;2.1;0.6;29 %;48;39.1;82 %;10.7;8.3;77 %;1.6;1;59 %;1;0.2;23 %;0.3;0.3;100 %;29.9;0.7;11.9;7.5;63 %;2.4;1.5;61 %;8.2;5.5;68 %;3.8;2;53 %;1.2;0.8;69 %;3.5;2.7;75 %;5.5;0.2;0;0;0 %;0;8.6;8;94 %
30;Олег Красильниченко;ЛФЗ;Динамо Махачкала;1216;0.1;0.1;0.4;0.4;100 %;0.8;0.1;9 %;0.11;0.7;1;0;0.1;0;72.8;50.9;70 %;2.7;0.4;0.1;20 %;15.6;8.1;15.9;5.7;0.5;46.7;32.5;70 %;28.6;17.5;61 %;8.4;7.8;92 %;3;1.4;46 %;43.7;31.1;71 %;12.7;9.5;75 %;3.7;2;54 %;2.5;0.4;18 %;0.4;0.4;100 %;31.1;1.4;12.9;6.7;52 %;5;2.3;46 %;6.7;3.8;57 %;6.1;2.8;46 %;1.6;0.7;43 %;2.9;2;69 %;5;0.3;0;0;0 %;0.1;9.7;8.4;87 %
64;Олег Ланин;ЦОП;Енисей;1062;0;0;0.2;0.2;100 %;0.3;0.1;33 %;0.01;1.7;1.2;0;0.3;0;76.7;65.1;85 %;0.3;0.1;0;0 %;6.1;3.3;19.7;7.5;0.3;48.5;42.8;88 %;25.8;20.8;81 %;6;6;100 %;1.1;0.8;69 %;47.4;42;89 %;11.4;10;88 %;1.8;0.8;48 %;0.3;0;0 %;0.1;0.1;100 %;36.4;0.2;15;9.8;66 %;5.1;3.2;63 %;9.4;5.9;63 %;5.6;3.9;70 %;0.8;0.7;89 %;4.5;3.1;68 %;5.2;0.8;0;0;0 %;0;0.1;0.1;100 %
45;Олег Ознобихин;ПВ;Краснодар 2;92;0;0;0;0;0 %;1;0;0 %;0.02;5.9;1;1;0;0;55.8;31.3;56 %;2.9;1;0;0 %;7.8;1;13.7;3.9;0;22.5;14.7;65 %;11.7;6.8;58 %;4.9;3.9;80 %;1;1;100 %;21.5;13.7;64 %;11.7;7.8;67 %;3.9;0;0 %;2;0;0 %;0;0;0 %;22.5;0;24.5;8.8;36 %;6.8;2;29 %;11.7;5.9;50 %;12.7;2.9;23 %;1;1;100 %;5.9;2;33 %;2.9;0;0;0;0 %;0;1;1;100 %
99;Олег Смирнов;ВРТ;Волгарь Астрахань;1310;0;0;0;0;0 %;0.1;0.1;100 %;0.02;0.1;0.3;0.1;0.1;0;36.5;29.9;82 %;0.2;0.1;0;0 %;4.6;3.9;8.8;0.6;0.2;24.3;20.1;83 %;19.2;15.4;80 %;1.6;1.5;96 %;10.4;7.8;75 %;13.8;12.3;89 %;1.2;1.2;94 %;0.2;0.1;33 %;0.1;0;0 %;0.1;0.1;100 %;9.5;0.1;2.8;1;34 %;0.5;0.3;50 %;1.1;0.7;63 %;1.7;0.3;16 %;0.3;0.1;20 %;0.6;0.3;56 %;5.8;1.2;0;0;0 %;0;0.1;0.1;100 %
77;Олег Смирнов;ПВ;Велес Москва;539;0.2;0.2;0.7;0.7;100 %;0.8;0.3;40 %;0.10;2.5;2.7;0.3;0.2;0;51.6;33.7;65 %;4.5;0.2;0.2;100 %;8.3;2;13.2;8.3;0.7;23;16.7;72 %;6.2;3;49 %;7.8;6.8;87 %;0.7;0.3;50 %;22.4;16.4;73 %;11;8.2;74 %;2.8;1.3;47 %;1.8;0.5;27 %;1;0.8;83 %;24.9;1.5;18.7;7.8;42 %;3;1;33 %;7.2;2.8;40 %;11.5;5;43 %;2.8;1.5;53 %;2.8;1.5;53 %;3.8;0;0;0;0 %;0;0.8;0.7;80 %
