Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Нури Абдоков;Кубань Краснодар;240;99;АП Ц;-;-;1.00;-;0 %;2.00;3.00;-;-;-;-;-;-;3.00;1.00;0.23;29.00;79 %;1.00;100 %;-;-;8.00;63 %;1.00;100 %;-;-;3.00;67 %;6.00;50 %;11.00;3.00;4.00;-;-;5.00;15.00;53 %;2.00;0 %;13.00;62 %;1.00;0 %;7.00;57 %;5.00;40 %;2.00;0 %;1.00;4.00;1;1.00;-;-;60.00;41.00;68 %;33 %;1.00;1.00;-;0.46;0.08;-;0.00;1.77;0.26;1.51;-;-;23.00;1.00;-;5.00;1.00;-;2.00;3.00;8.00;-;8.00;-;4.00;2.00;-
Руслан Байтуков;Тюмень;225;99;З ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;57.00;91 %;-;-;-;-;9.00;78 %;2.00;50 %;-;-;3.00;100 %;4.00;75 %;3.00;1.00;-;7.00;3.00;1.00;16.00;75 %;11.00;73 %;5.00;80 %;5.00;60 %;1.00;100 %;1.00;100 %;1.00;100 %;11.00;3.00;1;1.00;-;-;88.00;79.00;90 %;-;-;-;-;0.04;-;-;-;0.26;1.77;-1.51;0.22;0.06;52.00;-;-;7.00;1.00;-;3.00;3.00;12.00;8.00;4.00;3.00;1.00;1.00;1.00
Александр Бем;Тюмень;199;99;З П;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;51.00;80 %;-;-;1.00;0 %;7.00;43 %;3.00;0 %;2.00;0 %;9.00;11 %;2.00;0 %;8.00;-;2.00;4.00;-;1.00;14.00;57 %;8.00;50 %;6.00;67 %;1.00;100 %;2.00;50 %;1.00;0 %;4.00;75 %;5.00;6.00;1;1.00;-;-;79.00;61.00;77 %;-;-;-;-;-;-;-;-;0.26;1.77;-1.51;0.17;0.09;41.00;-;-;3.00;-;-;1.00;-;8.00;4.00;4.00;1.00;1.00;-;3.00
Евгений Осипов;Кубань Краснодар;210;99;З ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54.00;74 %;-;-;-;-;18.00;50 %;11.00;45 %;4.00;50 %;9.00;56 %;2.00;50 %;8.00;4.00;-;7.00;-;1.00;13.00;77 %;9.00;78 %;4.00;75 %;6.00;67 %;-;-;-;-;1.00;100 %;12.00;3.00;1;1.00;-;-;84.00;67.00;80 %;-;-;-;-;-;-;-;-;1.77;0.26;1.51;0.02;0.02;40.00;-;-;9.00;5.00;2.00;5.00;1.00;10.00;7.00;3.00;4.00;-;-;1.00
Никита Печенкин;Тюмень;190;99;З ЛЦ;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;67.00;87 %;-;-;-;-;15.00;60 %;4.00;0 %;-;-;6.00;17 %;-;-;-;-;-;7.00;1.00;1.00;12.00;67 %;11.00;64 %;1.00;100 %;5.00;60 %;1.00;100 %;-;-;1.00;0 %;11.00;6.00;1;1.00;-;-;98.00;85.00;87 %;-;-;-;-;-;-;-;-;0.26;1.77;-1.51;1.5;0.35;58.00;-;-;9.00;-;-;1.00;-;8.00;7.00;1.00;3.00;1.00;-;-
Илья Порохов;Тюмень;161;99;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;24.00;75 %;-;-;-;-;3.00;67 %;-;-;-;-;1.00;0 %;1.00;100 %;11.00;1.00;1.00;1.00;1.00;2.00;13.00;15 %;1.00;0 %;12.00;17 %;4.00;25 %;2.00;0 %;2.00;0 %;-;-;1.00;4.00;1;1.00;-;-;46.00;28.00;61 %;-;-;-;-;-;-;-;-;0.26;1.77;-1.51;-;-;18.00;-;-;2.00;-;-;-;1.00;2.00;-;2.00;1.00;-;-;-
Денис Самойлов;Тюмень;234;99;ЗП ПЦ;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;2.00;1.00;0.09;52.00;87 %;-;-;-;-;7.00;86 %;-;-;-;-;4.00;100 %;-;-;7.00;2.00;-;4.00;1.00;2.00;14.00;79 %;8.00;75 %;6.00;83 %;4.00;75 %;2.00;100 %;-;-;6.00;83 %;5.00;7.00;1;1.00;-;-;82.00;71.00;87 %;50 %;1.00;-;-;0.04;0.04;-;0.00;0.26;1.77;-1.51;-;-;45.00;-;-;6.00;-;-;4.00;-;11.00;6.00;5.00;3.00;2.00;-;5.00
Александр Смирнов;Кубань Краснодар;241;99;ЗЛ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;55.00;82 %;1.00;0 %;4.00;50 %;9.00;67 %;2.00;100 %;-;-;5.00;100 %;6.00;83 %;7.00;2.00;-;13.00;-;2.00;22.00;55 %;13.00;62 %;9.00;44 %;2.00;100 %;5.00;40 %;2.00;50 %;6.00;50 %;11.00;11.00;1;1.00;-;-;101.00;81.00;80 %;-;-;-;-;0.18;-;-;-;1.77;0.26;1.51;-;-;45.00;-;2.00;6.00;2.00;-;5.00;5.00;12.00;8.00;4.00;2.00;2.00;1.00;3.00
Иван Темников;Кубань Краснодар;216;99;З П;-;-;-;-;-;-;2.00;-;-;1.00;1.00;-;-;-;-;-;64.00;75 %;-;-;4.00;0 %;23.00;48 %;8.00;38 %;1.00;100 %;14.00;71 %;9.00;33 %;10.00;1.00;1.00;3.00;-;2.00;20.00;55 %;15.00;60 %;5.00;40 %;5.00;40 %;2.00;100 %;-;-;4.00;75 %;4.00;5.00;1;1.00;-;-;96.00;70.00;73 %;-;-;-;-;0.13;-;-;-;1.77;0.26;1.51;0.07;0.07;48.00;-;-;11.00;3.00;1.00;10.00;3.00;11.00;9.00;2.00;2.00;2.00;-;3.00
Максим Веденеев;Кубань Краснодар;200;99;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50.00;94 %;-;-;-;-;10.00;70 %;4.00;50 %;-;-;5.00;60 %;-;-;-;-;-;7.00;-;3.00;10.00;60 %;10.00;60 %;-;-;4.00;50 %;-;-;-;-;1.00;100 %;5.00;7.00;1;1.00;-;-;75.00;68.00;91 %;-;-;-;-;-;-;-;-;1.77;0.26;1.51;0.04;0.04;47.00;-;-;7.00;2.00;-;3.00;-;6.00;6.00;-;2.00;-;-;1.00
