Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Астемир Гордюшенко;Родина Москва;240;97;П Л;1.00;-;2.00;1.00;50 %;2.00;2.00;1.00;-;-;-;-;2.00;4.00;1.00;0.30;60.00;73 %;-;-;4.00;0 %;17.00;82 %;1.00;0 %;-;-;7.00;71 %;15.00;47 %;17.00;1.00;2.00;3.00;1.00;5.00;25.00;32 %;6.00;50 %;19.00;26 %;2.00;0 %;7.00;57 %;3.00;33 %;3.00;67 %;2.00;4.00;1;1.00;-;-;102.00;64.00;63 %;25 %;1.00;2.00;-;0.38;0.07;0.30;3.33;1.55;1.29;0.26;-;-;44.00;-;-;14.00;-;-;5.00;7.00;8.00;3.00;5.00;-;4.00;1.00;2.00
Митджа Кризан;Родина Москва;221;97;З ПЦ;-;-;2.00;-;0 %;-;-;-;-;-;-;-;-;2.00;-;0.40;63.00;84 %;-;-;-;-;17.00;76 %;6.00;83 %;1.00;100 %;8.00;75 %;-;-;6.00;2.00;-;5.00;1.00;2.00;9.00;100 %;6.00;100 %;3.00;100 %;6.00;100 %;-;-;-;-;1.00;100 %;3.00;7.00;1;1.00;-;-;86.00;74.00;86 %;0 %;2.00;-;-;-;0.20;-;0.00;1.55;1.29;0.26;0.02;0.02;53.00;-;-;13.00;5.00;1.00;6.00;-;9.00;6.00;3.00;6.00;-;-;1.00
Уэсли Ната Вачхолз;Родина Москва;179;97;ЗП ЛЦ;-;-;-;-;-;-;-;1.00;-;-;1.00;-;-;1.00;-;0.08;48.00;88 %;-;-;-;-;7.00;71 %;3.00;33 %;-;-;2.00;100 %;-;-;5.00;2.00;-;3.00;-;3.00;13.00;23 %;6.00;33 %;7.00;14 %;2.00;50 %;3.00;0 %;1.00;0 %;2.00;100 %;5.00;6.00;1;1.00;-;-;76.00;59.00;78 %;0 %;-;1.00;-;-;0.08;-;0.00;1.55;1.29;0.26;0.05;0.05;42.00;-;-;5.00;1.00;-;2.00;-;3.00;2.00;1.00;1.00;-;-;2.00
Артём Самсонов;Шинник;227;97;АП Ц;-;1.00;-;-;-;1.00;-;-;-;-;-;-;-;1.00;-;0.01;26.00;73 %;1.00;100 %;-;-;11.00;64 %;7.00;71 %;2.00;100 %;6.00;50 %;3.00;33 %;5.00;1.00;-;5.00;1.00;2.00;7.00;43 %;4.00;25 %;3.00;67 %;2.00;50 %;1.00;100 %;-;-;1.00;0 %;8.00;5.00;1;1.00;-;-;49.00;37.00;76 %;0 %;1.00;-;-;0.37;0.01;-;0.00;1.29;1.55;-0.26;0.02;0.02;19.00;1.00;-;7.00;5.00;2.00;3.00;1.00;3.00;1.00;2.00;1.00;1.00;-;-
Дмитрий Шадринцев;Шинник;219;97;ЗЛ;-;-;1.00;-;0 %;-;-;1.00;-;1.00;-;-;-;1.00;1.00;0.06;33.00;79 %;-;-;2.00;50 %;6.00;50 %;2.00;100 %;-;-;2.00;50 %;2.00;100 %;6.00;2.00;1.00;7.00;1.00;4.00;21.00;52 %;11.00;36 %;10.00;70 %;2.00;50 %;8.00;75 %;3.00;100 %;8.00;25 %;6.00;8.00;1;1.00;-;-;74.00;56.00;76 %;100 %;-;-;-;0.16;0.06;-;0.00;1.29;1.55;-0.26;0.17;0.17;26.00;-;1.00;3.00;2.00;-;1.00;2.00;11.00;4.00;7.00;1.00;6.00;3.00;2.00
Артём Сокол;Родина Москва;194;97;З ЛЦ;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;-;48.00;81 %;1.00;100 %;1.00;0 %;14.00;79 %;4.00;100 %;1.00;100 %;5.00;100 %;1.00;0 %;6.00;1.00;3.00;6.00;1.00;2.00;19.00;53 %;15.00;53 %;4.00;50 %;8.00;50 %;2.00;50 %;-;-;3.00;33 %;4.00;10.00;1;1.00;-;-;86.00;65.00;76 %;-;-;-;-;-;-;-;-;1.55;1.29;0.26;0.13;0.13;39.00;1.00;-;11.00;4.00;1.00;5.00;-;10.00;8.00;2.00;4.00;1.00;-;1.00
Максим Турищев;Родина Москва;198;97;Ф ПЦ;-;-;1.00;-;0 %;1.00;-;1.00;-;-;-;-;-;3.00;2.00;0.31;29.00;72 %;1.00;100 %;4.00;50 %;4.00;100 %;1.00;100 %;-;-;2.00;100 %;5.00;80 %;4.00;3.00;3.00;-;-;2.00;12.00;67 %;-;-;12.00;67 %;5.00;20 %;3.00;100 %;2.00;100 %;-;-;-;5.00;1;1.00;-;-;54.00;38.00;70 %;67 %;-;1.00;-;0.19;0.10;-;0.00;1.55;1.29;0.26;-;-;21.00;1.00;2.00;4.00;1.00;-;2.00;4.00;8.00;-;8.00;1.00;3.00;2.00;-
Эдуард Валиахметов;Шинник;233;97;З П;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;42.00;74 %;-;-;1.00;0 %;12.00;42 %;2.00;0 %;2.00;0 %;8.00;38 %;1.00;0 %;8.00;2.00;1.00;8.00;2.00;1.00;8.00;88 %;5.00;100 %;3.00;67 %;1.00;0 %;-;-;-;-;1.00;100 %;11.00;9.00;1;1.00;-;-;72.00;59.00;82 %;-;-;-;-;0.05;-;-;-;1.29;1.55;-0.26;0.02;0.02;31.00;-;-;5.00;-;-;3.00;-;7.00;5.00;2.00;-;-;-;1.00
Георгий Юдинцев;Родина Москва;220;97;З П;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;2.00;1.00;0.04;68.00;81 %;-;-;8.00;38 %;11.00;82 %;5.00;80 %;-;-;7.00;71 %;7.00;43 %;7.00;4.00;1.00;6.00;1.00;3.00;10.00;40 %;5.00;60 %;5.00;20 %;1.00;100 %;1.00;100 %;1.00;100 %;3.00;33 %;5.00;9.00;1;1.00;-;-;99.00;78.00;79 %;50 %;1.00;-;-;0.02;0.02;-;0.00;1.55;1.29;0.26;0.03;0.03;55.00;-;3.00;9.00;4.00;-;5.00;3.00;4.00;3.00;1.00;1.00;1.00;1.00;1.00
Вячеслав Зинков;Шинник;217;97;З ПЦ;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;-;-;-;-;32.00;84 %;-;-;-;-;5.00;60 %;-;-;-;-;1.00;0 %;-;-;3.00;1.00;-;7.00;3.00;-;19.00;74 %;17.00;71 %;2.00;100 %;8.00;88 %;-;-;-;-;2.00;50 %;6.00;5.00;1;1.00;-;-;63.00;53.00;84 %;-;-;-;-;-;-;-;-;1.29;1.55;-0.26;0.10;0.10;27.00;-;-;3.00;-;-;-;-;14.00;12.00;2.00;7.00;-;-;1.00
Дмитрий Гузь;Шинник;188;97;З ЛЦ;-;-;-;-;-;-;1.00;-;-;4.00;1.00;-;-;-;-;-;36.00;81 %;-;-;-;-;8.00;75 %;3.00;67 %;-;-;5.00;60 %;-;-;3.00;2.00;-;7.00;1.00;-;18.00;67 %;16.00;63 %;2.00;100 %;8.00;63 %;-;-;-;-;3.00;67 %;14.00;4.00;1;1.00;-;-;73.00;60.00;82 %;-;-;-;-;0.01;-;-;-;1.29;1.55;-0.26;0.41;0.08;29.00;-;-;6.00;2.00;-;3.00;-;12.00;10.00;2.00;5.00;-;-;2.00
Руслан Аюкин;КамАЗ Набережные Челны;205;96;ЗЛ;-;-;-;-;-;1.00;1.00;1.00;-;-;-;-;-;1.00;-;0.01;50.00;74 %;1.00;100 %;1.00;100 %;17.00;53 %;5.00;40 %;1.00;0 %;13.00;54 %;4.00;75 %;9.00;3.00;1.00;6.00;-;1.00;8.00;13 %;5.00;20 %;3.00;0 %;2.00;0 %;-;-;-;-;2.00;50 %;13.00;7.00;1;1.00;-;-;83.00;61.00;73 %;0 %;1.00;-;-;0.19;0.01;-;0.00;1.11;1.49;-0.38;0.10;0.05;37.00;1.00;1.00;9.00;2.00;-;7.00;3.00;1.00;1.00;-;-;-;-;1.00
Ильнур Бадртдинов;КамАЗ Набережные Челны;184;96;АП П;-;-;-;-;-;-;3.00;2.00;-;-;1.00;-;1.00;-;-;-;15.00;47 %;-;-;2.00;0 %;4.00;75 %;1.00;100 %;-;-;1.00;100 %;1.00;100 %;9.00;3.00;-;5.00;1.00;-;22.00;32 %;10.00;30 %;12.00;33 %;5.00;20 %;3.00;33 %;3.00;33 %;5.00;20 %;3.00;6.00;1;1.00;-;-;47.00;24.00;51 %;-;-;-;-;-;-;-;-;1.11;1.49;-0.38;-;-;7.00;-;-;3.00;1.00;-;1.00;1.00;7.00;3.00;4.00;1.00;1.00;1.00;1.00
Сергей Бородин;Торпедо Москва;183;96;З Ц;-;-;-;-;-;-;1.00;-;1.00;2.00;-;-;-;2.00;-;0.09;55.00;76 %;-;-;-;-;14.00;36 %;5.00;40 %;1.00;0 %;7.00;43 %;1.00;0 %;6.00;1.00;-;10.00;2.00;-;29.00;66 %;17.00;65 %;12.00;67 %;22.00;68 %;-;-;-;-;3.00;67 %;8.00;4.00;1;1.00;-;-;98.00;73.00;74 %;0 %;1.00;1.00;-;0.38;0.04;-;0.00;1.49;1.11;0.38;-;-;42.00;-;-;5.00;2.00;-;3.00;-;19.00;11.00;8.00;15.00;-;-;2.00
Марио Чурич;Торпедо Москва;222;96;П ЛЦ;-;-;-;-;-;-;3.00;3.00;-;-;-;-;1.00;2.00;1.00;0.07;30.00;80 %;-;-;2.00;0 %;3.00;67 %;3.00;33 %;1.00;0 %;-;-;2.00;50 %;9.00;1.00;2.00;1.00;-;7.00;24.00;63 %;1.00;100 %;23.00;61 %;2.00;100 %;14.00;71 %;4.00;25 %;1.00;100 %;3.00;6.00;1;1.00;-;-;74.00;56.00;76 %;50 %;-;1.00;-;0.09;0.04;-;0.00;1.49;1.11;0.38;0.02;0.02;24.00;-;-;2.00;1.00;-;-;1.00;15.00;1.00;14.00;2.00;10.00;1.00;1.00
Иван Енин;Торпедо Москва;187;96;ЗП Ц;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;70.00;84 %;-;-;1.00;0 %;15.00;87 %;1.00;100 %;-;-;9.00;89 %;1.00;0 %;6.00;4.00;-;9.00;2.00;6.00;19.00;58 %;11.00;45 %;8.00;75 %;1.00;0 %;6.00;67 %;2.00;50 %;3.00;67 %;7.00;9.00;1;1.00;-;-;111.00;92.00;83 %;-;-;-;-;-;-;-;-;1.49;1.11;0.38;0.13;0.04;59.00;-;-;13.00;1.00;-;8.00;-;11.00;5.00;6.00;-;4.00;1.00;2.00
Павел Горелов;КамАЗ Набережные Челны;179;96;ЗП ЛЦ;-;-;2.00;-;0 %;-;1.00;-;-;-;-;-;-;2.00;-;0.22;21.00;57 %;2.00;0 %;-;-;6.00;33 %;-;-;-;-;4.00;50 %;1.00;0 %;10.00;1.00;-;2.00;-;-;19.00;26 %;13.00;31 %;6.00;17 %;2.00;0 %;3.00;0 %;2.00;0 %;9.00;33 %;3.00;5.00;1;1.00;-;-;51.00;26.00;51 %;0 %;1.00;1.00;-;0.03;0.11;-;0.00;1.11;1.49;-0.38;-;-;12.00;-;-;2.00;-;-;2.00;-;5.00;4.00;1.00;-;-;-;3.00
Никита Калугин;Торпедо Москва;177;96;З ПЦ;-;-;-;-;-;-;1.00;-;-;1.00;1.00;-;-;-;-;-;52.00;87 %;-;-;-;-;10.00;60 %;3.00;33 %;-;-;5.00;40 %;-;-;5.00;1.00;1.00;7.00;-;-;12.00;42 %;10.00;40 %;2.00;50 %;4.00;25 %;-;-;-;-;4.00;50 %;10.00;10.00;1;1.00;-;-;86.00;71.00;83 %;-;-;-;-;-;-;-;-;1.49;1.11;0.38;0.05;0.03;45.00;-;-;6.00;1.00;-;2.00;-;5.00;4.00;1.00;1.00;-;-;2.00
Ираклий Манелов;Торпедо Москва;190;96;ЗП Л;-;-;-;-;-;-;1.00;3.00;-;-;-;-;-;-;-;-;44.00;77 %;-;-;1.00;100 %;9.00;56 %;5.00;60 %;1.00;100 %;4.00;50 %;3.00;67 %;4.00;-;1.00;6.00;1.00;4.00;15.00;60 %;10.00;50 %;5.00;80 %;3.00;33 %;5.00;80 %;2.00;100 %;4.00;100 %;6.00;7.00;1;1.00;-;-;77.00;60.00;78 %;-;-;-;-;-;-;-;-;1.49;1.11;0.38;-;-;34.00;-;1.00;5.00;3.00;1.00;2.00;2.00;9.00;5.00;4.00;1.00;4.00;2.00;4.00
Валентин Пальцев;КамАЗ Набережные Челны;229;96;З ЛЦ;-;-;-;-;-;-;2.00;4.00;-;-;-;-;-;1.00;-;0.08;25.00;92 %;-;-;-;-;4.00;75 %;1.00;100 %;-;-;1.00;100 %;1.00;100 %;1.00;-;-;11.00;-;1.00;21.00;76 %;19.00;74 %;2.00;100 %;11.00;73 %;1.00;100 %;-;-;3.00;100 %;5.00;8.00;1;1.00;-;-;62.00;54.00;87 %;0 %;1.00;-;-;-;0.08;-;0.00;1.11;1.49;-0.38;0.06;0.06;23.00;-;-;3.00;1.00;-;1.00;1.00;16.00;14.00;2.00;8.00;1.00;-;3.00
Антон Полюткин;КамАЗ Набережные Челны;178;96;З ПЦ;-;-;-;-;-;-;2.00;-;-;2.00;-;-;-;-;-;-;37.00;68 %;-;-;-;-;6.00;33 %;-;-;-;-;1.00;0 %;-;-;4.00;2.00;1.00;7.00;-;-;20.00;60 %;20.00;60 %;-;-;12.00;67 %;-;-;-;-;6.00;50 %;7.00;11.00;1;1.00;-;-;77.00;56.00;73 %;-;-;-;-;-;-;-;-;1.11;1.49;-0.38;0.90;0.15;25.00;-;-;2.00;-;-;-;-;12.00;12.00;-;8.00;-;-;3.00
Дамир Таликин;КамАЗ Набережные Челны;229;96;АП Ц;-;-;1.00;-;0 %;-;-;2.00;-;-;-;-;-;2.00;-;0.15;29.00;69 %;2.00;0 %;-;-;7.00;57 %;4.00;50 %;-;-;7.00;57 %;2.00;50 %;7.00;-;1.00;5.00;4.00;2.00;13.00;46 %;7.00;43 %;6.00;50 %;3.00;33 %;3.00;67 %;-;-;3.00;33 %;8.00;2.00;1;1.00;-;-;57.00;38.00;67 %;0 %;1.00;1.00;-;0.11;0.07;-;0.00;1.11;1.49;-0.38;-;-;20.00;-;-;4.00;2.00;-;4.00;1.00;6.00;3.00;3.00;1.00;2.00;-;1.00
Жозе Ерды Рейна Санчез;Торпедо Москва;183;96;Ф ЛЦ;-;-;1.00;-;0 %;1.00;-;4.00;-;-;-;-;-;1.00;1.00;0.38;38.00;84 %;-;-;3.00;33 %;6.00;50 %;3.00;100 %;-;-;3.00;67 %;9.00;67 %;7.00;1.00;3.00;-;-;4.00;20.00;50 %;1.00;0 %;19.00;53 %;-;-;12.00;50 %;9.00;56 %;1.00;0 %;2.00;2.00;1;1.00;-;-;69.00;50.00;72 %;100 %;-;-;-;0.35;0.38;-;0.00;1.49;1.11;0.38;-;-;32.00;-;1.00;3.00;3.00;-;2.00;6.00;10.00;-;10.00;-;6.00;5.00;-
Юрий Журавлев;Торпедо Москва;208;96;З ЛЦ;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;-;-;-;-;105.00;80 %;-;-;2.00;100 %;23.00;70 %;9.00;44 %;1.00;0 %;11.00;55 %;5.00;100 %;9.00;3.00;1.00;10.00;2.00;2.00;11.00;91 %;10.00;90 %;1.00;100 %;4.00;75 %;1.00;100 %;-;-;3.00;100 %;10.00;10.00;1;1.00;-;-;140.00;117.00;84 %;-;-;-;-;0.32;-;-;-;1.49;1.11;0.38;0.34;0.17;84.00;-;2.00;16.00;4.00;-;6.00;5.00;10.00;9.00;1.00;3.00;1.00;-;3.00
Астемир Абазов;Сокол Саратов;176;95;З ЛЦ;-;-;1.00;-;0 %;2.00;-;-;1.00;1.00;-;-;-;1.00;1.00;0.03;84.00;79 %;-;-;3.00;67 %;12.00;58 %;9.00;44 %;2.00;50 %;12.00;50 %;6.00;50 %;13.00;4.00;-;7.00;-;8.00;13.00;69 %;4.00;100 %;9.00;56 %;1.00;100 %;5.00;60 %;2.00;50 %;3.00;100 %;8.00;3.00;1;1.00;-;-;117.00;95.00;81 %;100 %;-;-;-;0.13;0.03;-;0.00;0.95;1.91;-0.96;0.34;0.17;66.00;-;2.00;7.00;4.00;1.00;6.00;3.00;9.00;4.00;5.00;1.00;3.00;1.00;3.00
Абдуллахи Самину Квари;Динамо Махачкала;223;95;П ЛЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;1.00;-;0.15;35.00;83 %;-;-;-;-;6.00;67 %;1.00;0 %;-;-;3.00;67 %;1.00;0 %;5.00;1.00;-;2.00;1.00;2.00;15.00;40 %;6.00;33 %;9.00;44 %;2.00;50 %;3.00;100 %;-;-;4.00;25 %;5.00;8.00;1;1.00;-;-;66.00;50.00;76 %;0 %;-;1.00;-;0.34;0.15;-;0.00;1.91;0.95;0.96;-;-;29.00;-;-;4.00;-;-;2.00;-;6.00;2.00;4.00;1.00;3.00;-;1.00
Муталип Алибеков;Динамо Махачкала;268;95;З Ц;1.00;-;1.00;1.00;100 %;-;1.00;-;-;1.00;-;-;-;1.00;1.00;0.36;36.00;81 %;-;-;-;-;6.00;33 %;3.00;33 %;-;-;3.00;33 %;-;-;5.00;1.00;1.00;9.00;-;1.00;14.00;93 %;13.00;92 %;1.00;100 %;5.00;100 %;-;-;-;-;4.00;100 %;8.00;2.00;1;1.00;-;-;63.00;54.00;86 %;100 %;-;-;-;-;0.36;0.36;2.78;1.91;0.95;0.96;0.14;0.14;29.00;-;-;2.00;1.00;-;1.00;-;13.00;12.00;1.00;5.00;-;-;4.00
Дмитрий Бегун;СКА-Хабаровск;194;95;ЗЛ;-;-;-;-;-;-;-;-;1.00;2.00;-;-;-;1.00;-;0.02;43.00;72 %;-;-;4.00;50 %;10.00;60 %;2.00;50 %;1.00;100 %;2.00;50 %;3.00;33 %;11.00;5.00;4.00;6.00;2.00;5.00;18.00;61 %;14.00;71 %;4.00;25 %;3.00;100 %;2.00;50 %;1.00;0 %;7.00;71 %;5.00;6.00;1;1.00;-;-;83.00;59.00;71 %;0 %;-;1.00;-;0.21;0.02;-;0.00;2.9;2.86;-0.77;-;-;31.00;-;2.00;6.00;1.00;1.00;1.00;1.00;11.00;10.00;1.00;3.00;1.00;-;5.00
