Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Александр Ставпец;Шинник;213;39;П П;-;1.00;-;-;-;1.00;1.00;2.00;-;-;-;-;-;-;-;-;10.00;60 %;1.00;100 %;1.00;100 %;1.00;0 %;-;-;-;-;-;-;2.00;100 %;5.00;-;2.00;-;-;-;10.00;60 %;4.00;75 %;6.00;50 %;4.00;50 %;-;-;-;-;2.00;100 %;2.00;2.00;1;-;-;1.00;26.00;16.00;62 %;-;-;-;-;0.51;-;-;-;0.65;1.31;-0.66;-;-;6.00;1.00;1.00;-;-;-;-;2.00;6.00;3.00;3.00;2.00;-;-;2.00
Никита Бакалюк;Кубань Краснодар;178;34;ЗП ЛЦ;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;-;17.00;82 %;-;-;-;-;3.00;100 %;1.00;100 %;1.00;100 %;2.00;50 %;2.00;100 %;1.00;-;-;2.00;1.00;-;4.00;75 %;3.00;67 %;1.00;100 %;3.00;67 %;-;-;-;-;-;-;5.00;3.00;1;-;-;1.00;29.00;25.00;86 %;-;-;-;-;0.30;-;-;-;0.49;0.16;0.33;-;-;14.00;-;-;3.00;1.00;1.00;1.00;2.00;3.00;2.00;1.00;2.00;-;-;-
Карим Гираев;Арсенал Тула;155;34;Ф Ц;-;-;-;-;-;1.00;-;-;-;-;-;-;-;1.00;-;0.13;6.00;83 %;-;-;-;-;2.00;50 %;-;-;-;-;1.00;100 %;1.00;0 %;3.00;-;2.00;-;-;-;5.00;20 %;2.00;0 %;3.00;33 %;4.00;0 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;15.00;7.00;47 %;0 %;-;1.00;-;-;0.13;-;0.00;0.71;0.80;-0.09;-;-;5.00;-;-;1.00;-;-;1.00;-;1.00;-;1.00;-;-;-;-
Сослан Качмазов;Алания Владикавказ;215;34;ЗЛ;-;-;-;-;-;-;2.00;1.00;-;-;1.00;-;-;-;-;-;24.00;88 %;-;-;2.00;50 %;9.00;78 %;2.00;0 %;-;-;7.00;71 %;3.00;33 %;3.00;-;-;3.00;-;2.00;9.00;44 %;6.00;50 %;3.00;33 %;4.00;50 %;1.00;100 %;1.00;100 %;1.00;100 %;4.00;3.00;1;-;-;1.00;42.00;34.00;81 %;-;-;-;-;-;-;-;-;0.25;0.38;-0.13;0.06;0.06;21.00;-;1.00;7.00;-;-;5.00;1.00;4.00;3.00;1.00;2.00;1.00;1.00;1.00
Оливье Кенфак;Кубань Краснодар;178;34;П Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;2.00;1.00;0.11;11.00;82 %;-;-;1.00;0 %;1.00;100 %;2.00;100 %;-;-;-;-;1.00;0 %;4.00;-;-;-;-;-;17.00;24 %;4.00;25 %;13.00;23 %;6.00;17 %;2.00;50 %;2.00;50 %;1.00;100 %;-;2.00;1;-;-;1.00;32.00;16.00;50 %;50 %;-;1.00;-;-;0.06;-;0.00;0.49;0.16;0.33;-;-;9.00;-;-;1.00;2.00;-;-;-;4.00;1.00;3.00;1.00;1.00;1.00;1.00
Владислав Руденко;Черноморец;157;34;Ф Ц;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;4.00;50 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;-;1.00;-;-;-;9.00;22 %;-;-;9.00;22 %;9.00;22 %;-;-;-;-;-;-;1.00;-;1;-;-;1.00;15.00;5.00;33 %;-;-;-;-;-;-;-;-;0.81;0.16;0.65;-;-;2.00;-;-;-;-;-;-;-;2.00;-;2.00;2.00;-;-;-
Руслан Апеков;ФК Акрон Тольятти;212;33;АП П;-;-;1.00;-;0 %;1.00;-;1.00;-;-;-;-;-;1.00;-;0.09;15.00;73 %;-;-;2.00;0 %;4.00;50 %;-;-;-;-;3.00;67 %;4.00;50 %;8.00;1.00;1.00;-;-;-;12.00;50 %;1.00;0 %;11.00;55 %;3.00;33 %;5.00;80 %;1.00;100 %;-;-;-;1.00;1;-;-;1.00;30.00;18.00;60 %;0 %;1.00;-;-;0.47;0.09;-;0.00;0.63;0.46;0.17;-;-;11.00;-;-;2.00;-;-;2.00;2.00;6.00;-;6.00;1.00;4.00;1.00;-
Марат Бокоев;ФК Акрон Тольятти;210;33;ЗЛ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30.00;90 %;-;-;-;-;8.00;63 %;1.00;0 %;-;-;6.00;50 %;1.00;0 %;3.00;1.00;-;1.00;-;4.00;2.00;50 %;-;-;2.00;50 %;-;-;1.00;100 %;-;-;-;-;3.00;1.00;1;-;-;1.00;40.00;36.00;90 %;-;-;-;-;-;-;-;-;0.63;0.46;0.17;-;-;27.00;-;-;5.00;-;-;3.00;-;1.00;-;1.00;-;1.00;-;-
Данила Ежков;Сокол Саратов;168;33;Ф ЛЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;1.00;-;0.08;8.00;50 %;-;-;1.00;0 %;2.00;50 %;-;-;-;-;1.00;100 %;1.00;0 %;3.00;-;-;1.00;1.00;1.00;7.00;71 %;-;-;7.00;71 %;2.00;100 %;2.00;100 %;1.00;100 %;-;-;1.00;1.00;1;-;-;1.00;19.00;12.00;63 %;0 %;1.00;-;-;-;0.08;-;0.00;0.22;1.11;-0.89;-;-;4.00;-;-;1.00;-;-;1.00;-;5.00;-;5.00;2.00;2.00;1.00;-
Валерий Громыко;Торпедо Москва;182;33;П ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;11.00;82 %;-;-;-;-;5.00;60 %;1.00;100 %;-;-;2.00;50 %;1.00;0 %;2.00;-;-;2.00;2.00;1.00;6.00;33 %;5.00;20 %;1.00;100 %;2.00;50 %;-;-;-;-;4.00;25 %;-;3.00;1;-;-;1.00;21.00;15.00;71 %;-;-;-;-;-;-;-;-;0.46;0.63;-0.17;-;-;9.00;-;-;3.00;1.00;-;1.00;-;2.00;1.00;1.00;1.00;-;-;1.00
