Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Никита Котин;Шинник;190;35;З ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;8.00;75 %;-;-;-;-;1.00;0 %;1.00;100 %;-;-;1.00;100 %;-;-;1.00;1.00;-;3.00;-;-;6.00;50 %;4.00;50 %;2.00;50 %;4.00;50 %;-;-;-;-;-;-;4.00;4.00;1;-;-;1.00;24.00;19.00;79 %;-;-;-;-;-;-;-;-;0.22;0.05;0.17;-;-;6.00;-;-;-;1.00;-;1.00;-;3.00;2.00;1.00;2.00;-;-;-
Илья Рубцов;Шинник;169;35;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;7.00;43 %;1.00;0 %;1.00;0 %;1.00;0 %;-;-;-;-;2.00;0 %;-;-;9.00;-;1.00;-;-;1.00;15.00;33 %;2.00;0 %;13.00;38 %;6.00;33 %;4.00;25 %;2.00;50 %;-;-;-;-;1;-;-;1.00;24.00;9.00;38 %;-;-;-;-;-;-;-;-;0.22;0.05;0.17;-;-;3.00;-;-;-;-;-;-;-;5.00;-;5.00;2.00;1.00;1.00;-
Кирилл Данилин;ФК Акрон Тольятти;222;34;АП П;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;6.00;83 %;-;-;-;-;2.00;50 %;-;-;-;-;-;-;1.00;0 %;2.00;1.00;1.00;1.00;-;-;6.00;33 %;3.00;0 %;3.00;67 %;4.00;25 %;1.00;100 %;-;-;-;-;3.00;-;1;-;-;1.00;16.00;10.00;63 %;-;-;-;-;-;-;-;-;0.76;0.07;0.69;-;-;5.00;-;-;1.00;-;-;-;-;2.00;-;2.00;1.00;1.00;-;-
Никита Козловский;Сокол Саратов;167;34;П П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13.00;85 %;-;-;1.00;0 %;2.00;50 %;1.00;0 %;-;-;-;-;1.00;0 %;3.00;1.00;-;1.00;1.00;1.00;5.00;20 %;4.00;25 %;1.00;0 %;1.00;0 %;-;-;-;-;2.00;0 %;1.00;1.00;1;-;-;1.00;21.00;15.00;71 %;-;-;-;-;-;-;-;-;0.32;0.61;-0.29;-;-;11.00;-;-;1.00;-;-;-;-;1.00;1.00;-;-;-;-;-
Максим Савельев;Енисей Красноярск;159;34;Ф ПЦ;-;-;-;-;-;-;4.00;-;-;-;-;-;2.00;-;-;-;6.00;83 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;8.00;-;1.00;-;-;-;13.00;15 %;4.00;25 %;9.00;11 %;11.00;18 %;-;-;-;-;-;-;-;2.00;1;-;-;1.00;22.00;9.00;41 %;-;-;-;-;-;-;-;-;0.05;0.11;-0.06;-;-;5.00;-;-;1.00;-;-;1.00;-;2.00;1.00;1.00;2.00;-;-;-
Олег Исаенко;Химки;185;33;АП ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;16.00;100 %;-;-;-;-;4.00;100 %;1.00;100 %;-;-;2.00;100 %;-;-;-;-;-;2.00;-;-;5.00;20 %;4.00;25 %;1.00;0 %;3.00;0 %;-;-;-;-;2.00;50 %;1.00;2.00;1;-;-;1.00;24.00;20.00;83 %;-;-;-;-;0.05;-;-;-;0.25;0.25;0.00;-;-;16.00;-;-;4.00;1.00;-;2.00;-;1.00;1.00;-;-;-;-;1.00
Дмитрий Барков;Арсенал Тула;189;32;Ф Ц;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;-;1.00;1.00;0.10;13.00;77 %;-;-;1.00;0 %;3.00;67 %;-;-;-;-;1.00;0 %;-;-;3.00;-;-;-;-;1.00;8.00;63 %;-;-;8.00;63 %;6.00;67 %;-;-;-;-;-;-;-;4.00;1;-;-;1.00;27.00;21.00;78 %;100 %;-;-;-;-;0.10;-;0.00;0.61;0.32;0.29;-;-;10.00;-;-;2.00;-;-;-;-;5.00;-;5.00;4.00;-;-;-
Момо Фане Туре;Арсенал Тула;199;32;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11.00;73 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;2.00;100 %;5.00;-;-;1.00;1.00;1.00;7.00;43 %;1.00;0 %;6.00;50 %;2.00;0 %;3.00;67 %;2.00;50 %;-;-;2.00;-;1;-;-;1.00;21.00;14.00;67 %;-;-;-;-;-;-;-;-;0.61;0.32;0.29;-;-;8.00;-;-;1.00;-;-;-;2.00;3.00;-;3.00;-;2.00;1.00;-
Богдан Рейхмен;Кубань Краснодар;227;32;АП Ц;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;6.00;100 %;-;-;-;-;1.00;100 %;1.00;100 %;-;-;1.00;100 %;-;-;2.00;1.00;-;1.00;-;-;11.00;45 %;7.00;43 %;4.00;50 %;4.00;0 %;1.00;100 %;-;-;3.00;67 %;3.00;-;1;-;-;1.00;20.00;14.00;70 %;-;-;-;-;0.28;-;-;-;0.56;0.47;0.09;-;-;6.00;-;-;1.00;1.00;-;1.00;-;5.00;3.00;2.00;-;1.00;-;2.00
Саид Алиев;СКА-Хабаровск;156;31;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.04;6.00;67 %;-;-;-;-;1.00;0 %;-;-;-;-;1.00;0 %;1.00;0 %;9.00;-;-;-;-;-;12.00;8 %;-;-;12.00;8 %;2.00;0 %;3.00;0 %;3.00;0 %;-;-;-;-;1;-;-;1.00;19.00;5.00;26 %;0 %;1.00;-;-;-;0.04;-;0.00;0.09;0.84;-0.75;-;-;4.00;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;-
