Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Нури Абдоков;Кубань Краснодар;213;97;АП Ц;-;-;-;-;-;1.00;2.00;1.00;-;-;-;-;-;1.00;1.00;0.11;39.00;85 %;-;-;3.00;33 %;4.00;50 %;1.00;100 %;-;-;2.00;50 %;6.00;67 %;4.00;1.00;-;1.00;1.00;-;13.00;46 %;6.00;33 %;7.00;57 %;1.00;0 %;1.00;100 %;1.00;100 %;2.00;50 %;2.00;5.00;1;1.00;-;-;60.00;47.00;78 %;100 %;-;-;-;0.88;0.11;-;0.00;2.19;0.48;1.71;-;-;33.00;-;1.00;2.00;1.00;-;1.00;4.00;6.00;2.00;4.00;-;1.00;1.00;1.00
Абдуллахи Самину Квари;Динамо Махачкала;268;97;ЗП ЛЦ;-;2.00;1.00;-;0 %;2.00;2.00;-;-;-;-;-;-;1.00;1.00;0.16;26.00;81 %;2.00;100 %;-;-;8.00;50 %;1.00;0 %;-;-;3.00;67 %;3.00;67 %;4.00;-;-;2.00;-;-;14.00;71 %;8.00;50 %;6.00;100 %;2.00;100 %;2.00;100 %;-;-;4.00;25 %;5.00;5.00;1;1.00;-;-;52.00;43.00;83 %;100 %;-;-;-;0.46;0.16;-;0.00;1.5;1.15;-0.10;-;-;21.00;2.00;-;4.00;-;-;2.00;2.00;10.00;4.00;6.00;2.00;2.00;-;1.00
Муталип Алибеков;Динамо Махачкала;211;97;З Ц;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;15.00;80 %;-;-;-;-;2.00;50 %;1.00;100 %;-;-;1.00;100 %;-;-;-;-;-;5.00;1.00;-;8.00;63 %;7.00;57 %;1.00;100 %;6.00;50 %;-;-;-;-;1.00;100 %;6.00;3.00;1;1.00;-;-;32.00;26.00;81 %;-;-;-;-;-;-;-;-;1.5;1.15;-0.10;0.13;0.07;12.00;-;-;1.00;1.00;-;1.00;-;5.00;4.00;1.00;3.00;-;-;1.00
Неманья Анджелкович;ФК Акрон Тольятти;194;97;З ЛЦ;-;-;-;-;-;-;-;1.00;-;2.00;-;-;-;-;-;-;74.00;93 %;-;-;-;-;7.00;100 %;2.00;100 %;-;-;4.00;100 %;-;-;5.00;4.00;-;5.00;-;5.00;5.00;20 %;3.00;33 %;2.00;0 %;2.00;50 %;-;-;-;-;-;-;9.00;6.00;1;1.00;-;-;100.00;91.00;91 %;-;-;-;-;-;-;-;-;0.48;2.19;-1.71;-;-;69.00;-;-;7.00;2.00;-;4.00;-;1.00;1.00;-;1.00;-;-;-
Алан Багаев;Алания Владикавказ;212;97;З Ц;-;-;-;-;-;-;2.00;2.00;2.00;2.00;1.00;-;-;-;-;-;87.00;89 %;-;-;1.00;0 %;12.00;75 %;2.00;50 %;1.00;0 %;5.00;40 %;3.00;0 %;4.00;1.00;-;11.00;2.00;1.00;18.00;72 %;13.00;85 %;5.00;40 %;5.00;80 %;2.00;50 %;-;-;4.00;50 %;12.00;14.00;1;1.00;-;-;132.00;117.00;89 %;-;-;-;-;-;-;-;-;1.15;1.5;0.10;0.14;0.14;77.00;-;-;9.00;1.00;-;2.00;-;13.00;11.00;2.00;4.00;1.00;-;2.00
Марат Бокоев;ФК Акрон Тольятти;263;97;ЗЛ;-;1.00;-;-;-;1.00;-;3.00;-;1.00;-;-;-;-;-;-;59.00;81 %;1.00;100 %;-;-;9.00;67 %;3.00;33 %;-;-;10.00;50 %;6.00;50 %;8.00;2.00;1.00;3.00;-;2.00;10.00;80 %;5.00;80 %;5.00;80 %;1.00;100 %;4.00;75 %;-;-;3.00;100 %;7.00;5.00;1;1.00;-;-;85.00;71.00;84 %;-;-;-;-;0.33;-;-;-;0.48;2.19;-1.71;0.02;0.02;48.00;1.00;-;6.00;1.00;-;5.00;3.00;8.00;4.00;4.00;1.00;3.00;-;3.00
Иван Чудин;ФК Акрон Тольятти;207;97;ЗП ПЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;38.00;95 %;-;-;-;-;3.00;100 %;-;-;-;-;1.00;100 %;1.00;100 %;2.00;2.00;-;5.00;2.00;1.00;10.00;50 %;6.00;67 %;4.00;25 %;3.00;100 %;-;-;-;-;2.00;50 %;6.00;3.00;1;1.00;-;-;60.00;53.00;88 %;-;-;-;-;-;-;-;-;0.48;2.19;-1.71;-;-;36.00;-;-;3.00;-;-;1.00;1.00;5.00;4.00;1.00;3.00;-;-;1.00
Егор Данилкин;ФК Акрон Тольятти;237;97;З ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;63.00;90 %;-;-;-;-;16.00;75 %;2.00;100 %;-;-;3.00;67 %;-;-;1.00;-;1.00;4.00;1.00;4.00;11.00;91 %;10.00;90 %;1.00;100 %;5.00;80 %;-;-;-;-;1.00;100 %;10.00;3.00;1;1.00;-;-;93.00;85.00;91 %;-;-;-;-;-;-;-;-;0.48;2.19;-1.71;0.03;0.03;57.00;-;-;12.00;2.00;-;2.00;-;10.00;9.00;1.00;4.00;-;-;1.00
Николай Гиоргобиани;Алания Владикавказ;211;97;АП Ц;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;3.00;1.00;0.18;25.00;76 %;1.00;0 %;-;-;5.00;80 %;1.00;100 %;-;-;3.00;100 %;1.00;100 %;11.00;1.00;2.00;2.00;2.00;-;13.00;23 %;-;-;13.00;23 %;2.00;0 %;6.00;33 %;4.00;0 %;-;-;3.00;3.00;1;1.00;-;-;49.00;29.00;59 %;33 %;1.00;1.00;-;0.10;0.06;-;0.00;1.15;1.5;0.10;-;-;19.00;-;-;4.00;1.00;-;3.00;1.00;3.00;-;3.00;-;2.00;-;-
Давид Хубаев;ФК Акрон Тольятти;194;97;ЗП ЛЦ;-;-;1.00;-;0 %;1.00;2.00;3.00;-;1.00;-;-;-;2.00;-;0.10;43.00;74 %;1.00;0 %;2.00;50 %;10.00;70 %;5.00;60 %;-;-;4.00;75 %;3.00;0 %;10.00;2.00;1.00;5.00;4.00;5.00;20.00;55 %;10.00;50 %;10.00;60 %;9.00;33 %;2.00;100 %;-;-;4.00;75 %;2.00;13.00;1;1.00;-;-;86.00;63.00;73 %;0 %;2.00;-;-;-;0.05;-;0.00;0.48;2.19;-1.71;0.28;0.14;32.00;-;1.00;7.00;3.00;-;3.00;-;11.00;5.00;6.00;3.00;2.00;-;3.00
