Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Артём Абрамов;КамАЗ Набережные Челны;199;99;З П;-;-;-;-;-;-;3.00;-;-;1.00;-;-;-;-;-;-;67.00;81 %;-;-;5.00;20 %;13.00;85 %;3.00;67 %;-;-;9.00;100 %;7.00;57 %;10.00;4.00;1.00;4.00;1.00;1.00;14.00;29 %;11.00;27 %;3.00;33 %;1.00;0 %;1.00;0 %;-;-;7.00;43 %;5.00;9.00;1;1.00;-;-;97.00;73.00;75 %;-;-;-;-;0.06;-;-;-;1.38;1.45;-0.07;0.33;0.17;54.00;-;1.00;11.00;2.00;-;9.00;4.00;4.00;3.00;1.00;-;-;-;3.00
Руслан Аюкин;КамАЗ Набережные Челны;192;99;ЗЛ;-;-;1.00;-;0 %;-;2.00;-;-;-;-;-;-;1.00;1.00;0.11;57.00;70 %;-;-;1.00;0 %;13.00;85 %;3.00;33 %;1.00;0 %;8.00;75 %;5.00;80 %;9.00;4.00;1.00;7.00;1.00;1.00;10.00;50 %;8.00;38 %;2.00;100 %;4.00;75 %;-;-;-;-;3.00;33 %;11.00;12.00;1;1.00;-;-;93.00;70.00;75 %;100 %;-;-;-;-;0.11;-;0.00;1.38;1.45;-0.07;-;-;40.00;-;-;11.00;1.00;-;6.00;4.00;5.00;3.00;2.00;3.00;-;-;1.00
Руслан Фищенко;Родина Москва;207;99;ЗП ПЦ;-;-;-;-;-;-;2.00;2.00;-;1.00;-;-;-;-;-;-;33.00;82 %;-;-;1.00;0 %;3.00;67 %;2.00;50 %;-;-;1.00;100 %;2.00;0 %;4.00;2.00;-;4.00;2.00;-;19.00;47 %;14.00;57 %;5.00;20 %;8.00;38 %;2.00;50 %;-;-;5.00;60 %;6.00;6.00;1;1.00;-;-;64.00;48.00;75 %;-;-;-;-;-;-;-;-;1.45;1.38;0.07;0.06;0.06;27.00;-;-;2.00;1.00;-;1.00;-;9.00;8.00;1.00;3.00;1.00;-;3.00
Астемир Гордюшенко;Родина Москва;206;99;П Л;-;-;-;-;-;-;3.00;1.00;-;-;1.00;-;-;-;-;-;38.00;71 %;-;-;-;-;5.00;40 %;1.00;100 %;-;-;3.00;67 %;8.00;38 %;12.00;3.00;3.00;2.00;2.00;1.00;15.00;47 %;5.00;60 %;10.00;40 %;2.00;50 %;3.00;67 %;2.00;50 %;3.00;100 %;4.00;5.00;1;1.00;-;-;67.00;45.00;67 %;-;-;-;-;0.06;-;-;-;1.45;1.38;0.07;-;-;27.00;-;-;2.00;1.00;-;2.00;3.00;7.00;3.00;4.00;1.00;2.00;1.00;3.00
Павел Горелов;КамАЗ Набережные Челны;194;99;П ЛЦ;-;-;2.00;-;0 %;3.00;1.00;2.00;-;1.00;-;-;-;3.00;1.00;0.39;25.00;72 %;1.00;100 %;1.00;0 %;5.00;60 %;1.00;0 %;-;-;2.00;50 %;1.00;0 %;8.00;3.00;1.00;2.00;1.00;1.00;16.00;38 %;9.00;33 %;7.00;43 %;4.00;25 %;1.00;100 %;-;-;3.00;33 %;9.00;4.00;1;1.00;-;-;59.00;39.00;66 %;33 %;1.00;1.00;-;0.31;0.13;-;0.00;1.38;1.45;-0.07;-;-;18.00;1.00;-;3.00;-;-;1.00;-;6.00;3.00;3.00;1.00;1.00;-;1.00
Юрий Кириллов;КамАЗ Набережные Челны;173;99;ЗП Ц;-;-;-;-;-;-;-;1.00;1.00;2.00;-;-;-;-;-;-;47.00;83 %;-;-;-;-;11.00;82 %;4.00;50 %;-;-;5.00;60 %;2.00;50 %;5.00;1.00;-;5.00;1.00;1.00;12.00;33 %;8.00;38 %;4.00;25 %;2.00;0 %;2.00;50 %;-;-;5.00;20 %;4.00;12.00;1;1.00;-;-;76.00;60.00;79 %;-;-;-;-;0.19;-;-;-;1.38;1.45;-0.07;0.02;0.02;39.00;-;-;9.00;2.00;-;3.00;1.00;4.00;3.00;1.00;-;1.00;-;1.00
Александр Клещенко;Родина Москва;209;99;З ЛЦ;-;-;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;51.00;80 %;-;-;-;-;10.00;60 %;4.00;50 %;-;-;5.00;60 %;-;-;4.00;2.00;-;11.00;-;1.00;21.00;71 %;19.00;68 %;2.00;100 %;11.00;82 %;-;-;-;-;5.00;40 %;9.00;8.00;1;1.00;-;-;91.00;75.00;82 %;-;-;-;-;-;-;-;-;1.45;1.38;0.07;0.12;0.06;41.00;-;-;6.00;2.00;-;3.00;-;15.00;13.00;2.00;9.00;-;-;2.00
Митджа Кризан;Родина Москва;184;99;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;24.00;67 %;-;-;-;-;6.00;50 %;4.00;50 %;-;-;5.00;40 %;-;-;4.00;1.00;-;4.00;-;-;5.00;100 %;4.00;100 %;1.00;100 %;2.00;100 %;1.00;100 %;-;-;1.00;100 %;7.00;8.00;1;1.00;-;-;45.00;37.00;82 %;-;-;-;-;-;-;-;-;1.45;1.38;0.07;0.38;0.10;16.00;-;-;3.00;2.00;-;2.00;-;5.00;4.00;1.00;2.00;1.00;-;1.00
Валентин Пальцев;КамАЗ Набережные Челны;218;99;З ЛЦ;-;-;-;-;-;1.00;-;1.00;1.00;2.00;1.00;-;-;2.00;1.00;0.13;41.00;80 %;1.00;100 %;-;-;10.00;50 %;1.00;0 %;1.00;0 %;1.00;0 %;2.00;50 %;6.00;3.00;-;9.00;-;3.00;28.00;61 %;21.00;62 %;7.00;57 %;18.00;61 %;4.00;25 %;2.00;50 %;1.00;100 %;11.00;6.00;1;1.00;-;-;91.00;71.00;78 %;50 %;-;1.00;-;0.09;0.07;-;0.00;1.38;1.45;-0.07;0.68;0.17;33.00;1.00;-;5.00;-;-;-;1.00;17.00;13.00;4.00;11.00;1.00;1.00;1.00
Артём Сокол;Родина Москва;244;99;З П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;46.00;78 %;-;-;4.00;75 %;10.00;60 %;3.00;33 %;-;-;3.00;67 %;4.00;100 %;8.00;1.00;2.00;13.00;1.00;1.00;16.00;69 %;14.00;64 %;2.00;100 %;5.00;60 %;-;-;-;-;3.00;67 %;8.00;9.00;1;1.00;-;-;84.00;67.00;80 %;-;-;-;-;0.24;-;-;-;1.45;1.38;0.07;-;-;36.00;-;3.00;6.00;1.00;-;2.00;4.00;11.00;9.00;2.00;3.00;-;-;2.00
