Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Валерий Кичин;Енисей Красноярск;220;97;З ЛЦ;-;-;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;58.00;86 %;-;-;-;-;20.00;80 %;14.00;64 %;4.00;50 %;3.00;33 %;-;-;5.00;3.00;1.00;14.00;-;1.00;18.00;83 %;14.00;86 %;4.00;75 %;6.00;83 %;2.00;100 %;-;-;1.00;100 %;15.00;7.00;1;1.00;-;-;100.00;88.00;88 %;-;-;-;-;-;-;-;-;0.98;1.49;-0.51;0.09;0.09;50.00;-;-;16.00;9.00;2.00;1.00;-;15.00;12.00;3.00;5.00;2.00;-;1.00
Гаррик Левин;Кубань Краснодар;227;97;П П;1.00;-;3.00;1.00;33 %;1.00;2.00;1.00;-;1.00;-;-;-;4.00;1.00;0.34;14.00;79 %;-;-;-;-;2.00;50 %;-;-;-;-;3.00;67 %;1.00;0 %;8.00;-;1.00;2.00;-;2.00;17.00;29 %;6.00;17 %;11.00;36 %;3.00;0 %;7.00;57 %;3.00;33 %;1.00;0 %;2.00;4.00;1;1.00;-;-;45.00;26.00;58 %;25 %;2.00;1.00;-;0.06;0.09;0.34;2.94;0.51;1.93;-1.42;0.02;0.02;11.00;-;-;1.00;-;-;2.00;-;5.00;1.00;4.00;-;4.00;1.00;-
Александр Ломакин;Енисей Красноярск;200;97;АП Ц;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;2.00;1.00;0.05;45.00;87 %;-;-;-;-;9.00;56 %;1.00;100 %;-;-;7.00;43 %;6.00;50 %;9.00;-;1.00;3.00;-;-;15.00;40 %;6.00;67 %;9.00;22 %;2.00;50 %;1.00;0 %;-;-;4.00;75 %;1.00;7.00;1;1.00;-;-;71.00;54.00;76 %;50 %;1.00;-;-;0.11;0.03;-;0.00;0.98;1.49;-0.51;-;-;39.00;-;-;5.00;1.00;-;3.00;3.00;6.00;4.00;2.00;1.00;-;-;3.00
Александр Масловский;Енисей Красноярск;212;97;ЗЛ;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;38.00;87 %;-;-;1.00;100 %;9.00;67 %;4.00;75 %;-;-;2.00;50 %;1.00;100 %;6.00;2.00;1.00;4.00;-;-;12.00;58 %;9.00;67 %;3.00;33 %;3.00;67 %;-;-;-;-;3.00;67 %;2.00;5.00;1;1.00;-;-;58.00;47.00;81 %;-;-;-;-;0.11;-;-;-;0.98;1.49;-0.51;-;-;33.00;-;1.00;6.00;3.00;-;1.00;1.00;7.00;6.00;1.00;2.00;-;-;2.00
Константин Плиев;Алания Владикавказ;245;97;З ПЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;49.00;96 %;-;-;1.00;0 %;12.00;83 %;7.00;86 %;5.00;80 %;3.00;67 %;3.00;67 %;3.00;-;-;13.00;-;1.00;16.00;88 %;14.00;93 %;2.00;50 %;6.00;100 %;1.00;0 %;1.00;0 %;4.00;75 %;8.00;4.00;1;1.00;-;-;78.00;74.00;95 %;-;-;-;-;-;-;-;-;1.49;0.98;0.51;-;-;47.00;-;-;10.00;6.00;4.00;2.00;2.00;14.00;13.00;1.00;6.00;-;-;3.00
Давид Шавлохов;Алания Владикавказ;226;97;ЗЛ;-;-;-;-;-;-;2.00;2.00;1.00;1.00;-;-;-;2.00;-;0.03;50.00;76 %;1.00;0 %;2.00;50 %;12.00;67 %;6.00;50 %;2.00;50 %;6.00;50 %;4.00;50 %;6.00;-;-;3.00;1.00;5.00;14.00;71 %;9.00;89 %;5.00;40 %;3.00;33 %;-;-;-;-;2.00;100 %;3.00;7.00;1;1.00;-;-;81.00;63.00;78 %;0 %;2.00;-;-;0.03;0.01;-;0.00;1.49;0.98;0.51;0.11;0.11;38.00;-;1.00;8.00;3.00;1.00;3.00;2.00;10.00;8.00;2.00;1.00;-;-;2.00
Сослан Таказов;Кубань Краснодар;210;97;З ПЦ;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;1.00;-;0.01;55.00;76 %;-;-;-;-;17.00;41 %;2.00;50 %;-;-;4.00;50 %;2.00;0 %;4.00;2.00;-;8.00;-;2.00;18.00;89 %;17.00;88 %;1.00;100 %;10.00;90 %;-;-;-;-;2.00;50 %;5.00;8.00;1;1.00;-;-;91.00;75.00;82 %;0 %;1.00;-;-;-;0.01;-;0.00;0.51;1.93;-1.42;0.17;0.17;42.00;-;-;7.00;1.00;-;2.00;-;16.00;15.00;1.00;9.00;-;-;1.00
Заур Тарба;Алания Владикавказ;238;97;П ЛЦ;-;-;-;-;-;-;1.00;2.00;-;-;1.00;-;-;2.00;1.00;0.06;35.00;86 %;-;-;-;-;10.00;80 %;2.00;50 %;-;-;4.00;75 %;1.00;100 %;2.00;-;-;6.00;3.00;-;11.00;55 %;6.00;50 %;5.00;60 %;1.00;100 %;3.00;67 %;-;-;3.00;67 %;6.00;8.00;1;1.00;-;-;62.00;51.00;82 %;50 %;1.00;-;-;-;0.03;-;0.00;1.49;0.98;0.51;-;-;30.00;-;-;8.00;1.00;-;3.00;1.00;6.00;3.00;3.00;1.00;2.00;-;2.00
Сергей Терехов;Химки;204;97;З ЛЦ;-;-;-;-;-;-;2.00;-;-;2.00;-;-;-;1.00;-;0.02;55.00;87 %;1.00;0 %;1.00;0 %;14.00;64 %;3.00;100 %;-;-;6.00;50 %;6.00;50 %;2.00;1.00;-;11.00;1.00;2.00;9.00;67 %;7.00;71 %;2.00;50 %;3.00;67 %;1.00;100 %;-;-;4.00;50 %;5.00;12.00;1;1.00;-;-;84.00;73.00;87 %;0 %;-;1.00;-;0.05;0.02;-;0.00;1.93;0.51;1.42;0.07;0.04;48.00;-;-;9.00;3.00;-;3.00;3.00;6.00;5.00;1.00;2.00;1.00;-;2.00
Сергей Варатынов;Химки;205;97;З ПЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;3.00;1.00;0.20;41.00;78 %;-;-;1.00;0 %;9.00;33 %;4.00;25 %;-;-;4.00;0 %;3.00;0 %;6.00;4.00;-;8.00;3.00;1.00;18.00;67 %;14.00;57 %;4.00;100 %;9.00;67 %;-;-;-;-;3.00;67 %;4.00;10.00;1;1.00;-;-;77.00;60.00;78 %;33 %;2.00;-;-;-;0.07;-;0.00;1.93;0.51;1.42;0.09;0.04;32.00;-;-;3.00;1.00;-;-;-;12.00;8.00;4.00;6.00;-;-;2.00
