Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Магомед Абакаров;Черноморец;178;48;П ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;23.00;78 %;-;-;1.00;0 %;2.00;100 %;-;-;-;-;2.00;100 %;1.00;0 %;4.00;-;1.00;2.00;-;2.00;5.00;0 %;-;-;5.00;0 %;-;-;1.00;0 %;1.00;0 %;-;-;2.00;5.00;1;1.00;1.00;-;38.00;27.00;71 %;-;-;-;-;0.25;-;-;-;0.69;0.60;0.09;-;-;18.00;-;-;2.00;-;-;2.00;-;-;-;-;-;-;-;-
Владислав Адаев;Черноморец;192;48;АП Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.02;13.00;77 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;2.00;50 %;4.00;-;-;2.00;1.00;-;8.00;38 %;1.00;100 %;7.00;29 %;2.00;0 %;1.00;100 %;-;-;-;-;-;2.00;1;1.00;1.00;-;24.00;15.00;63 %;0 %;-;1.00;-;-;0.02;-;0.00;0.69;0.60;0.09;-;-;10.00;-;-;-;-;-;-;1.00;3.00;1.00;2.00;-;1.00;-;-
Владислав Агалаков;Нефтехимик Нижнекамск;213;48;АП ЛЦ;-;-;-;-;-;1.00;-;2.00;-;-;-;-;-;-;-;-;25.00;76 %;-;-;-;-;7.00;57 %;-;-;-;-;2.00;50 %;2.00;0 %;7.00;1.00;2.00;-;-;1.00;16.00;44 %;1.00;0 %;15.00;47 %;2.00;100 %;6.00;67 %;4.00;50 %;1.00;0 %;1.00;7.00;1;-;-;1.00;52.00;35.00;67 %;-;-;-;-;-;-;-;-;-;0.03;-0.03;-;-;19.00;-;-;4.00;-;-;1.00;-;7.00;-;7.00;2.00;4.00;2.00;-
Артём Архипов;Химки;160;48;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;71 %;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;4.00;2.00;1.00;-;-;-;5.00;20 %;1.00;0 %;4.00;25 %;3.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;13.00;6.00;46 %;-;-;-;-;0.08;-;-;-;0.33;0.29;0.04;-;-;5.00;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;-
Петрос Аветисян;Химки;210;48;АП ПЦ;-;-;-;-;-;-;1.00;2.00;-;-;-;-;1.00;3.00;1.00;0.11;18.00;61 %;-;-;-;-;6.00;17 %;-;-;-;-;3.00;0 %;2.00;0 %;5.00;-;-;1.00;1.00;3.00;10.00;30 %;5.00;20 %;5.00;40 %;3.00;33 %;2.00;50 %;2.00;50 %;2.00;50 %;3.00;4.00;1;-;-;1.00;42.00;26.00;62 %;33 %;1.00;1.00;-;0.13;0.04;-;0.00;0.33;0.29;0.04;-;-;11.00;-;-;1.00;-;-;-;-;3.00;1.00;2.00;1.00;1.00;1.00;1.00
Илья Берковский;Химки;186;48;АП ЛЦ;-;-;1.00;-;0 %;1.00;1.00;-;-;-;-;-;-;1.00;1.00;0.13;23.00;70 %;-;-;2.00;0 %;5.00;60 %;4.00;25 %;-;-;1.00;0 %;4.00;25 %;6.00;1.00;-;1.00;-;2.00;10.00;10 %;7.00;14 %;3.00;0 %;1.00;0 %;2.00;0 %;1.00;0 %;2.00;0 %;1.00;7.00;1;-;-;1.00;44.00;28.00;64 %;100 %;-;-;-;0.02;0.13;-;0.00;0.33;0.29;0.04;-;-;16.00;-;-;3.00;1.00;-;-;1.00;1.00;1.00;-;-;-;-;-
Илья Рубцов;Шинник;166;48;Ф Ц;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;1.00;-;0.08;7.00;43 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;3.00;-;-;-;-;1.00;6.00;33 %;2.00;50 %;4.00;25 %;2.00;0 %;1.00;100 %;1.00;100 %;1.00;100 %;-;2.00;1;1.00;1.00;-;17.00;8.00;47 %;0 %;-;1.00;-;-;0.08;-;0.00;0.08;1.27;-1.19;-;-;3.00;-;-;1.00;-;-;1.00;-;2.00;1.00;1.00;-;1.00;1.00;1.00
Вячеслав Зинков;Шинник;171;48;ЗП ЛЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;15.00;60 %;-;-;1.00;0 %;1.00;0 %;-;-;-;-;2.00;0 %;1.00;0 %;7.00;2.00;-;-;-;-;10.00;40 %;1.00;0 %;9.00;44 %;5.00;20 %;1.00;100 %;1.00;100 %;1.00;0 %;1.00;2.00;1;1.00;1.00;-;28.00;16.00;57 %;-;-;-;-;-;-;-;-;0.08;1.27;-1.19;-;-;9.00;-;-;-;-;-;-;-;4.00;-;4.00;1.00;1.00;1.00;-
Артём Кулишев;Химки;187;47;АП ЛЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;7.00;43 %;-;-;-;-;3.00;67 %;-;-;-;-;2.00;50 %;1.00;0 %;5.00;-;-;3.00;-;-;11.00;27 %;6.00;50 %;5.00;0 %;7.00;29 %;-;-;-;-;1.00;100 %;-;1.00;1;1.00;1.00;-;20.00;8.00;40 %;-;-;-;-;-;-;-;-;0.24;0.11;0.13;-;-;3.00;-;-;2.00;-;-;1.00;-;3.00;3.00;-;2.00;-;-;1.00
Максим Лаук;Кубань Краснодар;156;47;Ф Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.03;6.00;67 %;-;-;-;-;2.00;50 %;-;-;-;-;1.00;100 %;2.00;50 %;5.00;-;-;-;-;-;7.00;14 %;3.00;33 %;4.00;0 %;1.00;0 %;-;-;-;-;2.00;50 %;-;1.00;1;1.00;1.00;-;15.00;6.00;40 %;0 %;-;1.00;-;0.04;0.03;-;0.00;0.12;0.87;-0.75;-;-;4.00;-;-;1.00;-;-;1.00;1.00;1.00;1.00;-;-;-;-;1.00
